id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,assist,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/13/value,qualifier/9/value,keyPass,qualifier/12/value,qualifier/14/value,qualifier/17/value,qualifier/19/value
2443300273,9,1,1,0,23,be2k34rut1lz79jxenabttqlc,1,42.2,31.3,2022-08-07T13:00:29.056Z,2022-08-08T06:44:48Z,3693688885,178,,3691352477,141,50.9,3691352473,140,36.9,3691352479,212,14.4,3691352469,56,Back,3691352483,213,2.0,,,,,,,e211nih87ou9t8crzjbbzhexh,José Fonte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443300331,10,1,1,0,25,be2k34rut1lz79jxenabttqlc,1,39.2,57.5,2022-08-07T13:00:31.407Z,2022-08-08T06:44:47Z,3691352801,140,65.9,3691352807,213,0.7,3691352797,155,,3691352803,141,94.4,3691352809,1,,3691352799,56,Left,3691352805,212,37.6,3693689023,178,,avk0vktquq3oum9w6dyodlz6y,Alexsandro Ribeiro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443300395,11,1,1,0,30,be2k34rut1lz79jxenabttqlc,1,69.7,90.7,2022-08-07T13:00:35.638Z,2022-08-08T06:44:47Z,3691353079,140,78.9,3693689211,178,,3691353077,56,Center,3691353091,213,5.4,3691353087,212,16.1,3691353081,141,71.7,,,,,,,a35r6fa79ipqqktiff3uhz6j9,J. Bamba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443300407,12,1,1,0,32,be2k34rut1lz79jxenabttqlc,1,82.9,73,2022-08-07T13:00:38.116Z,2022-08-08T06:12:14Z,3691353159,56,Center,3691353165,212,17.5,3691353163,141,47.3,3691353167,213,4.6,3693689339,178,,3691353161,140,81.7,,,,,,,3pz4ro9b1u6u45gs7d6apmo5x,R. Cabella,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443300551,13,1,1,0,33,be2k34rut1lz79jxenabttqlc,1,81.6,54.5,2022-08-07T13:00:38.792Z,2022-08-08T06:44:46Z,3691353921,141,43.6,3693689435,178,,3691357219,22,,3691353917,56,Center,3691357217,154,,3691353919,140,74.1,3691353923,212,10.8,3691353925,213,3.9,b8dd5q3n5irlkcv0ekzqhzc2x,J. David,1,3691357215,210,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443300555,14,16,1,0,36,be2k34rut1lz79jxenabttqlc,1,76.4,49,2022-08-07T13:00:41.860Z,2022-08-08T06:44:45Z,3691353955,18,,3691357409,328,,3691356485,20,,3691357395,29,,3691357399,55,13,3691356489,374,2022-08-07 14:00:40.041,3692408413,395,95.3,3692408417,138,,31sljkjull0n7082fed26stzp,B. André,,3691357405,103,4.4,3691357397,154,3691356493,375,00:34.591,3691357413,231,49.8,3691357393,76,3692408419,274,3691353953,22,3691353957,56,Center,3692408415,396,52.9,3693689795,178,3691357411,230,96.3,3691357407,215,3691357403,102,54.5,,,,,,,
2443301277,3,1,1,1,22,9bxav814mkuhueiyivyive82d,1,49.8,50.1,2022-08-07T13:01:27.900Z,2022-08-08T02:26:25Z,3693689903,178,,3691357559,213,2.7,3691357553,140,36.4,3691357551,56,Back,3691357557,212,15.6,3691357555,141,59.9,3691357561,279,G,,,,7aa3k7b1yol8sn30xcl138i51,G. Charbonnier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443301335,4,1,1,1,24,9bxav814mkuhueiyivyive82d,1,37.2,56.1,2022-08-07T13:01:30.056Z,2022-08-08T06:44:43Z,3691357873,213,2.0,3693689987,178,,3691357871,212,24.4,3691357865,56,Back,3691357867,140,27.9,3691357869,141,89.0,,,,,,,7jj9gwpuk49bsm2ru06qb44wl,B. Touré,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443301447,5,1,1,1,28,9bxav814mkuhueiyivyive82d,0,30.5,90.8,2022-08-07T13:01:33.610Z,2022-08-08T06:44:42Z,3691358481,212,54.9,3691358475,56,Left,3691358483,213,0.1,3693690079,178,,3691358477,140,82.7,3691358485,1,,3691358473,155,,3691358479,141,95.1,ea2tv9xaerk3oy6dr45ff3kd1,Q. Bernard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443301465,15,12,1,1,32,be2k34rut1lz79jxenabttqlc,1,13.8,4.7,2022-08-07T13:01:38.021Z,2022-08-08T06:44:41Z,3691358547,141,0.0,3693690533,178,,3691358543,56,Back,3691358549,212,7.5,3691358551,213,5.7,3691358545,140,19.8,3691358601,167,,,,,e211nih87ou9t8crzjbbzhexh,José Fonte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
