id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,keyPass,qualifier/8/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/9/value,qualifier/12/value,qualifier/14/value,assist,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/13/value,qualifier/17/value,qualifier/19/id,qualifier/19/qualifierId
2452485319,5,1,1,0,15,121le8unjfzug3iu9pgkqa1c7,0,12.9,95.3,2022-08-28T15:05:23.095Z,2022-08-29T02:54:46Z,3741858203,178,,3740213211,56,Back,3740213223,212,9.8,3740213229,213,0.1,3740213215,140,22.2,3740213219,141,96.6,,,,,,,aaaskdins76bd0368sbpt7wq2,C. Lukeba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452485311,7,8,1,0,16,3c3jcs7vc1t6vz5lev162jyv7,1,75.1,6.5,2022-08-28T15:05:23.816Z,2022-08-29T02:54:45Z,3741052567,385,,3741858959,178,,3740213189,56,Right,,,,,,,,,,,,,,,,9p5jc07qnxrzpcmnh1cp6b3l5,A. Gravillon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452485347,6,5,1,0,16,121le8unjfzug3iu9pgkqa1c7,1,24.7,101,2022-08-28T15:05:24.450Z,2022-08-28T21:28:04Z,3740213335,347,,3740213349,233,8,3740213333,56,Back,,,,,,,,,,,,,,,,aaaskdins76bd0368sbpt7wq2,C. Lukeba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452485323,8,5,1,0,16,3c3jcs7vc1t6vz5lev162jyv7,0,75.3,-1,2022-08-28T15:05:24.450Z,2022-08-28T21:28:04Z,3740213353,233,6,3740213239,347,,3740213237,56,Right,,,,,,,,,,,,,,,,9p5jc07qnxrzpcmnh1cp6b3l5,A. Gravillon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452485429,7,1,1,0,30,121le8unjfzug3iu9pgkqa1c7,1,32.2,100,2022-08-28T15:05:38.031Z,2022-08-29T02:54:45Z,3740213783,1,,3740213775,140,36.9,3740213779,212,34.8,3740213773,56,Back,3740213771,107,,3740213777,141,51.3,3740213781,213,4.9,,,,40hu79d2a4k94nc52z7dblpsl,N. Tagliafico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452485449,8,1,1,0,35,121le8unjfzug3iu9pgkqa1c7,1,39.8,53.8,2022-08-28T15:05:43.052Z,2022-08-29T02:54:44Z,3740213937,212,20.4,3740213931,56,Back,3740213939,213,5.1,3741859635,178,,3740213933,140,47.9,3740213935,141,26.6,,,,,,,7ef73s1ryz38blmo3n9p9c82x,J. Reine-Adélaïde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452485461,9,1,1,0,38,121le8unjfzug3iu9pgkqa1c7,1,52.2,25.7,2022-08-28T15:05:45.794Z,2022-08-29T02:54:43Z,3740214025,213,5.8,3740214023,212,24.7,3740214017,56,Right,3740214021,141,8.3,3741860005,178,,3740214019,140,72.8,,,,,,,8jt4vsixxoqp4uvskyfl7k222,M. Gusto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452485467,10,1,1,0,42,121le8unjfzug3iu9pgkqa1c7,1,78.5,20,2022-08-28T15:05:50.134Z,2022-08-29T02:54:40Z,3740214063,212,18.2,3741860437,178,,3740214059,140,95.8,3740214057,56,Right,3740214065,213,6.2,3740214061,141,19.0,,,,,,,79nno03ww57p02dz5o0g60rqi,Tetê,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452485477,11,1,1,0,44,121le8unjfzug3iu9pgkqa1c7,0,93.1,19.9,2022-08-28T15:05:51.847Z,2022-08-29T02:54:40Z,3740214127,140,95.6,3740214129,141,44.0,3740214131,212,16.6,3740214125,56,Center,3741053927,386,,3740214133,213,1.4,3740214121,2,,3741860495,178,,8jt4vsixxoqp4uvskyfl7k222,M. Gusto,3741053929,20,3741053925,225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452485545,9,12,1,0,44,3c3jcs7vc1t6vz5lev162jyv7,1,5.1,56.7,2022-08-28T15:05:52.572Z,2022-08-29T02:54:40Z,3741860753,178,,3740214515,212,25.0,3740214513,141,88.6,3740214507,56,Back,3740214517,213,1.1,3740214509,140,16.9,,,,,,,72d5uxwcmvhd6mzthxuvev1sl,W. Faes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452485505,12,1,1,0,48,121le8unjfzug3iu9pgkqa1c7,1,82.5,11.9,2022-08-28T15:05:56.539Z,2022-08-29T02:54:39Z,3740214305,213,3.0,3740214297,56,Right,3740214303,212,16.1,3740214301,141,16.3,3740214299,140,67.4,3741860853,178,,,,,,,,79nno03ww57p02dz5o0g60rqi,Tetê,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452485517,13,1,1,0,50,121le8unjfzug3iu9pgkqa1c7,1,69.5,18.5,2022-08-28T15:05:58.376Z,2022-08-29T02:54:38Z,3740214361,213,1.5,3740214357,141,40.0,3740214355,140,70.2,3741861111,178,,3740214353,56,Center,3740214359,212,14.6,,,,,,,6ovea0xzg9yflmlbjdf1xcmlm,J. Lepenant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
