id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/12/value,qualifier/14/value,qualifier/15/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,keyPass,assist,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value
2515863603,1,34,16,0,0,71ajatxnuhc5cnm3xvgdky49w,1,0,0,2023-03-05T13:08:49.647Z,2023-03-05T14:03:54Z,4075203531,59,"1, 32, 77, 29, 22, 5, 6, 11, 20, 9, 27, 2, 3, 12, 14, 18, 19, 34, 35, 40",4075203537,194,9ysk6656hj0na1hrizgt83k5x,4075203539,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4075203529,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4075203527,30,"2vgr8c97x4b2e51tyvvixusid, 7atxpldexe9adg8ft1wbjndud, 1hlvnmu8we38d44sdexhhxcyd, 7bba28af7hqhh7ruo91x2mk9g, 7z1gixk4hvbbgo71xgb04942x, eo47h2ekymiisj3kry3og7tgp, 88nw24pkg2ikj9c91tccvqol, 9ysk6656hj0na1hrizgt83k5x, bndkgzdolm2c3iteenkv8s3it, 950o8rjqvnl5bnidq2dc3fglx, cb6w7n7n1eh9huwzyzvgmdxih, 1y5p476l4ihjndiyvfsmcg82x, 17acodpsoxkhha2iem2465ivp, f0busiccqoe2jg69st02ngfe1, 42vsnv2j6emkbynforgon4n2t, 53nd6a4o02ebb0w2s12prijje, egtyl4noukbjkm1va1i11e87o, 1k1zsipuhr1o3hv17j4uiz5uy, bzyckons6yiek0xm2xtt0bf9w, 3zkkrq8sph1lo23bt8d1nz10",4075464651,197,8123,4075203535,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4075203533,130,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515876949,1,34,16,0,0,3adj8hkws0z1al232bg2h6tk0,1,0,0,2023-03-05T13:21:41.892Z,2023-03-05T14:03:04Z,4075452409,194,dl4e5ojyhccj6w0vgksfzvmxh,4075271559,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4075271551,30,"7h2icfuwy00ilm14dw5xyl5g5, 3r04y1fejoh9e8qbge3exy3u1, bl4lretp33t0jj3icujkf45p1, dl4e5ojyhccj6w0vgksfzvmxh, c4yip4bf8il4gnxnhcb381b3e, 7mn6lue4zatldcxp0gd7kt8mh, e0hk5aepnpo7cne006zwahfx1, 5lfki1zoxd4l96hjbr2rw3d2h, 5yg9ljo5pf1lo2xk74d0k240l, dom1dzrvk7y4sd8puf8iztn11, 3imcuejzt9r6zvvv1xbn5jbl6, 2ds26ub6ho0baamsjcmh7mmfo, 1ixibe50te4j2gjhbufm72aui, 7xd54eb65lg7zldvnyd58bq39, 32bc16sg6h58ajxigp7nl1ryt, aoe90w0oopw8h5ipktpmme9cl, 3zyw4328iilwrttjoww1wctlh, 7nlijkywjl13h3ks132026iok",4075271557,130,7,4075271561,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4075271553,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",4075452411,197,4735,4075271555,59,"40, 99, 2, 20, 4, 3, 9, 8, 15, 7, 22, 28, 1, 5, 10, 17, 23, 97",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515914647,2,32,1,0,0,71ajatxnuhc5cnm3xvgdky49w,1,0,0,2023-03-05T14:01:06.264Z,2023-03-05T21:15:32Z,4075467909,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515914635,2,32,1,0,0,3adj8hkws0z1al232bg2h6tk0,1,0,0,2023-03-05T14:01:06.264Z,2023-03-05T14:01:06Z,4075467857,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515914705,3,1,1,0,0,3adj8hkws0z1al232bg2h6tk0,1,50,50,2023-03-05T14:01:06.352Z,2023-03-05T21:50:34Z,4075468163,279,S,4077357505,178,,4075468157,212,19.4,4075468151,56,Back,4075468161,213,3.3,4075468153,140,31.7,4075468155,141,46.4,,,,dom1dzrvk7y4sd8puf8iztn11,H. Belkebla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515914717,4,1,1,0,2,3adj8hkws0z1al232bg2h6tk0,0,32.2,52.3,2023-03-05T14:01:08.907Z,2023-03-06T04:37:14Z,4075468231,56,Left,4075468237,141,82.9,4077357741,178,,4075468245,1,,4075468243,213,0.6,4075468233,140,63.6,4075468241,212,39.0,4075468229,155,,c4yip4bf8il4gnxnhcb381b3e,A. Dari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515914747,3,1,1,0,4,71ajatxnuhc5cnm3xvgdky49w,0,34.9,17.4,2023-03-05T14:01:10.767Z,2023-03-06T04:37:14Z,4075468357,213,0.1,4075468351,140,68.0,4075468347,3,,4075468349,56,Center,4075468359,1,,4075468355,212,35.0,4075468353,141,23.7,4077357905,178,,cb6w7n7n1eh9huwzyzvgmdxih,I. Sissoko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515914781,5,1,1,0,6,3adj8hkws0z1al232bg2h6tk0,0,43.3,81.8,2023-03-05T14:01:13.080Z,2023-03-06T04:37:13Z,4075468509,3,,4075468513,56,Center,4075468525,212,23.6,4077358049,388,,4075468517,140,65.7,4075468529,213,6.2,4075468521,141,78.5,,,,7mn6lue4zatldcxp0gd7kt8mh,L. Brassier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515914887,4,1,1,0,8,71ajatxnuhc5cnm3xvgdky49w,1,38.1,19.4,2023-03-05T14:01:14.603Z,2023-03-06T04:37:13Z,4075469061,213,4.7,4075469045,3,,4075469055,140,38.1,4075469059,212,3.3,4077358251,178,,4075469049,56,Back,4075469057,141,14.6,,,,88nw24pkg2ikj9c91tccvqol,J. Aholou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515914897,5,49,1,0,9,71ajatxnuhc5cnm3xvgdky49w,1,41.2,6.2,2023-03-05T14:01:15.669Z,2023-03-06T04:37:12Z,,,,,,,,,,,,,,,,,,,,,,,,,7atxpldexe9adg8ft1wbjndud,F. Guilbert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
