id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/11/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/9/value,qualifier/12/value,qualifier/13/value,qualifier/14/value,qualifier/15/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,assist,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value
2479614529,5,1,1,0,16,bx0cdmzr2gwr70ez72dorx82p,1,16.8,7.3,2022-10-30T16:05:51.648Z,2022-10-31T04:32:29Z,3884422163,212,4.9,3884422159,140,12.3,3884423117,156,,3884422155,56,Back,3884422165,213,3.4,3884422161,141,5.2,3885977923,178,,,,,e7e68wlpiqqohpg71oh4vrbl6,H. Boudaoui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479614555,6,1,1,0,17,bx0cdmzr2gwr70ez72dorx82p,0,12.3,5.2,2022-10-30T16:05:52.744Z,2022-10-31T04:32:36Z,3884422311,56,Back,3884422315,140,41.9,3884422321,213,0.2,3884422307,155,,3884422319,212,31.9,3885977997,178,,3884422317,141,15.8,,,,99f4n1ws494k96r9ewdcrecbt,Y. Atal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479614611,7,1,1,0,19,70nn27vgkt6l48lvv5e66q7ww,1,56.7,80.8,2022-10-30T16:05:54.864Z,2022-10-31T04:33:12Z,3884422591,141,86.0,3884422595,213,0.6,3885978349,388,,3884422587,56,Left,3884422593,212,6.1,3884422585,3,,3884422589,140,61.4,,,,996i59930r3kd4xk48x9fsp2h,M. Talbi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479614673,8,1,1,0,21,70nn27vgkt6l48lvv5e66q7ww,1,64.1,84.1,2022-10-30T16:05:56.835Z,2022-10-31T04:33:19Z,3884422927,141,72.0,3885978433,388,,3884422923,140,60.9,3884422929,212,8.9,3884422931,213,4.3,3884422919,56,Center,3884422915,3,,,,,44o5mjglkzqxctz07ust9bcru,E. Le Fée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479614681,9,49,1,0,22,70nn27vgkt6l48lvv5e66q7ww,1,58.5,65.5,2022-10-30T16:05:58.280Z,2022-10-31T04:33:35Z,,,,,,,,,,,,,,,,,,,,,,,,,7cty3nkd7c84e16537v6y1djp,B. Innocent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479614721,10,1,1,0,24,70nn27vgkt6l48lvv5e66q7ww,1,60.4,61.7,2022-10-30T16:05:59.796Z,2022-10-31T04:33:43Z,3884423151,212,18.1,3885978701,178,,3884423145,56,Center,3884423149,141,36.0,3884423147,140,55.8,3884423153,213,4.4,,,,,,,7cty3nkd7c84e16537v6y1djp,B. Innocent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479614763,11,1,1,0,28,70nn27vgkt6l48lvv5e66q7ww,1,55.1,27.6,2022-10-30T16:06:04.221Z,2022-10-31T04:33:53Z,3884423373,141,8.0,3884423371,140,57.6,3884423375,212,13.6,3884423377,213,4.9,3885978837,178,,3884423369,56,Right,,,,,,,322sju1vi12p0r9a8048hnmxh,G. Kalulu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479925307,1599,67,1,0,29,70nn27vgkt6l48lvv5e66q7ww,1,56.3,8.2,2022-10-30T16:06:05.453Z,2022-10-31T06:55:07Z,3886114405,233,2102,,,,,,,,,,,,,,,,,,,,,,2abpo4w3jcxp1wzp50yypxsrt,S. Diarra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479925297,2102,67,1,0,30,bx0cdmzr2gwr70ez72dorx82p,0,43.7,91.8,2022-10-30T16:06:05.454Z,2022-10-31T06:44:25Z,3886114413,233,1599,,,,,,,,,,,,,,,,,,,,,,7sep6mx2s67mh5fr3raxu7aei,M. Bard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479614767,12,50,1,0,30,70nn27vgkt6l48lvv5e66q7ww,1,57.8,10.6,2022-10-30T16:06:05.504Z,2022-10-31T04:34:22Z,3884423385,56,Right,3884703243,233,7,3884423389,286,,,,,,,,,,,,,,,,,2abpo4w3jcxp1wzp50yypxsrt,S. Diarra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479614863,7,7,1,0,30,bx0cdmzr2gwr70ez72dorx82p,0,42.2,89.4,2022-10-30T16:06:05.626Z,2022-10-31T04:34:27Z,3884423861,56,Back,3885244995,385,,3884423863,285,,3884423869,233,12,3885979217,178,,,,,,,,,,,7sep6mx2s67mh5fr3raxu7aei,M. Bard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
