id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,assist,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/9/value,qualifier/11/value,keyPass,qualifier/15/value,qualifier/16/value,qualifier/17/value,qualifier/12/value
2505939971,1,34,16,0,0,bx0cdmzr2gwr70ez72dorx82p,1,0,0,2023-02-10T19:37:24.295Z,2023-02-10T20:07:18Z,4022861139,59,"1, 33, 23, 28, 25, 4, 16, 19, 9, 35, 24, 8, 10, 11, 14, 21, 26, 42, 55, 77",4022861137,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4022861135,30,"8govqd0xf8ijst50tgypaep5h, 9yjtdz1toq241g6cgdty94lck, 8f3bhiy6r5eei1n25exhbwr8p, e7e68wlpiqqohpg71oh4vrbl6, 7cp51c8zn7y08iyk0hc9ix5nt, azuc3tma44xyrbgf5y279o1xx, 5o0h8eeydl8t92qp3ywekqh1x, 6j0ogojh2b7poyceg7i3k09yi, 33jtnv5kyzyw1it7y9czhn4a2, c0dvcjq2rfqs3jj5g5v2m5zsa, 7fcq014jmdb0uqldcts6tglat, vja0xo3xiuax8eh0b6q3y09, ct32113pfx5q9avf2c0x208ru, dxeju5zcb6j8etdgwq0kweor9, 5ak9fwtqlr2pll0nsv5br7p7u, 2kgvn1lt5yjsixg13fj0cidt6, 7sep6mx2s67mh5fr3raxu7aei, 2e0ipswbkv4vf7lav6ee1j3oq, 7c0y2e3949kvohxadzfbmct7t, 9tqbuv5f466mzo4fx4ll0drvu",4022861141,130,4,4022861143,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4022861145,194,azuc3tma44xyrbgf5y279o1xx,4022861147,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4022925581,197,15912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2505943165,1,34,16,0,0,6xjy1q2m55iiwe8g1r1yffbc9,1,0,0,2023-02-10T19:42:23.487Z,2023-02-10T20:00:43Z,4022878605,59,"1, 20, 2, 15, 25, 21, 14, 29, 7, 4, 5, 16, 17, 18, 24, 28, 32, 35, 34, 37",4022878597,30,"3xpo0nc3hysdi41gupi7adot1, cujgdqrikyjt36scc23zcbkk5, 2hujd2bwvb0wtxdna6c0xb2z9, i0pvdl0hx7idtfi0xymygmp5, 70ukveu4kwheeizg6x694krmx, 67q7ve9vse4m2nb82j2z1clhx, 9higgl848a37qflh0sts05tjp, 1xawzpx3vp3b7wqx6w5avdb6x, 2fa3vmp34mwrthdiehnaxnnqh, 529k1s89fjg133s8ycjwvgg5x, 1lbgavu1rxlrfg14062suwyj9, 8wz2w0267i1845k87hxsgandh, d040o5igq61iizexn1v2a5t5h, 5fvzbq3mstt7eatkjpodbvpm2, 28soxjs6twyw0uk1c3qn0dbe, cxzg0rkbjkyvpw0xiki7noktm, cd236zcrr6fav3n38wd67ko44, 1uj41i55v9fd3j9eaw5b5a7mc, 4ported2opjp4xbp87bpqb6z8, cn8hz731tl3myqaq50meprok4",4022878613,194,1lbgavu1rxlrfg14062suwyj9,4022878611,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4022921749,197,16000,4022878609,130,7,4022878601,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4022878615,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2505952955,2,32,1,0,0,bx0cdmzr2gwr70ez72dorx82p,1,0,0,2023-02-10T20:00:29.565Z,2023-02-11T00:38:43Z,4022929929,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2505952957,2,32,1,0,0,6xjy1q2m55iiwe8g1r1yffbc9,1,0,0,2023-02-10T20:00:29.565Z,2023-02-10T20:00:32Z,4022929953,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2505952967,3,1,1,0,0,bx0cdmzr2gwr70ez72dorx82p,1,50,50,2023-02-10T20:00:29.745Z,2023-02-11T00:51:22Z,4023340271,178,,4022930035,212,7.1,4022930033,141,45.5,4022930029,56,Back,4022930039,279,S,4022930037,213,3.6,4022930031,140,43.9,,,,33jtnv5kyzyw1it7y9czhn4a2,T. Moffi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2505952975,4,1,1,0,1,bx0cdmzr2gwr70ez72dorx82p,1,43.5,48.8,2023-02-10T20:00:31.439Z,2023-02-11T07:02:34Z,4023340355,178,,4022930103,213,4.4,4022930095,56,Back,4022930101,212,26.7,4022930097,140,36.8,4022930099,141,10.9,,,,,,,5o0h8eeydl8t92qp3ywekqh1x,A. Ramsey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2505952989,5,1,1,0,4,bx0cdmzr2gwr70ez72dorx82p,1,39.2,18.3,2023-02-10T20:00:34.258Z,2023-02-11T07:02:33Z,4022930191,141,53.3,4022930193,212,25.7,4022930195,213,2.0,4022930189,140,29.9,4022930187,56,Back,4023340399,178,,,,,,,,9yjtdz1toq241g6cgdty94lck,A. Mendy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2505953001,6,1,1,0,7,bx0cdmzr2gwr70ez72dorx82p,1,30.7,54.1,2023-02-10T20:00:37.183Z,2023-02-11T07:02:32Z,4022930253,140,33.1,4022930251,56,Back,4022930255,141,92.1,4022930257,212,26.0,4023340423,178,,4022930259,213,1.5,,,,,,,azuc3tma44xyrbgf5y279o1xx,Dante,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2505953025,7,1,1,0,10,bx0cdmzr2gwr70ez72dorx82p,1,36.5,91.3,2023-02-10T20:00:40.033Z,2023-02-11T07:02:31Z,4023340475,178,,4022930375,56,Back,4022930381,212,21.4,4022930377,140,29.5,4022930379,141,61.8,4022930383,213,4.4,,,,,,,8f3bhiy6r5eei1n25exhbwr8p,J. Lotomba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2505953041,8,1,1,0,15,bx0cdmzr2gwr70ez72dorx82p,1,41.3,58,2023-02-10T20:00:44.925Z,2023-02-11T07:02:29Z,4023340491,178,,4022930477,56,Back,4022930479,140,41.8,4022930483,212,19.9,4022930481,141,28.8,4022930485,213,4.7,,,,,,,azuc3tma44xyrbgf5y279o1xx,Dante,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
