id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/9/value,keyPass,qualifier/16/id,qualifier/16/qualifierId,assist,qualifier/15/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/21/id,qualifier/21/qualifierId,qualifier/21/value
2509931529,1,34,16,0,0,3xedluek08t2ka7oypwuullcn,1,0,0,2023-02-19T15:11:08.835Z,2023-02-19T16:01:35Z,4043874891,130,17,4044130927,197,11899,4043874895,194,3h62hv3ksrnl7n7di2b080y51,4043874889,59,"30, 29, 3, 14, 4, 24, 26, 8, 7, 28, 20, 6, 10, 11, 13, 16, 21, 23, 25, 36",4043874897,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4043874887,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4043874893,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4043874885,30,"25cggz2egeqce47yijxadsslx, bt4yy465bb33u7phdhnlr6pcl, 1ad3itgiwcnyw3o9wplhah2hh, br7zigajqee6fms35zhm1sb8p, 4ezld812zytvbokz97jwycgkp, 4t4u4725escxjm2gwz5e7lpsl, 5jrt4as7f9xt1i1enj2dxx65m, 3h62hv3ksrnl7n7di2b080y51, 7izciy79i6d6h7usfr8mcmh91, c8u45gxriyq1rup5fpr30xrdh, d9q12xp4h8nhtjxl5il3vufh1, b4lc7czw7al6g7a7qzcqzya22, bzmxjsk1tr4p2n7hwakvfomei, 64ubq0xra74xaunooi8knyajt, d49iskrm33kt3vlxy4q85m0ru, 3ngai7brgwxmnx3c7dmmed5ud, qt2jl9zxkj4lxqzeydbb6hg5, d9pacjyllv546b9qe0arx2nvu, boeam163ur1t3ifq01px99xwp, 4yxo8gwnou3m7jh6ph8lkuw44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509937913,1,34,16,0,0,750ustvk4jfqmo8q4gnrcxy7z,1,0,0,2023-02-19T15:17:03.864Z,2023-02-19T16:08:29Z,4043907555,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4043907563,194,f0e5posm9z0oma2t3u9k1qy95,4043907557,59,"1, 24, 26, 93, 3, 38, 17, 8, 25, 31, 27, 5, 7, 10, 11, 16, 20, 28, 63, 99",4043907559,130,18,4043907553,30,"f0e5posm9z0oma2t3u9k1qy95, bxb5trtzllty8eqteifyw4zit, dzh403ofb9zatvornq0svb0gk, 6i3zlo12dwcjy0tcnls1e35k9, crjrpkb5p430hludk5acmhjv9, 5i6p36ywmaoj1i26fl54th5d6, oc04nz0mrmzeqpcbql3rbhlh, cg1j982govx2perwr3rv33t1x, 1n0y675l767w55pipq5lgj1zp, d3y4csfpvhzcowlusw9xe32eh, 6tedvat245ajkir9c4035i0np, 8zc2u2dfrokzg3domqmt30s0l, 7k0r5crdh9blj3edt31zwy0dm, 9yfnfwqog4y572aoe2iztnbv9, 9dzyrffyz77zqmptudhdrh8lx, ctygavkrblcxra880nwej0bf9, 1otm8rmlwrddxqeqelo6vhtec, bf2yxiyhdyipaxxxobt9i1gq1, eja2nphte2kxb19bz108zk7is, e3kdoxu1kwn2w3wwi1rqhvr9x",4043907565,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4044128777,197,8109,4043907561,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509983023,2,32,1,0,0,3xedluek08t2ka7oypwuullcn,1,0,0,2023-02-19T16:05:06.327Z,2023-02-19T21:30:33Z,4044143247,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509983039,2,32,1,0,0,750ustvk4jfqmo8q4gnrcxy7z,1,0,0,2023-02-19T16:05:06.327Z,2023-02-19T16:05:07Z,4044143309,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509983051,3,1,1,0,0,3xedluek08t2ka7oypwuullcn,1,50.1,51.2,2023-02-19T16:05:06.433Z,2023-02-20T03:33:55Z,4044143375,213,2.8,4044143371,141,57.6,4044143369,140,36.6,4044143377,279,S,4045695855,178,,4044143367,56,Back,4044143373,212,14.8,,,,7izciy79i6d6h7usfr8mcmh91,F. Sotoca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509983063,4,1,1,0,1,3xedluek08t2ka7oypwuullcn,1,38.7,58.8,2023-02-19T16:05:08.213Z,2023-02-20T07:36:21Z,4044143427,141,47.6,4044143425,140,43.9,4044143431,213,5.3,4044143423,56,Back,4044143429,212,9.4,4045695895,178,,,,,,,,br7zigajqee6fms35zhm1sb8p,F. Medina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509983109,5,1,1,0,3,3xedluek08t2ka7oypwuullcn,1,42.9,51.5,2023-02-19T16:05:10.024Z,2023-02-20T07:36:20Z,4044143687,56,Back,4044143693,212,12.9,4045695969,178,,4044143695,213,3.5,4044143691,141,44.0,4044143689,140,31.6,,,,,,,5jrt4as7f9xt1i1enj2dxx65m,S. Abdul Samed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509983139,6,1,1,0,8,3xedluek08t2ka7oypwuullcn,1,33.8,46.1,2023-02-19T16:05:14.518Z,2023-02-20T07:36:18Z,4044143865,140,34.8,4044143867,141,24.1,4044143869,212,15.0,4044143871,213,4.8,4045696025,178,,4044143863,56,Back,,,,,,,4ezld812zytvbokz97jwycgkp,K. Danso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509983177,7,1,1,0,11,3xedluek08t2ka7oypwuullcn,1,30.1,27.4,2023-02-19T16:05:17.484Z,2023-02-20T07:36:18Z,4044144065,56,Back,4044144073,213,2.3,4044144067,140,15.6,4044144071,212,21.8,4044144069,141,50.4,4045696085,178,,,,,,,,4t4u4725escxjm2gwz5e7lpsl,J. Gradit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509983205,8,1,1,0,14,3xedluek08t2ka7oypwuullcn,1,18.2,54.9,2023-02-19T16:05:20.883Z,2023-02-20T07:36:17Z,4044144193,140,22.6,4045696109,178,,4044144199,213,1.1,4044144197,212,9.6,4044144195,141,67.2,4044144191,56,Back,,,,,,,25cggz2egeqce47yijxadsslx,B. Samba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509983245,9,1,1,0,19,3xedluek08t2ka7oypwuullcn,1,26.5,68.8,2023-02-19T16:05:25.400Z,2023-02-20T07:36:14Z,4044144375,213,4.4,4044144371,141,51.6,4044144369,140,23.4,4045696191,178,,4044144367,56,Back,4044144373,212,12.1,,,,,,,br7zigajqee6fms35zhm1sb8p,F. Medina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509983315,10,1,1,0,20,3xedluek08t2ka7oypwuullcn,1,21.5,52.8,2023-02-19T16:05:26.559Z,2023-02-20T07:36:14Z,4044144693,56,Back,4044144705,213,2.4,4044144699,141,63.5,4044144697,140,14.3,4044144703,212,10.5,4045696407,178,,,,,,,,4ezld812zytvbokz97jwycgkp,K. Danso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
