id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,assist,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,keyPass,qualifier/11/value,qualifier/17/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value
2482039007,1,34,16,0,0,75qj99fhg5c0ztj2tva5u4uii,1,0,0,2022-11-05T19:12:07.865Z,2022-11-05T20:02:50Z,3897278435,194,6ynchgp6o4tajwvnfdnoo11at,3897109691,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3897109699,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3897109697,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3897298413,197,15935,3897109689,30,"821ma6ofy7t9wtdvu1w6uni09, e1ydpg4lqw2pnidfbsciv9pm1, dlzepva4fgihzwx4vfzagiy1h, 8927ird9ax5sj69nadeqaktlh, akczqgcekziai0uuirql1enrp, cnei0h8qtnmr9n9ojtm029uj9, boa0e436nc3u53cumlao9ulex, 6ynchgp6o4tajwvnfdnoo11at, 2bfbi3t4aufb47wwt56ilzoyc, bqq4tqw6tp68c1fya04onf6c5, 41jb0ts5688xz8ell62rybm22, abv6etsruyybpwgphqek4lbd, cgqunmh8aw465fna15rdve8d1, 310zaj8t3k4c8aj54ml0n0kx5, dvtd4xsoihe7srn69irnng5w5, 36ylt0kjn7t0vajmelu4mbazu, 7rvgrqf0ktsepvwpj0osy5pzp, qooxolimrpdm50kl9woa6jje, cwtefikj4d22g8dr4c200pwtm, 9vwdme2e657vrezfixnimrv85",3897109693,59,"30, 28, 3, 22, 17, 5, 2, 6, 11, 23, 8, 18, 1, 10, 15, 19, 25, 26, 31, 92",3897109695,130,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482041645,1,34,16,0,0,3xedluek08t2ka7oypwuullcn,1,0,0,2022-11-05T19:14:56.702Z,2022-11-05T19:55:37Z,3897123921,194,3h62hv3ksrnl7n7di2b080y51,3897123915,130,17,3897123923,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3897123903,30,"25cggz2egeqce47yijxadsslx, bt4yy465bb33u7phdhnlr6pcl, 1ad3itgiwcnyw3o9wplhah2hh, br7zigajqee6fms35zhm1sb8p, 4ezld812zytvbokz97jwycgkp, 4t4u4725escxjm2gwz5e7lpsl, 3h62hv3ksrnl7n7di2b080y51, 5jrt4as7f9xt1i1enj2dxx65m, 7h28voyog9dhvitn6hj1omhh, 7izciy79i6d6h7usfr8mcmh91, bzmxjsk1tr4p2n7hwakvfomei, b4lc7czw7al6g7a7qzcqzya22, 64ubq0xra74xaunooi8knyajt, d49iskrm33kt3vlxy4q85m0ru, d53u1z2wzikqk2veuqag63utx, 3ngai7brgwxmnx3c7dmmed5ud, eolso19u03zxw2pca2i95v4dl, qt2jl9zxkj4lxqzeydbb6hg5, d9pacjyllv546b9qe0arx2nvu, 4yxo8gwnou3m7jh6ph8lkuw44",3897123911,59,"30, 29, 3, 14, 4, 24, 8, 26, 22, 7, 20, 6, 11, 13, 15, 16, 18, 21, 23, 31",3897123919,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3897283145,197,11899,3897123907,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482073477,2,32,1,0,0,3xedluek08t2ka7oypwuullcn,1,0,0,2022-11-05T20:00:07.214Z,2022-11-05T20:00:08Z,3897291229,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482073467,2,32,1,0,0,75qj99fhg5c0ztj2tva5u4uii,1,0,0,2022-11-05T20:00:07.214Z,2022-11-06T05:58:16Z,3897291183,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482073479,3,1,1,0,0,75qj99fhg5c0ztj2tva5u4uii,1,50,50,2022-11-05T20:00:07.924Z,2022-11-06T06:11:37Z,3897291245,140,51.5,3897291251,213,0.9,3897291243,56,Center,3897291247,141,52.8,3897291249,212,2.5,3897291253,279,S,3898168379,178,,,,,2bfbi3t4aufb47wwt56ilzoyc,A. Salama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482073483,4,1,1,0,1,75qj99fhg5c0ztj2tva5u4uii,1,49.4,48.9,2022-11-05T20:00:08.691Z,2022-11-06T08:28:17Z,3897291279,140,32.6,3898168635,178,,3897291283,212,27.2,3897291285,213,4.0,3897291281,141,18.5,3897291277,56,Back,,,,,,,bqq4tqw6tp68c1fya04onf6c5,A. Hunou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482073499,5,1,1,0,4,75qj99fhg5c0ztj2tva5u4uii,1,32.7,27.9,2022-11-05T20:00:12.062Z,2022-11-06T08:28:16Z,3897291371,212,21.7,3897291369,141,51.6,3897291373,213,2.3,3898168719,178,,3897291367,140,18.8,3897291365,56,Back,,,,,,,cnei0h8qtnmr9n9ojtm029uj9,M. Blažič,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482073503,6,1,1,0,7,75qj99fhg5c0ztj2tva5u4uii,1,19.5,52.2,2022-11-05T20:00:15.071Z,2022-11-06T08:28:16Z,3897291409,212,21.1,3898168825,178,,3897291405,140,19.7,3897291411,213,1.6,3897291403,56,Back,3897291407,141,83.3,,,,,,,akczqgcekziai0uuirql1enrp,I. Amadou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482073555,7,1,1,0,9,75qj99fhg5c0ztj2tva5u4uii,1,19.9,82.1,2022-11-05T20:00:16.666Z,2022-11-06T08:28:15Z,3897291705,141,53.4,3898168915,178,,3897291703,140,7.2,3897291707,212,23.6,3897291709,213,4.1,3897291701,56,Back,,,,,,,8927ird9ax5sj69nadeqaktlh,C. Hountondji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482073569,8,1,1,0,18,75qj99fhg5c0ztj2tva5u4uii,0,16.1,45.5,2022-11-05T20:00:25.765Z,2022-11-06T08:28:13Z,3897291775,141,45.5,3897291773,140,66.7,3897291781,1,,3897291777,212,53.1,3898169145,178,,3897291779,213,0.0,3897291771,56,Center,3897291769,155,,821ma6ofy7t9wtdvu1w6uni09,Y. Fofana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
