id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/9/value,qualifier/11/value,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/14/value,qualifier/15/value,qualifier/16/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,assist,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value
2476101619,1,34,16,0,0,z1wbqtd0fz5t5eezjvrbld3h,1,0,0,2022-10-23T10:35:19.405Z,2022-10-23T10:54:04Z,3865782709,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3865824933,197,666,3865782707,130,2,3865782701,30,"cym4wbw14zw1jh4jsp3sbyk0l, xrh2szvp5808no7zm1et2zf9, 92qqdiryqd8juqdjq8585476y, c7xltzkcj4u5qmw4j1e9gxmmt, ayx2iydekv69471d92zmpbbze, 8qlz4omhgfnzyb2cgeou7xn56, draibw1vui84ciizu30az81jp, crn7i9243dnczl74jti8i5pzp, dw9fzixumboknmucqgqffurmy, 6u2ob6fv950r1qve8uejkq2uh, 9b7iei751ersl6ny0o0k8gn3d, 3o70kdbjt6w1aw7rkq3a4fecq, 49vfeofafswzu1f6rekqjbjhm, 448wxnlqhqqf2hcecwut90n6y, 47bjfjrtjv3uv5lnguc2ycg0k, 3hd9nxdb54zn4fhbf7qa7x0q1, 6n54br4iwdggqvid7oirzfn8q, 2ubad2kxha6n1c8c8sr2ogmad, 1py4bk2ik16w8lil31bghq99m, dzv5f93w5fsnfzohaev6e3rx0",3865782711,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3865782705,59,"30, 27, 3, 80, 15, 5, 14, 20, 9, 19, 7, 1, 6, 10, 18, 21, 22, 25, 28, 33",3865782703,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3865824931,194,xrh2szvp5808no7zm1et2zf9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476101993,1,34,16,0,0,75qj99fhg5c0ztj2tva5u4uii,1,0,0,2022-10-23T10:35:59.174Z,2022-10-23T10:56:55Z,3865784391,130,10,3865784395,194,dvtd4xsoihe7srn69irnng5w5,3865784397,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3865784389,59,"1, 94, 15, 2, 17, 22, 23, 6, 7, 11, 8, 5, 10, 19, 25, 26, 28, 31, 40, 92",3865784393,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3865784385,30,"cgqunmh8aw465fna15rdve8d1, 9tdb905kq5becch102boicdex, dvtd4xsoihe7srn69irnng5w5, boa0e436nc3u53cumlao9ulex, akczqgcekziai0uuirql1enrp, 8927ird9ax5sj69nadeqaktlh, bqq4tqw6tp68c1fya04onf6c5, 6ynchgp6o4tajwvnfdnoo11at, 9fcg5wz6no3f9mn7ch45g06hh, 2bfbi3t4aufb47wwt56ilzoyc, 41jb0ts5688xz8ell62rybm22, cnei0h8qtnmr9n9ojtm029uj9, 310zaj8t3k4c8aj54ml0n0kx5, 36ylt0kjn7t0vajmelu4mbazu, 7rvgrqf0ktsepvwpj0osy5pzp, qooxolimrpdm50kl9woa6jje, e1ydpg4lqw2pnidfbsciv9pm1, cwtefikj4d22g8dr4c200pwtm, 2gkxanzyj7yoadakl2j6tfggk, 9vwdme2e657vrezfixnimrv85",3865784387,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3865830633,197,15935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476113453,2,32,1,0,0,75qj99fhg5c0ztj2tva5u4uii,1,0,0,2022-10-23T11:00:40.322Z,2022-10-23T17:42:09Z,3865838667,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476113445,2,32,1,0,0,z1wbqtd0fz5t5eezjvrbld3h,1,0,0,2022-10-23T11:00:40.322Z,2022-10-23T11:00:40Z,3865838651,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476113481,3,1,1,0,0,z1wbqtd0fz5t5eezjvrbld3h,1,49.7,49.9,2022-10-23T11:00:40.380Z,2022-10-23T18:06:53Z,3865838783,141,61.7,3865838785,212,12.1,3865838781,140,41.1,3865838787,213,2.4,3868057417,178,,3865838779,56,Back,3865838789,279,S,,,,dw9fzixumboknmucqgqffurmy,A. Kalimuendo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476113489,4,1,1,0,1,z1wbqtd0fz5t5eezjvrbld3h,0,42.4,56,2022-10-23T11:00:42.284Z,2022-10-23T20:34:01Z,3865838819,212,42.0,3865838817,141,88.3,3865838821,213,0.6,3865838815,140,76.5,3865838811,155,,3868057763,178,,3865838813,56,Left,3865838823,1,,crn7i9243dnczl74jti8i5pzp,F. Tait,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476113499,3,1,1,0,4,75qj99fhg5c0ztj2tva5u4uii,0,20.5,18.6,2022-10-23T11:00:45.318Z,2022-10-23T20:34:00Z,3865838879,212,16.2,3865838875,140,34.8,3865838871,3,,3865838877,141,9.7,3865838881,213,5.9,3868058319,388,,3865838873,56,Back,,,,8927ird9ax5sj69nadeqaktlh,C. Hountondji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476113505,5,1,1,0,6,z1wbqtd0fz5t5eezjvrbld3h,0,67.5,83.4,2022-10-23T11:00:46.941Z,2022-10-23T20:34:00Z,3865838909,141,83.2,3865838911,212,5.3,3865838905,56,Left,3865838907,140,72.5,3865838913,213,6.3,3868058677,178,,,,,,,,92qqdiryqd8juqdjq8585476y,A. Truffert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476148609,323,61,1,0,6,75qj99fhg5c0ztj2tva5u4uii,1,30.7,17.4,2022-10-23T11:00:47.264Z,2022-10-23T20:34:00Z,3866012227,56,Back,3868061477,178,,3868061475,15,,,,,,,,,,,,,,,,,bqq4tqw6tp68c1fya04onf6c5,A. Hunou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476113517,6,61,1,0,7,z1wbqtd0fz5t5eezjvrbld3h,1,70.1,79.5,2022-10-23T11:00:47.781Z,2022-10-23T20:33:59Z,3868062207,178,,3865838963,56,Left,,,,,,,,,,,,,,,,,,,6u2ob6fv950r1qve8uejkq2uh,A. Gouiri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476113521,4,3,1,0,8,75qj99fhg5c0ztj2tva5u4uii,0,26.2,19.4,2022-10-23T11:00:48.498Z,2022-10-23T20:33:59Z,3868062855,178,,3866490491,464,,3865838987,56,Back,3865838989,285,,3865839017,233,7,,,,,,,,,,6ynchgp6o4tajwvnfdnoo11at,N. Bentaleb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476113519,7,7,1,0,8,z1wbqtd0fz5t5eezjvrbld3h,0,73.8,80.6,2022-10-23T11:00:48.539Z,2022-10-23T20:33:59Z,3866491269,385,,3865839755,233,4,3865838977,56,Left,3868063157,178,,3865838979,286,,,,,,,,,,,9b7iei751ersl6ny0o0k8gn3d,M. Terrier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476113525,5,49,1,0,8,75qj99fhg5c0ztj2tva5u4uii,1,26.5,18.3,2022-10-23T11:00:48.662Z,2022-10-23T20:33:58Z,,,,,,,,,,,,,,,,,,,,,,,,,6ynchgp6o4tajwvnfdnoo11at,N. Bentaleb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476113533,6,1,1,0,9,75qj99fhg5c0ztj2tva5u4uii,0,23.2,15.2,2022-10-23T11:00:49.861Z,2022-10-23T20:33:58Z,3865839041,140,0.0,3865839045,212,27.4,3865839047,213,2.8,3865839043,141,29.5,3868064001,178,,3865839039,56,Back,,,,,,,6ynchgp6o4tajwvnfdnoo11at,N. Bentaleb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476113535,7,6,1,0,11,75qj99fhg5c0ztj2tva5u4uii,0,11.8,21.6,2022-10-23T11:00:51.454Z,2022-10-23T18:08:40Z,3865839049,56,Back,3865839051,73,,3865839133,233,8,,,,,,,,,,,,,,,,6ynchgp6o4tajwvnfdnoo11at,N. Bentaleb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
