id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,keyPass,qualifier/9/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/11/value,qualifier/12/value,qualifier/10/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,assist,qualifier/13/value,qualifier/15/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/16/value
2497404609,1,34,16,0,0,70nn27vgkt6l48lvv5e66q7ww,1,0,0,2023-01-14T17:18:52.593Z,2023-01-14T18:01:37Z,3978071433,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3978071431,30,"6oi4a3g56xe76g0gg38knmzmd, 322sju1vi12p0r9a8048hnmxh, 538zux65h0l9028fpf4v1g0r9, 44o5mjglkzqxctz07ust9bcru, cyz9jisw86vjjf85xxgbae0yy, 996i59930r3kd4xk48x9fsp2h, dg4782hj9xdqg46w225kzph5g, 3hiehiu25aufrc0q9890haqc5, 33jtnv5kyzyw1it7y9czhn4a2, e83sc1gnj31vgpo9u6fknmfvt, 2tc8y9du64tjno62zll2jhy7e, 31ur1f7xmxndnnabhrxyov6xh, 2abpo4w3jcxp1wzp50yypxsrt, 7cty3nkd7c84e16537v6y1djp, 466ev7tumk8flx0gz9d0h15d6, e32urdrdkp44zmnt6ptg0k12i, 38cotevgsirv0csora7bar3vu, 8n0560evn4ni29dw9xece45ey, 2qkesslfmzmgt7igvgosixg8a, 3cy6mfbd2vlj9fa1xz2ow3949",3978071435,59,"1, 24, 25, 10, 4, 3, 11, 6, 13, 21, 22, 2, 7, 8, 9, 12, 18, 29, 70, 77",3978071443,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3978071437,130,8,3978071441,194,3hiehiu25aufrc0q9890haqc5,3978071439,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3978158123,197,16104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497404725,1,34,16,0,0,27xvwccz8kpmqsefjv2b2sc0o,1,0,0,2023-01-14T17:19:08.358Z,2023-01-14T17:52:26Z,3978072029,130,17,3978072035,197,17182,3978072025,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5",3978072031,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",3978072033,194,8s259ktv9j6ei0f8rh2msqfh1,3978072023,30,"26atxu4fr8f87oi8mt6z70mhh, cip5lla8zu8gru2m4popsstlh, 9j742o5vdc7d54x1xdz4t9ck5, 74edqcuzfzy7nswqzn0v3pe22, 8ni13k73i9xusj01utdmqk7h1, bb5eekaj9i0dbckrkb629qg2d, 8s259ktv9j6ei0f8rh2msqfh1, 5fbnkkf1saix4lonwx1i9k7o5, vl1b0gayryiqvl5dlukpmswl, 4euxcqawlks4c56pqj8xvwbf9, asvqr3i5wcjiajxipt1qvldyh, bonc0a0byz3r1828si9ynmuei, 26mggguhavwmnq1oak12ket, 8vlfwoquq3v68mb9ax1pk5fkk, ekm47qd8w1x0456lm1tmf5re1, 2p70qo9oxplufwnhlrl2b8v3e, 6723wh7azndl58fzn12ue8o6i, 4dbs7cgevy096gouv60eurh05, b8m3njge4ubxcj1zbxhvk5d9m",3978072027,59,"16, 17, 23, 5, 4, 99, 21, 27, 70, 18, 6, 1, 10, 12, 22, 29, 32, 36, 47",3978072037,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497422515,2,32,1,0,0,27xvwccz8kpmqsefjv2b2sc0o,1,0,0,2023-01-14T18:00:03.261Z,2023-01-15T00:35:32Z,3978165225,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497422519,2,32,1,0,0,70nn27vgkt6l48lvv5e66q7ww,1,0,0,2023-01-14T18:00:03.261Z,2023-01-14T18:00:05Z,3978165243,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497422539,3,1,1,0,0,27xvwccz8kpmqsefjv2b2sc0o,1,50.1,50.3,2023-01-14T18:00:03.391Z,2023-01-15T00:43:30Z,3978165357,141,51.8,3978165353,56,Back,3978165355,140,46.1,3978737779,178,,3978165359,212,4.3,3978165361,213,2.9,3978165363,279,S,,,,vl1b0gayryiqvl5dlukpmswl,A. Sánchez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497422557,4,1,1,0,2,27xvwccz8kpmqsefjv2b2sc0o,1,48.3,43.9,2023-01-14T18:00:05.697Z,2023-01-15T03:35:13Z,3978165439,213,4.3,3978737853,178,,3978165437,212,22.8,3978165431,56,Back,3978165435,141,13.8,3978165433,140,38.7,,,,,,,asvqr3i5wcjiajxipt1qvldyh,M. Guendouzi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497422587,5,1,1,0,5,27xvwccz8kpmqsefjv2b2sc0o,1,41.6,19.3,2023-01-14T18:00:08.366Z,2023-01-15T03:35:13Z,3978165569,212,15.3,3978165557,56,Back,3978165573,213,2.3,3978737951,178,,3978165561,140,31.9,3978165565,141,36.1,,,,,,,bb5eekaj9i0dbckrkb629qg2d,C. Mbemba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497422633,6,1,1,0,7,27xvwccz8kpmqsefjv2b2sc0o,1,38.7,42.7,2023-01-14T18:00:10.721Z,2023-01-15T03:35:11Z,3978165775,56,Back,3978165781,212,15.8,3978165777,140,33.8,3978165783,213,1.9,3978738049,178,,3978165779,141,64.6,,,,,,,8s259ktv9j6ei0f8rh2msqfh1,V. Rongier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497422661,7,1,1,0,11,27xvwccz8kpmqsefjv2b2sc0o,1,58.3,85.1,2023-01-14T18:00:15.231Z,2023-01-15T03:35:09Z,3978165939,213,1.0,3978165933,140,61.7,3978165931,56,Left,3978165935,141,94.1,3978738119,178,,3978165937,212,7.1,,,,,,,8ni13k73i9xusj01utdmqk7h1,S. Gigot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497422671,8,1,1,0,14,27xvwccz8kpmqsefjv2b2sc0o,1,60.9,94.9,2023-01-14T18:00:17.265Z,2023-01-15T03:35:08Z,3978738147,178,,3978165999,212,18.1,3978165995,140,53.6,3978165993,56,Center,3978165997,141,70.8,3978166001,213,4.3,,,,,,,74edqcuzfzy7nswqzn0v3pe22,L. Balerdi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
