id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/9/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/8/value,keyPass,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/11/value,qualifier/13/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,assist,qualifier/17/value,qualifier/18/value,qualifier/14/value
2504399397,1,34,16,0,0,750ustvk4jfqmo8q4gnrcxy7z,1,0,0,2023-02-05T13:16:24.765Z,2023-02-05T14:01:23Z,4014760261,30,"f0e5posm9z0oma2t3u9k1qy95, bf2yxiyhdyipaxxxobt9i1gq1, dzh403ofb9zatvornq0svb0gk, cg1j982govx2perwr3rv33t1x, 5i6p36ywmaoj1i26fl54th5d6, 3g217lvxyrxlzsyp0rmlvglp1, 7k0r5crdh9blj3edt31zwy0dm, crjrpkb5p430hludk5acmhjv9, d3y4csfpvhzcowlusw9xe32eh, 1n0y675l767w55pipq5lgj1zp, adswn2xpomwsi7zh022787mne, 9yfnfwqog4y572aoe2iztnbv9, 9dzyrffyz77zqmptudhdrh8lx, ctygavkrblcxra880nwej0bf9, oc04nz0mrmzeqpcbql3rbhlh, bxb5trtzllty8eqteifyw4zit, 2h7a11gp7bb34j8oa4tv3aaxh, 6i3zlo12dwcjy0tcnls1e35k9, e3kdoxu1kwn2w3wwi1rqhvr9x",4014760267,130,8,4014760273,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4014760271,194,f0e5posm9z0oma2t3u9k1qy95,4014760269,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",4014760265,59,"1, 28, 26, 8, 38, 21, 7, 3, 31, 25, 14, 10, 11, 16, 17, 24, 30, 93, 99",4014928661,197,654,4014760263,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504402967,1,34,16,0,0,6xjy1q2m55iiwe8g1r1yffbc9,1,0,0,2023-02-05T13:20:37.475Z,2023-02-05T14:00:28Z,4014778281,30,"3xpo0nc3hysdi41gupi7adot1, cujgdqrikyjt36scc23zcbkk5, 1e77it93nx78uu157mmksd71l, d3d1qks236pztzcqp3wdcc0l, 70ukveu4kwheeizg6x694krmx, 67q7ve9vse4m2nb82j2z1clhx, 9higgl848a37qflh0sts05tjp, 1xawzpx3vp3b7wqx6w5avdb6x, dfdq5f5mrzq9zaj1mrfhk5905, 2fa3vmp34mwrthdiehnaxnnqh, 529k1s89fjg133s8ycjwvgg5x, cd236zcrr6fav3n38wd67ko44, 2hujd2bwvb0wtxdna6c0xb2z9, 1lbgavu1rxlrfg14062suwyj9, i0pvdl0hx7idtfi0xymygmp5, 8wz2w0267i1845k87hxsgandh, d040o5igq61iizexn1v2a5t5h, bi49lcldxz8jubp72kgeke2y2, cxzg0rkbjkyvpw0xiki7noktm, 4ported2opjp4xbp87bpqb6z8",4014778287,130,2,4014778291,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4014778285,59,"1, 20, 3, 8, 25, 21, 14, 29, 10, 7, 4, 32, 2, 5, 15, 16, 17, 27, 28, 34",4014778295,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4014778293,194,d3d1qks236pztzcqp3wdcc0l,4014925323,197,624,4014778283,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504435363,2,32,1,0,0,6xjy1q2m55iiwe8g1r1yffbc9,1,0,0,2023-02-05T14:00:07.078Z,2023-02-05T21:07:49Z,4014941403,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504435353,2,32,1,0,0,750ustvk4jfqmo8q4gnrcxy7z,1,0,0,2023-02-05T14:00:07.078Z,2023-02-05T14:00:07Z,4014941355,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504435407,3,1,1,0,0,750ustvk4jfqmo8q4gnrcxy7z,1,49.9,49.9,2023-02-05T14:00:07.184Z,2023-02-06T01:03:45Z,4014941543,212,14.8,4014941545,213,3.2,4014941539,140,35.8,4016733423,178,,4014941541,141,48.5,4014941547,279,S,4014941537,56,Back,,,,1n0y675l767w55pipq5lgj1zp,F. Mollet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504435459,4,1,1,0,2,750ustvk4jfqmo8q4gnrcxy7z,0,33.6,47.2,2023-02-05T14:00:09.927Z,2023-02-06T05:22:10Z,4014941827,141,85.0,4016733569,178,,4014941831,212,48.3,4015104675,157,,4014941825,140,72.6,4014941833,213,0.6,4014941835,1,,4014941823,56,Left,5i6p36ywmaoj1i26fl54th5d6,João Victor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504435467,3,49,1,0,8,6xjy1q2m55iiwe8g1r1yffbc9,1,23.6,10.7,2023-02-05T14:00:15.300Z,2023-02-06T05:22:09Z,,,,,,,,,,,,,,,,,,,,,,,,,cujgdqrikyjt36scc23zcbkk5,M. Youssouf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504435511,4,1,1,0,8,6xjy1q2m55iiwe8g1r1yffbc9,0,23.7,10.6,2023-02-05T14:00:15.325Z,2023-02-06T05:22:09Z,4014942047,141,0.0,4016733937,178,,4014942041,155,,4014942051,213,6.1,4016919225,1,,4014942049,212,37.7,4014942045,140,58.7,4014942043,56,Right,cujgdqrikyjt36scc23zcbkk5,M. Youssouf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504435513,5,5,1,0,12,6xjy1q2m55iiwe8g1r1yffbc9,0,55.6,-2,2023-02-05T14:00:19.314Z,2023-02-06T01:04:20Z,4014942053,56,Right,4014942685,233,5,4014942055,347,,,,,,,,,,,,,,,,,cujgdqrikyjt36scc23zcbkk5,M. Youssouf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504435627,5,5,1,0,12,750ustvk4jfqmo8q4gnrcxy7z,1,44.4,102,2023-02-05T14:00:19.314Z,2023-02-06T01:04:20Z,4014942649,233,5,4014942601,347,,4014942599,56,Back,,,,,,,,,,,,,,,,crjrpkb5p430hludk5acmhjv9,Andrei Girotto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
