id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,assist,qualifier/8/value,qualifier/9/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,keyPass,qualifier/15/value,qualifier/16/value,qualifier/14/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/18/value
2469635799,9,1,1,0,14,3unkqo2g6ag99gd5ynz1j7vse,1,1.7,33.7,2022-10-09T13:00:21.532Z,2022-10-09T23:45:56Z,3831504145,213,5.1,3831504141,141,13.7,3831504139,140,6.7,3833362615,178,,3831504143,212,14.6,3831504137,56,Back,,,,,,,8xdrtww8r5jbxuxtall0wh591,G. Gallon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469635843,10,1,1,0,16,3unkqo2g6ag99gd5ynz1j7vse,1,7.7,10.4,2022-10-09T13:00:23.005Z,2022-10-09T23:45:56Z,3831504395,140,25.7,3831504399,212,19.8,3833362951,178,,3831504393,56,Back,3831504401,213,6.0,3831504397,141,1.6,,,,,,,7etm5qf3sonimtxllrw5xwkid,E. Palmer-Brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469635859,11,1,1,0,18,3unkqo2g6ag99gd5ynz1j7vse,0,19.5,4.5,2022-10-09T13:00:25.504Z,2022-10-09T23:45:55Z,3831504563,233,3,3833363455,178,,3831504493,141,1.1,3831504567,286,,3831504497,213,5.9,3831504495,212,6.7,3831504489,56,Back,3831504491,140,25.5,dj2f6zk2cd8u9lt6odoei9cdl,A. Bruus,3831504561,236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469635865,3,74,1,0,18,bx0cdmzr2gwr70ez72dorx82p,1,79.9,95.2,2022-10-09T13:00:25.598Z,2022-10-09T23:45:55Z,3831504547,285,,3833363853,178,,3831504615,233,11,3831504545,56,Left,,,,,,,,,,,,,5q0q6f1hk7afy5i4hmkf9xj9x,J. Bryan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469635873,4,5,1,0,18,bx0cdmzr2gwr70ez72dorx82p,0,74.4,101.6,2022-10-09T13:00:25.947Z,2022-10-09T19:35:14Z,3831504597,56,Left,3831504599,347,,3831504783,233,12,,,,,,,,,,,,,,,,5q0q6f1hk7afy5i4hmkf9xj9x,J. Bryan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469635903,12,5,1,0,18,3unkqo2g6ag99gd5ynz1j7vse,1,25.6,-1.6,2022-10-09T13:00:25.947Z,2022-10-09T19:35:14Z,3831504731,56,Back,3831504757,233,4,3831504735,347,,,,,,,,,,,,,,,,,dj2f6zk2cd8u9lt6odoei9cdl,A. Bruus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469635937,13,1,1,0,22,3unkqo2g6ag99gd5ynz1j7vse,1,28,0,2022-10-09T13:00:29.793Z,2022-10-09T23:45:54Z,3831504893,56,Back,3831504897,141,5.2,3831504901,213,1.3,3831504891,107,,3831504895,140,29.1,3831504899,212,4.8,,,,,,,dj2f6zk2cd8u9lt6odoei9cdl,A. Bruus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469635951,14,1,1,0,24,3unkqo2g6ag99gd5ynz1j7vse,0,30.6,11.6,2022-10-09T13:00:31.536Z,2022-10-09T23:45:53Z,3831504969,213,5.1,3833365351,178,,3831504965,141,2.6,3831504961,56,Back,3831504967,212,6.5,3831504963,140,32.8,,,,,,,3h3g7sne1jjevj0mwyliehm95,R. Kouamé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469635947,5,8,1,0,24,bx0cdmzr2gwr70ez72dorx82p,1,66.7,96.1,2022-10-09T13:00:31.947Z,2022-10-09T23:45:53Z,3833365513,178,,3832435797,383,,3831504947,56,Left,,,,,,,,,,,,,,,,5q0q6f1hk7afy5i4hmkf9xj9x,J. Bryan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469635963,6,49,1,0,25,bx0cdmzr2gwr70ez72dorx82p,1,63.6,94.8,2022-10-09T13:00:32.574Z,2022-10-09T23:45:51Z,,,,,,,,,,,,,,,,,,,,,,,,,5q0q6f1hk7afy5i4hmkf9xj9x,J. Bryan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469635991,7,1,1,0,26,bx0cdmzr2gwr70ez72dorx82p,1,62.4,93.3,2022-10-09T13:00:33.145Z,2022-10-09T23:45:51Z,3831505099,56,Center,3833366421,178,,3831505105,141,67.0,3831505109,213,4.9,3831505103,140,65.4,3831505107,212,18.2,,,,,,,5q0q6f1hk7afy5i4hmkf9xj9x,J. Bryan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469636127,8,1,1,0,28,bx0cdmzr2gwr70ez72dorx82p,1,60,69.1,2022-10-09T13:00:35.141Z,2022-10-09T23:45:50Z,3833367095,178,,3831505889,213,4.0,3831505885,141,44.8,3831505881,56,Back,3831505883,140,47.4,3831505887,212,21.2,,,,,,,8rfgwq7hbi4a3imda845vdyvp,M. Lemina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469636197,9,1,1,0,34,bx0cdmzr2gwr70ez72dorx82p,1,54.6,22.8,2022-10-09T13:00:41.650Z,2022-10-09T23:45:47Z,3833367559,178,,3831506211,56,Back,3831506215,141,37.6,3831506219,213,2.4,3831506213,140,44.9,3831506217,212,14.3,,,,,,,99f4n1ws494k96r9ewdcrecbt,Y. Atal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469636253,10,1,1,0,38,bx0cdmzr2gwr70ez72dorx82p,1,45,39.7,2022-10-09T13:00:45.173Z,2022-10-09T23:45:46Z,3831506507,212,26.3,3831506503,140,58.2,3831506509,213,5.3,3831506505,141,6.8,3831506501,56,Right,3833367873,178,,,,,,,,7cp51c8zn7y08iyk0hc9ix5nt,J. Todibo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469636335,11,1,1,0,41,bx0cdmzr2gwr70ez72dorx82p,1,58,2,2022-10-09T13:00:48.460Z,2022-10-09T23:45:45Z,3831506873,140,96.4,3833368067,178,,3831506881,1,,3831506877,212,43.4,3831506871,56,Center,3831506875,141,25.6,3831506879,213,0.4,,,,99f4n1ws494k96r9ewdcrecbt,Y. Atal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469636347,12,3,1,0,45,bx0cdmzr2gwr70ez72dorx82p,0,97.4,24.6,2022-10-09T13:00:52.177Z,2022-10-09T23:45:45Z,3833368563,178,,3831506935,56,Center,3831507085,233,15,3832441761,464,,3831506937,286,,,,,,,,,,,e3kdoxu1kwn2w3wwi1rqhvr9x,A. Delort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469636365,15,7,1,0,45,3unkqo2g6ag99gd5ynz1j7vse,1,2.6,75.4,2022-10-09T13:00:52.178Z,2022-10-09T23:45:45Z,3831507067,233,12,3831507027,56,Back,3831507025,167,,3832442033,385,,3831507029,285,,3833368787,178,,,,,,,,2smai2vq1r9xnemihvcq0doet,A. Rami,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469636383,13,6,1,0,45,bx0cdmzr2gwr70ez72dorx82p,1,96.7,24.8,2022-10-09T13:00:52.448Z,2022-10-09T19:36:05Z,3831507131,56,Center,3831507149,233,16,3831507133,75,,,,,,,,,,,,,,,,,e3kdoxu1kwn2w3wwi1rqhvr9x,A. Delort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469636379,16,6,1,0,45,3unkqo2g6ag99gd5ynz1j7vse,0,3.3,75.2,2022-10-09T13:00:52.448Z,2022-10-09T19:36:06Z,3831507115,56,Back,3831507165,233,13,3831507117,73,,,,,,,,,,,,,,,,,2smai2vq1r9xnemihvcq0doet,A. Rami,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469637011,14,1,1,1,16,bx0cdmzr2gwr70ez72dorx82p,0,99.5,0.5,2022-10-09T13:01:23.805Z,2022-10-09T19:36:11Z,3831510195,212,29.9,3831510187,223,,3831510183,6,,3831510197,213,1.7,3831510185,155,,3831510193,141,44.0,3831510191,140,95.1,3833369247,178,,3n9jnuteyjx6w6dxviuead0b9,N. Pépé,3832442761,72,3831510181,2,3831510189,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469637099,17,12,1,1,18,3unkqo2g6ag99gd5ynz1j7vse,1,4.2,59.8,2022-10-09T13:01:25.029Z,2022-10-09T23:45:44Z,3831510611,213,2.8,3831510607,141,63.1,3831510619,15,,3831510683,167,,3831510603,56,Back,3831510605,140,0.0,3831510609,212,5.9,3833370119,388,,a7rdypucykxo0a9xmcuqzabpx,R. Ripart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469637081,15,6,1,1,20,bx0cdmzr2gwr70ez72dorx82p,1,98,40.4,2022-10-09T13:01:27.813Z,2022-10-09T19:36:27Z,3831510711,233,18,3831510523,56,Center,3831510525,75,,,,,,,,,,,,,,,,,3n9jnuteyjx6w6dxviuead0b9,N. Pépé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469637105,18,6,1,1,20,3unkqo2g6ag99gd5ynz1j7vse,0,2,59.6,2022-10-09T13:01:27.813Z,2022-10-09T19:36:27Z,3831510643,73,,3831510729,233,15,3831510641,56,Back,,,,,,,,,,,,,,,,a7rdypucykxo0a9xmcuqzabpx,R. Ripart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
