id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/11/value,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/10/value,qualifier/12/value,qualifier/15/value,assist
2521088889,1,34,16,0,0,121le8unjfzug3iu9pgkqa1c7,1,0,0,2023-03-17T19:06:33.057Z,2023-03-17T20:06:34Z,4102938717,130,4,4102938715,59,"35, 20, 3, 88, 5, 4, 24, 6, 10, 26, 7, 47, 2, 8, 9, 12, 17, 18, 23, 40",4102938725,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4102938713,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4102938719,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4102938723,197,643,4102938721,194,f4cykd65su8xbme6xdc1iw7o5,4102938711,30,"7to9ns7mkuji0ciwh1ufkq3md, al6dgtinz0ki8uj8wrvc7fg2c, 40hu79d2a4k94nc52z7dblpsl, d68byfvk16giaur32gqwpwded, z2richg7upw6hth0dzrvm02d, aaaskdins76bd0368sbpt7wq2, 6ovea0xzg9yflmlbjdf1xcmlm, 79dz7zni5fcgh5e70spoj2j8p, f4cykd65su8xbme6xdc1iw7o5, a71n80h977h7fu99ftnri5zsa, amvonu36at4dg7ksi1ioczi3u, 6mgtj1dfv6e2ydfflye59wrxm, e9mtpmkb4qj2gqyv966g9ulpm, 412hlm2edd05jd1ad597brcvd, d9zax4y92d85x7j63kg7ckvkl, 8rcole4a6y4fkamv87q3hqk0l, aftis8f2ahy7dhk5bp8co4q1h, 1ehcji0j9s8b0qsj8v5zinjvu, 3vu0c0j8n99wz6e2f7fmd2pxx, 1rsywvl7266o5ldvfps43l8q2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521095469,1,34,16,0,0,750ustvk4jfqmo8q4gnrcxy7z,1,0,0,2023-03-17T19:13:18.142Z,2023-03-17T20:03:56Z,4102973419,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5",4102973423,130,8,4103176161,197,654,4102973417,30,"f0e5posm9z0oma2t3u9k1qy95, 5i6p36ywmaoj1i26fl54th5d6, bf2yxiyhdyipaxxxobt9i1gq1, oc04nz0mrmzeqpcbql3rbhlh, 3g217lvxyrxlzsyp0rmlvglp1, 53yrdwlr1pw23bxyxfg85npat, 7k0r5crdh9blj3edt31zwy0dm, crjrpkb5p430hludk5acmhjv9, d3y4csfpvhzcowlusw9xe32eh, 1n0y675l767w55pipq5lgj1zp, 6tedvat245ajkir9c4035i0np, cg1j982govx2perwr3rv33t1x, 9yfnfwqog4y572aoe2iztnbv9, adswn2xpomwsi7zh022787mne, ctygavkrblcxra880nwej0bf9, 1otm8rmlwrddxqeqelo6vhtec, bxb5trtzllty8eqteifyw4zit, dzh403ofb9zatvornq0svb0gk, e3kdoxu1kwn2w3wwi1rqhvr9x",4102973425,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",4102973429,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4102973421,59,"1, 38, 28, 17, 21, 4, 7, 3, 31, 25, 27, 8, 10, 14, 16, 20, 24, 26, 99",4102973427,194,f0e5posm9z0oma2t3u9k1qy95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521134597,2,32,1,0,0,750ustvk4jfqmo8q4gnrcxy7z,1,0,0,2023-03-17T20:00:04.741Z,2023-03-17T20:00:04Z,4103178547,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521134599,2,32,1,0,0,121le8unjfzug3iu9pgkqa1c7,1,0,0,2023-03-17T20:00:04.741Z,2023-03-18T00:24:01Z,4103178553,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521134625,3,1,1,0,0,750ustvk4jfqmo8q4gnrcxy7z,1,50,50,2023-03-17T20:00:04.755Z,2023-03-18T00:41:03Z,4103178693,212,17.3,4103178695,213,3.1,4103178691,141,50.4,4103667149,178,,4103178687,56,Back,4103178697,279,S,4103178689,140,33.5,,,,1n0y675l767w55pipq5lgj1zp,F. Mollet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521134651,4,1,1,0,2,750ustvk4jfqmo8q4gnrcxy7z,0,34,50,2023-03-17T20:00:07.162Z,2023-03-18T05:08:49Z,4103178831,141,17.7,4103178837,1,,4103178825,155,,4103178833,212,53.3,4103178829,140,80.3,4103178827,56,Right,4103667245,178,,4103178835,213,5.9,53yrdwlr1pw23bxyxfg85npat,N. Pallois,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521134663,3,44,1,0,5,121le8unjfzug3iu9pgkqa1c7,1,26.7,81.2,2023-03-17T20:00:09.916Z,2023-03-18T05:08:48Z,4103178905,285,,4103178903,56,Back,4103178947,233,5,,,,,,,,,,,,,,,,40hu79d2a4k94nc52z7dblpsl,N. Tagliafico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521134665,5,44,1,0,5,750ustvk4jfqmo8q4gnrcxy7z,0,73.3,18.8,2023-03-17T20:00:09.917Z,2023-03-18T05:08:48Z,4103178909,286,,4103178951,233,3,4103178907,56,Right,,,,,,,,,,,,,,,,7k0r5crdh9blj3edt31zwy0dm,E. Guessand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521134675,4,12,1,0,5,121le8unjfzug3iu9pgkqa1c7,1,25.6,82.7,2023-03-17T20:00:10.045Z,2023-03-18T05:08:47Z,4103178969,56,Back,4103178971,140,37.6,4103178977,213,0.4,4103178973,141,90.6,4103603015,15,,4103667543,388,,4103178975,212,13.7,,,,40hu79d2a4k94nc52z7dblpsl,N. Tagliafico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521134713,6,1,1,0,6,750ustvk4jfqmo8q4gnrcxy7z,0,61.4,12.3,2023-03-17T20:00:11.485Z,2023-03-18T05:08:47Z,4103179203,213,0.1,4103179195,56,Right,4103276531,157,,4103179197,140,73.6,4103179201,212,12.9,4103667695,178,,4103179199,141,14.3,4103276533,1,,5i6p36ywmaoj1i26fl54th5d6,João Victor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
