id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/9/value,qualifier/12/value,qualifier/13/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/11/value,assist,qualifier/18/value,qualifier/16/value,qualifier/17/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2497648055,9,1,1,0,15,be2k34rut1lz79jxenabttqlc,1,42.4,1.6,2023-01-15T12:00:37.314Z,2023-01-15T22:35:20Z,3979363419,56,Back,3979363423,141,27.0,3979363425,212,29.4,3979363421,140,19.7,3980504733,178,,3979363427,213,2.5,,,,,,,4zg62bpjlxntoruzlk4qnzumt,A. Ounas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497648091,10,1,1,0,21,be2k34rut1lz79jxenabttqlc,1,25.2,38.1,2023-01-15T12:00:42.949Z,2023-01-15T22:35:19Z,3979363669,212,27.3,3980504783,178,,3979363667,141,77.4,3979363665,140,30.4,3979363671,213,1.4,3979363663,56,Back,,,,,,,6q793p9lurdevqmetgoke54wk,L. Yoro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497648127,11,1,1,0,26,be2k34rut1lz79jxenabttqlc,1,30.8,66.1,2023-01-15T12:00:48.828Z,2023-01-15T22:35:16Z,3979363845,212,10.5,3979363841,141,50.7,3979363837,140,31.0,3979363835,56,Back,3979363847,213,4.7,3980504931,178,,,,,,,,8jjep8bx1jpjuf8firxccc549,Tiago Djaló,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497648151,12,1,1,0,32,be2k34rut1lz79jxenabttqlc,1,32.2,27.9,2023-01-15T12:00:54.567Z,2023-01-15T22:35:14Z,3979363977,213,1.4,3980504983,178,,3979363971,140,36.3,3979363975,212,32.5,3980822613,1,,3979363973,141,75.2,3979363969,56,Back,,,,6q793p9lurdevqmetgoke54wk,L. Yoro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497648181,13,1,1,0,35,be2k34rut1lz79jxenabttqlc,1,33.4,69.2,2023-01-15T12:00:57.693Z,2023-01-15T22:35:14Z,3979364113,141,76.4,3979364117,213,0.5,3980505039,178,,3979364111,140,41.8,3979364115,212,10.1,3979364109,56,Back,,,,,,,8jjep8bx1jpjuf8firxccc549,Tiago Djaló,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497648199,14,1,1,0,38,be2k34rut1lz79jxenabttqlc,1,39,74.5,2023-01-15T12:01:00.677Z,2023-01-15T22:35:12Z,3979364211,213,4.1,3979364203,56,Back,3980505165,178,,3979364207,141,48.7,3979364205,140,27.6,3979364209,212,21.2,,,,,,,7nivkfkngr374fx5totgektm1,A. Gomes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497648217,15,1,1,0,40,be2k34rut1lz79jxenabttqlc,1,29.6,52,2023-01-15T12:01:02.093Z,2023-01-15T22:35:12Z,3979364293,212,30.9,3979364287,56,Back,3979364295,213,2.1,3979364291,141,90.9,3980505341,178,,3979364289,140,14.3,,,,,,,6q793p9lurdevqmetgoke54wk,L. Yoro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497648257,16,1,1,0,44,be2k34rut1lz79jxenabttqlc,1,11.9,88.7,2023-01-15T12:01:06.495Z,2023-01-15T22:35:11Z,3979364429,140,23.4,3980505479,178,,3979364427,56,Back,3979364431,141,96.8,3979364435,213,0.4,3979364433,212,13.3,,,,,,,8jjep8bx1jpjuf8firxccc549,Tiago Djaló,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497648261,17,1,1,0,47,be2k34rut1lz79jxenabttqlc,1,11.6,89.1,2023-01-15T12:01:09.851Z,2023-01-15T22:35:09Z,3979364459,140,11.3,3979364465,212,2.1,3979364467,213,4.6,3980505761,178,,3979364463,141,86.0,3979364455,56,Back,,,,,,,e5xxqwz0sdlwkkmp8bgs1k6w9,T. Weah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497648277,18,1,1,0,49,be2k34rut1lz79jxenabttqlc,1,3.4,87.2,2023-01-15T12:01:11.646Z,2023-01-15T22:35:08Z,3979364549,213,6.3,3980505973,178,,3979364541,56,Back,3979364545,141,86.3,3979364547,212,21.6,3979364543,140,24.0,,,,,,,8jjep8bx1jpjuf8firxccc549,Tiago Djaló,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
