id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,keyPass,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/11/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,assist,qualifier/8/value,qualifier/13/value,qualifier/14/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/17/value
2479062753,6,44,1,0,31,71ajatxnuhc5cnm3xvgdky49w,1,34.4,40.2,2022-10-29T19:01:14.270Z,2022-10-30T03:22:49Z,3881503795,56,Back,3881503871,233,6,3881503797,285,,,,,,,,,,,,,,,,,7z1gixk4hvbbgo71xgb04942x,G. Nyamsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479062761,6,44,1,0,31,27xvwccz8kpmqsefjv2b2sc0o,0,65.6,59.8,2022-10-29T19:01:14.271Z,2022-10-30T03:22:49Z,3881503901,233,6,3881503827,56,Center,3881503829,286,,,,,,,,,,,,,,,,,8vlfwoquq3v68mb9ax1pk5fkk,B. Dieng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479062763,7,1,1,0,31,71ajatxnuhc5cnm3xvgdky49w,0,34.5,41.7,2022-10-29T19:01:14.287Z,2022-10-30T03:22:48Z,3881503831,3,,3881503839,212,10.5,3881503837,141,33.7,3881503833,56,Back,3881503841,213,5.7,3881503835,140,43.0,3882133985,388,,,,,7z1gixk4hvbbgo71xgb04942x,G. Nyamsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479062777,7,1,1,0,34,27xvwccz8kpmqsefjv2b2sc0o,1,58,69,2022-10-29T19:01:16.833Z,2022-10-30T03:22:48Z,3881503925,141,76.1,3881503921,56,Center,3881503927,212,6.8,3881503923,140,62.6,3881503929,213,0.8,3882133995,178,,,,,,,,5fbnkkf1saix4lonwx1i9k7o5,J. Veretout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479062787,8,1,1,0,34,27xvwccz8kpmqsefjv2b2sc0o,1,59.4,80,2022-10-29T19:01:17.295Z,2022-10-30T03:22:47Z,3882133999,178,,3881503985,140,55.8,3881503983,56,Left,3881503993,212,4.0,3881503997,213,2.8,3881503989,141,82.1,,,,,,,c4w6l0ha9pvwljyh3aejqz3yt,J. Clauss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479062793,9,1,1,0,36,27xvwccz8kpmqsefjv2b2sc0o,1,50.9,82.8,2022-10-29T19:01:18.722Z,2022-10-30T03:22:47Z,3881504025,213,0.3,3881504021,141,87.0,3881504017,56,Left,3881504019,140,59.4,3881504023,212,9.4,3882134015,178,,,,,,,,9j742o5vdc7d54x1xdz4t9ck5,S. Kolašinac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479062801,10,1,1,0,37,27xvwccz8kpmqsefjv2b2sc0o,1,55.7,93.9,2022-10-29T19:01:19.654Z,2022-10-30T03:22:46Z,3881504065,141,87.0,3882134043,178,,3881504061,56,Left,3881504067,212,9.7,3881504063,140,63.8,3881504069,213,5.8,,,,,,,c4w6l0ha9pvwljyh3aejqz3yt,J. Clauss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479062811,11,1,1,0,39,27xvwccz8kpmqsefjv2b2sc0o,1,60.3,89.9,2022-10-29T19:01:21.839Z,2022-10-30T03:22:45Z,3881504115,213,2.9,3881504111,141,96.3,3881504113,212,16.0,3881504109,140,45.6,3881504107,56,Back,3882134451,178,,,,,,,,26mggguhavwmnq1oak12ket,D. Payet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479062825,12,1,1,0,42,27xvwccz8kpmqsefjv2b2sc0o,1,45.1,94.9,2022-10-29T19:01:24.560Z,2022-10-30T03:22:45Z,3881504215,213,4.0,3881504213,212,17.7,3882134699,178,,3881504211,141,75.3,3881504209,140,34.0,3881504207,56,Back,,,,,,,9j742o5vdc7d54x1xdz4t9ck5,S. Kolašinac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479062845,13,1,1,0,45,27xvwccz8kpmqsefjv2b2sc0o,1,33,63.7,2022-10-29T19:01:27.622Z,2022-10-30T03:22:43Z,3881504297,56,Back,3881504305,213,4.7,3881504299,140,33.2,3881504301,141,36.2,3881504303,212,18.7,3882134789,178,,,,,,,,74edqcuzfzy7nswqzn0v3pe22,L. Balerdi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
