id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/8/value,qualifier/10/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,assist,qualifier/14/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2482710727,1,34,16,0,0,27xvwccz8kpmqsefjv2b2sc0o,1,0,0,2022-11-06T18:52:03.839Z,2022-11-06T22:57:39Z,3900667339,30,"26atxu4fr8f87oi8mt6z70mhh, c4w6l0ha9pvwljyh3aejqz3yt, dqsslq1iz1azubowq3anwws4q, 74edqcuzfzy7nswqzn0v3pe22, 8ni13k73i9xusj01utdmqk7h1, bb5eekaj9i0dbckrkb629qg2d, 8s259ktv9j6ei0f8rh2msqfh1, 5fbnkkf1saix4lonwx1i9k7o5, vl1b0gayryiqvl5dlukpmswl, cip5lla8zu8gru2m4popsstlh, bt2h27b7sfmsa5w6tnfp7lw4p, asvqr3i5wcjiajxipt1qvldyh, 290xjx3h327rl40wbn7hzrtg5, 26mggguhavwmnq1oak12ket, d1d3v27d4r6vme6n2w5umaacp, 8vlfwoquq3v68mb9ax1pk5fkk, 5rh9yiue1qnabbwoyweyus5t6, 9j742o5vdc7d54x1xdz4t9ck5, 2p70qo9oxplufwnhlrl2b8v3e, 4dbs7cgevy096gouv60eurh05",3900667341,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3900667349,194,8s259ktv9j6ei0f8rh2msqfh1,3900667345,130,17,3900667343,59,"16, 7, 30, 5, 4, 99, 21, 27, 70, 17, 77, 6, 8, 10, 11, 12, 18, 23, 29, 36",3900667347,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3900868851,197,17182,3900667351,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482711753,1,34,16,0,0,121le8unjfzug3iu9pgkqa1c7,1,0,0,2022-11-06T18:55:21.520Z,2022-11-06T19:45:13Z,3900673455,59,"1, 27, 3, 23, 17, 4, 6, 8, 10, 9, 24, 2, 7, 11, 12, 15, 18, 21, 22, 35",3900673459,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3900673451,30,"d3mss0i879krqrk1owzmj2c45, 8jt4vsixxoqp4uvskyfl7k222, 40hu79d2a4k94nc52z7dblpsl, 3vu0c0j8n99wz6e2f7fmd2pxx, aftis8f2ahy7dhk5bp8co4q1h, aaaskdins76bd0368sbpt7wq2, 79dz7zni5fcgh5e70spoj2j8p, 412hlm2edd05jd1ad597brcvd, f4cykd65su8xbme6xdc1iw7o5, d9zax4y92d85x7j63kg7ckvkl, 6ovea0xzg9yflmlbjdf1xcmlm, e9mtpmkb4qj2gqyv966g9ulpm, 9mory3y7p8aku035r2kxtvz6d, 79nno03ww57p02dz5o0g60rqi, 8rcole4a6y4fkamv87q3hqk0l, 7c5uk1ts8jlu88p1x6wubuz8p, 1ehcji0j9s8b0qsj8v5zinjvu, 46acb400oivj94jwu3i3lrxsl, 7ef73s1ryz38blmo3n9p9c82x, 7to9ns7mkuji0ciwh1ufkq3md",3900673453,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3900882053,197,11677,3900673457,130,3,3900673463,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3900673461,194,f4cykd65su8xbme6xdc1iw7o5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482747325,2,32,1,0,0,121le8unjfzug3iu9pgkqa1c7,1,0,0,2022-11-06T19:45:52.355Z,2022-11-06T19:46:00Z,3900884879,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482747351,2,32,1,0,0,27xvwccz8kpmqsefjv2b2sc0o,1,0,0,2022-11-06T19:45:52.355Z,2022-11-06T22:24:40Z,3900885027,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482747419,3,1,1,0,0,121le8unjfzug3iu9pgkqa1c7,1,49.9,49.7,2022-11-06T19:45:52.450Z,2022-11-06T23:56:03Z,3900885451,279,S,3900885447,212,8.9,3901513129,178,,3900885443,140,44.3,3900885449,213,2.3,3900885445,141,59.6,3900885441,56,Back,,,,d9zax4y92d85x7j63kg7ckvkl,M. Dembélé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482786329,424,1,1,0,2,121le8unjfzug3iu9pgkqa1c7,1,42.7,58.6,2022-11-06T19:45:54.515Z,2022-11-07T03:30:58Z,3901086387,141,40.7,3901086391,213,4.1,3901513263,178,,3901086389,212,14.4,3901086385,140,35.3,3901086383,56,Back,,,,,,,412hlm2edd05jd1ad597brcvd,H. Aouar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482747425,4,1,1,0,4,121le8unjfzug3iu9pgkqa1c7,1,34.6,47.1,2022-11-06T19:45:56.476Z,2022-11-07T03:30:57Z,3900885495,213,4.8,3900885491,141,13.9,3900885493,212,22.7,3900885487,56,Back,3901513333,178,,3900885489,140,36.6,,,,,,,3vu0c0j8n99wz6e2f7fmd2pxx,Thiago Mendes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482747431,5,1,1,0,6,121le8unjfzug3iu9pgkqa1c7,1,33.3,17,2022-11-06T19:45:58.695Z,2022-11-07T03:30:56Z,3900885541,213,2.5,3900885533,140,25.7,3901513413,178,,3900885531,56,Back,3900885535,141,26.3,3900885537,212,10.2,,,,,,,8jt4vsixxoqp4uvskyfl7k222,M. Gusto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482747477,6,1,1,0,8,121le8unjfzug3iu9pgkqa1c7,1,19.5,28.2,2022-11-06T19:46:01.044Z,2022-11-07T03:30:56Z,3900885819,141,52.7,3900885815,56,Back,3900885821,212,24.1,3900885823,213,2.4,3901513491,178,,3900885817,140,2.9,,,,,,,aftis8f2ahy7dhk5bp8co4q1h,J. Boateng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482747515,7,1,1,0,12,121le8unjfzug3iu9pgkqa1c7,1,6,58,2022-11-06T19:46:04.434Z,2022-11-07T03:30:55Z,3900886073,212,21.5,3900886071,141,66.6,3900886075,213,0.3,3900886069,140,25.7,3900886067,56,Back,3901513535,178,,,,,,,,d3mss0i879krqrk1owzmj2c45,Anthony Lopes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
