id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/16/value,qualifier/13/value,qualifier/14/value,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/21/id,qualifier/21/qualifierId,qualifier/22/id,qualifier/22/qualifierId,qualifier/23/id,qualifier/23/qualifierId,qualifier/23/value,assist,qualifier/19/value
2518640605,1,34,16,0,0,2b3mar72yy8d6uvat1ka6tn3r,1,0,0,2023-03-11T19:03:22.132Z,2023-03-11T20:43:00Z,4089944759,59,"99, 29, 25, 33, 4, 15, 28, 6, 7, 30, 8, 14, 16, 17, 18, 31, 35, 44, 90",4089944755,30,"4cetkl0w2uq40ccti5ka6a4t1, ausceoo438aoxbb6gl8tpes16, d3dv3vc71981v5oems59892sq, 2s2fzli5c7h9dfcertq2dwxec, 9adbv1dl7dp7vze3b9sarerbp, 5qg0coudjinnt978myh4n4n2t, dsmcqfl0e1be4ag7czbnolo15, 7fmhqt5geme4yv9cfnsp5lec5, 5e9ilgrz3tzg9kd1gk3yvrahh, c5ryhn04g9goikd0blmh83aol, f3v58fkymhrprt5gs0ccm29xx, 54w62kh31qyyu7tipmjlt95g5, ckjcm9q26zd6q8tkq0go6oxcl, cionsifzpx5rhc8es29wv6i95, 2ub88jcc3vku6mrnt5fb3oyqd, atlhc604ri3rr4w012otutyj8, 34z1r2585ifo6zdcfuu6xumfo, 3vx94h32ahujciraspdayj9t6, 50kggsgofmeq6bos0kn5fyv2t",4089944757,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5",4089944763,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",4089944767,194,5e9ilgrz3tzg9kd1gk3yvrahh,4089966771,197,16071,4089944761,130,15,4089944769,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518644359,1,34,16,0,0,3adj8hkws0z1al232bg2h6tk0,1,0,0,2023-03-11T19:06:59.015Z,2023-03-11T20:02:21Z,4089964981,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4089964995,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4089964989,194,dl4e5ojyhccj6w0vgksfzvmxh,4089964991,197,4735,4089964985,130,7,4089964983,59,"40, 99, 2, 20, 4, 3, 9, 7, 15, 8, 10, 28, 1, 5, 17, 18, 22, 23, 37, 97",4089964987,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4089964979,30,"7h2icfuwy00ilm14dw5xyl5g5, 3r04y1fejoh9e8qbge3exy3u1, bl4lretp33t0jj3icujkf45p1, dl4e5ojyhccj6w0vgksfzvmxh, c4yip4bf8il4gnxnhcb381b3e, 7mn6lue4zatldcxp0gd7kt8mh, e0hk5aepnpo7cne006zwahfx1, dom1dzrvk7y4sd8puf8iztn11, 5yg9ljo5pf1lo2xk74d0k240l, 5lfki1zoxd4l96hjbr2rw3d2h, 32bc16sg6h58ajxigp7nl1ryt, 2ds26ub6ho0baamsjcmh7mmfo, 1ixibe50te4j2gjhbufm72aui, 7xd54eb65lg7zldvnyd58bq39, aoe90w0oopw8h5ipktpmme9cl, 7z8bpxyfd31hb5ehkaina1ap6, 3imcuejzt9r6zvvv1xbn5jbl6, 3zyw4328iilwrttjoww1wctlh, 7mjc5a2k7wz4flem6upj5u1w4, 7nlijkywjl13h3ks132026iok",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518687069,2,32,1,0,0,2b3mar72yy8d6uvat1ka6tn3r,1,0,0,2023-03-11T20:00:08.739Z,2023-03-11T20:00:09Z,4090196117,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518687073,2,32,1,0,0,3adj8hkws0z1al232bg2h6tk0,1,0,0,2023-03-11T20:00:08.739Z,2023-03-12T01:24:08Z,4090196141,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518687093,3,1,1,0,0,2b3mar72yy8d6uvat1ka6tn3r,1,50,50,2023-03-11T20:00:08.918Z,2023-03-12T01:29:29Z,4091029331,178,,4090196233,213,3.1,4090196237,279,S,4090196227,141,49.9,4090196223,56,Back,4090196225,140,35.7,4090196229,212,15.0,,,,5e9ilgrz3tzg9kd1gk3yvrahh,K. Mbappé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518687121,4,1,1,0,2,2b3mar72yy8d6uvat1ka6tn3r,1,41,48.1,2023-03-11T20:00:10.898Z,2023-03-12T04:04:53Z,4091029447,178,,4090196383,212,16.7,4090196379,140,35.3,4090196377,56,Back,4090196381,141,25.2,4090196385,213,4.3,,,,,,,7fmhqt5geme4yv9cfnsp5lec5,M. Verratti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518687129,5,1,1,0,4,2b3mar72yy8d6uvat1ka6tn3r,1,37.6,26.7,2023-03-11T20:00:13.329Z,2023-03-12T04:04:52Z,4091029659,178,,4090196441,213,4.1,4090196435,140,29.0,4090196439,212,16.2,4090196437,141,7.0,4090196433,56,Back,,,,,,,2s2fzli5c7h9dfcertq2dwxec,W. Zaïre-Emery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518687169,6,1,1,0,5,2b3mar72yy8d6uvat1ka6tn3r,1,32.8,11.2,2023-03-11T20:00:14.515Z,2023-03-12T04:04:52Z,4090196617,56,Back,4090196631,213,2.5,4091029771,178,,4090196621,140,19.8,4090196625,141,27.1,4090196627,212,17.4,,,,,,,ausceoo438aoxbb6gl8tpes16,T. Pembélé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518687201,7,1,1,0,11,2b3mar72yy8d6uvat1ka6tn3r,1,32.5,40.7,2023-03-11T20:00:20.121Z,2023-03-12T04:04:50Z,4091029855,178,,4090196785,141,72.9,4090196789,213,1.9,4090196781,56,Back,4090196787,212,23.1,4090196783,140,25.4,,,,,,,9adbv1dl7dp7vze3b9sarerbp,Sergio Ramos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518687227,8,1,1,0,14,2b3mar72yy8d6uvat1ka6tn3r,1,29.5,71.3,2023-03-11T20:00:23.295Z,2023-03-12T04:04:49Z,4091029997,178,,4090196897,140,29.2,4090196899,141,41.9,4090196895,56,Back,4090196903,213,4.7,4090196901,212,20.0,,,,,,,5qg0coudjinnt978myh4n4n2t,Danilo Pereira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
