id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/9/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/14/value,qualifier/11/value,assist,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/18/value
2537930631,1,34,16,0,0,bx0cdmzr2gwr70ez72dorx82p,1,0,0,2023-04-23T12:12:43.842Z,2023-04-23T18:14:34Z,4213125623,30,"8govqd0xf8ijst50tgypaep5h, 9yjtdz1toq241g6cgdty94lck, 7sep6mx2s67mh5fr3raxu7aei, 7c0y2e3949kvohxadzfbmct7t, 7cp51c8zn7y08iyk0hc9ix5nt, azuc3tma44xyrbgf5y279o1xx, e7e68wlpiqqohpg71oh4vrbl6, 6j0ogojh2b7poyceg7i3k09yi, 33jtnv5kyzyw1it7y9czhn4a2, c0dvcjq2rfqs3jj5g5v2m5zsa, 7fcq014jmdb0uqldcts6tglat, vja0xo3xiuax8eh0b6q3y09, dxeju5zcb6j8etdgwq0kweor9, 5ak9fwtqlr2pll0nsv5br7p7u, 5o0h8eeydl8t92qp3ywekqh1x, 8f3bhiy6r5eei1n25exhbwr8p, cjgrtf1xc97ir3b64cnl9ecyc, boru4r6jmb64ybfjlnbbtwdn8, 9tqbuv5f466mzo4fx4ll0drvu, 8pgocmr00qw7b9919c8zh4bmx",4213125637,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4213125641,194,azuc3tma44xyrbgf5y279o1xx,4213125629,59,"1, 33, 26, 55, 25, 4, 28, 19, 9, 35, 24, 8, 11, 14, 16, 23, 37, 38, 77, 90",4213356923,197,15912,4213125625,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4213125633,130,4,4213125645,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537934469,1,34,16,0,0,17o35s8assv3kamxowzz77k4r,1,0,0,2023-04-23T12:15:34.395Z,2023-04-23T13:39:53Z,4213145013,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4213145031,194,5rd9832gct7uy0acodmor8b11,4213145025,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4213145011,30,"c6u4h9wy88ymj6whiz93jknv9, 1jdd1cmzaqalgkkl9vj4dcy51, bt2pm0it9f1o216uxo3abfpbd, 6euu7oztc1jkxcgef0g75cq95, 1u990wv0bo82xqv2s0e8m8ic5, 5rd9832gct7uy0acodmor8b11, 8s5u921me5pvsfyvysjgpu2qy, bzr6a9okokrgaskvsbl03xmtx, 757jd3kvmh2izb7q7k8if209h, 4obcheuxcvbu6zo3fyq3b6x91, c8vsa9o761rsdy9l8xbtj3etx, aflbpdgjm6huba3f9t848d4o9, 4elohf5kyq6i1jmywfuzhh2ol, 9bicv1fmrgltfrr726qrgio0k, 6p7umqi0pvhgsjxool9yrcx78, 94fun5n4wygom9o27rptvscq2, bxdqxy4grh0ct3d8emys8qxw4, 7hn66gfq3xw08afo501l9x5as, c9zpstta8uy4g5ojvz8krqb6c, akz04kph7qmvbpk3auntlfowl",4213145039,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4213145015,59,"99, 2, 11, 5, 4, 21, 70, 12, 95, 25, 18, 7, 10, 13, 15, 16, 17, 22, 33, 91",4213145021,130,11,4213145035,197,15972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537977257,2,32,1,0,0,17o35s8assv3kamxowzz77k4r,1,0,0,2023-04-23T13:00:14.374Z,2023-04-23T13:00:14Z,4213367759,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537977273,2,32,1,0,0,bx0cdmzr2gwr70ez72dorx82p,1,0,0,2023-04-23T13:00:14.374Z,2023-04-23T21:25:20Z,4213367855,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537977339,3,1,1,0,0,17o35s8assv3kamxowzz77k4r,1,49.7,49.6,2023-04-23T13:00:14.395Z,2023-04-24T02:07:23Z,4213368229,140,37.8,4213368237,279,S,4213368235,213,2.7,4213368231,141,58.8,4216472817,178,,4213368227,56,Back,4213368233,212,14.0,,,,757jd3kvmh2izb7q7k8if209h,G. Kyei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537977361,4,1,1,0,0,17o35s8assv3kamxowzz77k4r,1,40.4,57.7,2023-04-23T13:00:15.311Z,2023-04-24T07:05:35Z,4216472875,178,,4213368377,212,10.7,4213368383,213,5.1,4213368363,56,Back,4213368371,141,43.0,4213368365,140,44.1,,,,,,,4obcheuxcvbu6zo3fyq3b6x91,J. Gastien,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537977393,5,1,1,0,2,17o35s8assv3kamxowzz77k4r,1,43.3,47.8,2023-04-23T13:00:16.961Z,2023-04-24T07:05:34Z,4213368529,213,4.1,4216472921,178,,4213368523,140,28.9,4213368521,56,Back,4213368525,141,16.2,4213368527,212,26.3,,,,,,,8s5u921me5pvsfyvysjgpu2qy,M. Cham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537977405,6,1,1,0,5,17o35s8assv3kamxowzz77k4r,1,28.9,20.9,2023-04-23T13:00:19.967Z,2023-04-24T07:05:34Z,4213368597,212,26.6,4213368595,141,49.3,4213368591,56,Back,4213368593,140,11.5,4213368599,213,2.3,4216473323,178,,,,,,,,5rd9832gct7uy0acodmor8b11,F. Ogier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537977465,7,1,1,0,7,17o35s8assv3kamxowzz77k4r,0,9.2,49.9,2023-04-23T13:00:22.218Z,2023-04-24T07:05:33Z,4213368925,56,Center,4213368931,212,50.4,4216473377,178,,4213368933,213,6.3,4213368927,140,57.2,4213368923,157,,4213368929,141,49.7,4213368935,1,,c6u4h9wy88ymj6whiz93jknv9,M. Diaw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537977471,3,8,1,0,11,bx0cdmzr2gwr70ez72dorx82p,1,42.9,47.4,2023-04-23T13:00:26.218Z,2023-04-24T07:05:33Z,4215670531,384,,4213368963,56,Back,4216473543,178,,4213369005,15,,,,,,,,,,,,,,7cp51c8zn7y08iyk0hc9ix5nt,J. Todibo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
