id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/9/value,qualifier/11/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,assist,qualifier/15/id,qualifier/15/qualifierId,qualifier/14/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/16/value,qualifier/17/value,qualifier/18/value,qualifier/13/value
2501002243,1,34,16,0,0,z1wbqtd0fz5t5eezjvrbld3h,1,0,0,2023-01-27T19:03:38.033Z,2023-01-27T20:02:20Z,3996991877,30,"cym4wbw14zw1jh4jsp3sbyk0l, xrh2szvp5808no7zm1et2zf9, 92qqdiryqd8juqdjq8585476y, 8qlz4omhgfnzyb2cgeou7xn56, otan631zzfnq2sektkl3ywo9, ayx2iydekv69471d92zmpbbze, draibw1vui84ciizu30az81jp, 3hd9nxdb54zn4fhbf7qa7x0q1, 6u2ob6fv950r1qve8uejkq2uh, 49vfeofafswzu1f6rekqjbjhm, dzv5f93w5fsnfzohaev6e3rx0, 3o70kdbjt6w1aw7rkq3a4fecq, 9br2z5cf6stmnidehwo5a8afp, 448wxnlqhqqf2hcecwut90n6y, 85gmjxvy1g5aj1lcizegwuaui, 47bjfjrtjv3uv5lnguc2ycg0k, crn7i9243dnczl74jti8i5pzp, bamobogg0wjnxd43nxunt3h4a, 2ubad2kxha6n1c8c8sr2ogmad, 446lrhzh79xugyt2pgnrwypnu",3996991879,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3996991887,194,xrh2szvp5808no7zm1et2zf9,3996991881,59,"30, 27, 3, 5, 2, 15, 14, 21, 19, 6, 33, 1, 8, 10, 11, 18, 20, 23, 25, 31",3996991889,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3996991883,130,11,3996993009,197,666,3996991885,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501005847,1,34,16,0,0,70nn27vgkt6l48lvv5e66q7ww,1,0,0,2023-01-27T19:08:05.553Z,2023-01-27T19:08:05Z,3997009367,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3997009361,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3997009369,194,3hiehiu25aufrc0q9890haqc5,3997009363,59,"1, 24, 25, 10, 15, 3, 7, 6, 9, 21, 37, 2, 4, 8, 12, 18, 27, 29, 70, 77",3997009373,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3997009365,130,8,3997009371,197,641,3997009359,30,"6oi4a3g56xe76g0gg38knmzmd, 322sju1vi12p0r9a8048hnmxh, 538zux65h0l9028fpf4v1g0r9, 44o5mjglkzqxctz07ust9bcru, d8jdziu0arw1rcx5byxd7rj6d, 996i59930r3kd4xk48x9fsp2h, 2abpo4w3jcxp1wzp50yypxsrt, 3hiehiu25aufrc0q9890haqc5, 466ev7tumk8flx0gz9d0h15d6, e83sc1gnj31vgpo9u6fknmfvt, 2zvbw080n4yro1phgv39ri3qi, 31ur1f7xmxndnnabhrxyov6xh, cyz9jisw86vjjf85xxgbae0yy, 7cty3nkd7c84e16537v6y1djp, e32urdrdkp44zmnt6ptg0k12i, 38cotevgsirv0csora7bar3vu, d45fs5pqxxq9nopbmeh6lpoet, 8n0560evn4ni29dw9xece45ey, 2qkesslfmzmgt7igvgosixg8a, 3cy6mfbd2vlj9fa1xz2ow3949",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501036653,2,32,1,0,0,70nn27vgkt6l48lvv5e66q7ww,1,0,0,2023-01-27T20:00:07.113Z,2023-01-28T00:48:27Z,3997165241,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501036645,2,32,1,0,0,z1wbqtd0fz5t5eezjvrbld3h,1,0,0,2023-01-27T20:00:07.113Z,2023-01-27T20:00:07Z,3997165189,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501036657,3,1,1,0,0,z1wbqtd0fz5t5eezjvrbld3h,1,50,50,2023-01-27T20:00:07.215Z,2023-01-28T00:54:53Z,3997165271,279,S,3997165265,141,47.4,3997541645,178,,3997165269,213,4.0,3997165263,140,48.4,3997165261,56,Back,3997165267,212,2.4,,,,6u2ob6fv950r1qve8uejkq2uh,A. Gouiri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501036669,4,1,1,0,1,z1wbqtd0fz5t5eezjvrbld3h,0,50.9,48.2,2023-01-27T20:00:08.420Z,2023-01-28T04:04:12Z,3997541715,178,,3997165331,141,79.6,3997165337,1,,3997165333,212,34.1,3997165557,157,,3997165329,140,76.2,3997165327,56,Left,3997165335,213,0.7,draibw1vui84ciizu30az81jp,B. Bourigeaud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501036685,3,1,1,0,4,70nn27vgkt6l48lvv5e66q7ww,1,19.1,16.3,2023-01-27T20:00:11.329Z,2023-01-28T04:04:12Z,3997541747,178,,3997165425,213,2.4,3997165415,3,,3997165423,212,13.6,3997165419,140,9.5,3997165421,141,29.8,3997165417,56,Back,,,,322sju1vi12p0r9a8048hnmxh,G. Kalulu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501036687,4,52,1,0,6,70nn27vgkt6l48lvv5e66q7ww,1,8.1,33.3,2023-01-27T20:00:13.720Z,2023-01-28T04:04:11Z,3997541783,178,,3997482245,376,,,,,,,,,,,,,,,,,,,,6oi4a3g56xe76g0gg38knmzmd,V. Mannone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501036745,5,1,1,0,13,70nn27vgkt6l48lvv5e66q7ww,1,15.7,37.7,2023-01-27T20:00:20.920Z,2023-01-28T04:04:11Z,3997165711,213,5.2,3997541805,178,,3997165701,123,,3997165707,141,12.2,3997165709,212,20.0,3997165703,56,Back,3997165705,140,25.1,,,,6oi4a3g56xe76g0gg38knmzmd,V. Mannone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501036755,6,1,1,0,17,70nn27vgkt6l48lvv5e66q7ww,0,27.8,0.9,2023-01-27T20:00:24.390Z,2023-01-28T04:04:10Z,3997165763,140,69.3,3997165769,213,0.2,3997165767,212,44.2,3997165761,56,Right,3997165765,141,11.9,3997165771,1,,3997541909,178,,3997165759,155,,d8jdziu0arw1rcx5byxd7rj6d,J. Laporte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
