id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,keyPass,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/11/value,qualifier/13/value,assist,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/18/value
2472838525,1,34,16,0,0,3unkqo2g6ag99gd5ynz1j7vse,1,0,0,2022-10-16T12:08:55.622Z,2022-10-16T12:52:58Z,3848569541,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3848569539,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3848569535,59,"1, 18, 39, 12, 23, 2, 24, 10, 7, 11, 20, 4, 5, 6, 9, 19, 26, 27, 29, 30",3848569537,130,13,3848569531,30,"1bs4vwqye00mn2oaxrvfkkt7t, 4hns4p7a45kno60qqzlniycmi, 577j49ffrxuurraco9chy388a, e0tmfkagd1lmf2hw7gctbaqqd, 2smai2vq1r9xnemihvcq0doet, 87gvtfqgn555sywr78abximsp, 9nhlgi0k783bq8a2704bu6n6d, 5x4cp16m9z8vzgq1kkjvm71ed, bj37ny1s1gbbe4wrgyz1wag9h, demp53kye0ium76t240vo8cet, a7rdypucykxo0a9xmcuqzabpx, 7etm5qf3sonimtxllrw5xwkid, 1vpmf7p9xsaynj1t9g5wm1qz9, 3h3g7sne1jjevj0mwyliehm95, 900q6uo21i95co96snohqofyt, dj2f6zk2cd8u9lt6odoei9cdl, 57sdn53awg8fzbygrwchg6u7e, a6pjrmdp1y0gazp1wfsof3gno, 9bkzl4dx3mci3w86rjpfkwowk, 8xdrtww8r5jbxuxtall0wh591",3848613159,197,15910,3848569533,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3848591291,194,2smai2vq1r9xnemihvcq0doet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472842933,1,34,16,0,0,6xjy1q2m55iiwe8g1r1yffbc9,1,0,0,2022-10-16T12:13:08.137Z,2022-10-16T12:58:33Z,3848591649,130,2,3848591641,30,"3xpo0nc3hysdi41gupi7adot1, cujgdqrikyjt36scc23zcbkk5, 3qcyotm0vljybir8poi67stsl, d3d1qks236pztzcqp3wdcc0l, 70ukveu4kwheeizg6x694krmx, 67q7ve9vse4m2nb82j2z1clhx, 1lbgavu1rxlrfg14062suwyj9, bm1utly0qt2kaexijsu2p2tw5, 1xxlgx6g07x3r0zwzywm26sq1, 2fa3vmp34mwrthdiehnaxnnqh, bi49lcldxz8jubp72kgeke2y2, 2hujd2bwvb0wtxdna6c0xb2z9, 529k1s89fjg133s8ycjwvgg5x, i0pvdl0hx7idtfi0xymygmp5, 8wz2w0267i1845k87hxsgandh, 5fvzbq3mstt7eatkjpodbvpm2, 91g10pv6w3bd0rw6p4t3hcui2, 84ikqi9s3lng1mo4lxwq210wl, 1xawzpx3vp3b7wqx6w5avdb6x, dfdq5f5mrzq9zaj1mrfhk5905",3848591647,59,"1, 20, 99, 8, 25, 21, 5, 6, 11, 7, 27, 2, 4, 15, 16, 18, 22, 23, 29, 92",3848591653,194,bm1utly0qt2kaexijsu2p2tw5,3848591655,197,624,3848591657,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3848591651,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3848591643,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472888747,2,32,1,0,0,6xjy1q2m55iiwe8g1r1yffbc9,1,0,0,2022-10-16T13:00:07.049Z,2022-10-16T13:00:09Z,3848826271,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472888717,2,32,1,0,0,3unkqo2g6ag99gd5ynz1j7vse,1,0,0,2022-10-16T13:00:07.049Z,2022-10-16T19:31:14Z,3848826133,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472888785,3,1,1,0,0,3unkqo2g6ag99gd5ynz1j7vse,1,50.2,50.1,2022-10-16T13:00:07.093Z,2022-10-16T19:48:19Z,3848826427,56,Back,3848826429,140,35.0,3848826433,212,16.1,3848826431,141,52.8,3850749445,178,,3848826435,213,3.0,3848826437,279,S,,,,a7rdypucykxo0a9xmcuqzabpx,R. Ripart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472888847,4,1,1,0,2,3unkqo2g6ag99gd5ynz1j7vse,1,36.8,50.8,2022-10-16T13:00:09.844Z,2022-10-17T06:42:48Z,3848826697,212,37.0,3848826695,141,21.0,3848826693,140,66.3,3848826687,155,,3848826689,56,Right,3850749525,178,,3848826699,213,5.7,3848826701,1,,5x4cp16m9z8vzgq1kkjvm71ed,F. Tardieu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472888851,5,44,1,0,5,3unkqo2g6ag99gd5ynz1j7vse,1,72.9,18.6,2022-10-16T13:00:12.431Z,2022-10-17T06:42:48Z,3848826729,286,,3848826767,233,3,3848826727,56,Right,,,,,,,,,,,,,,,,87gvtfqgn555sywr78abximsp,J. Porozo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472888833,3,44,1,0,5,6xjy1q2m55iiwe8g1r1yffbc9,0,27.1,81.4,2022-10-16T13:00:12.432Z,2022-10-17T06:42:47Z,3848826631,285,,3848826795,233,5,3848826629,56,Back,,,,,,,,,,,,,,,,3qcyotm0vljybir8poi67stsl,Y. Koné,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472888877,6,1,1,0,5,3unkqo2g6ag99gd5ynz1j7vse,1,72.7,21.2,2022-10-16T13:00:12.461Z,2022-10-17T06:42:47Z,3848826841,141,11.0,3848826839,140,67.2,3848826845,213,4.0,3848826843,212,9.0,3849155103,156,,3850749741,388,,3848826835,3,,3848826837,56,Right,87gvtfqgn555sywr78abximsp,J. Porozo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472888885,7,1,1,0,6,3unkqo2g6ag99gd5ynz1j7vse,1,71.4,13.8,2022-10-16T13:00:13.637Z,2022-10-17T06:42:47Z,3848826883,213,2.5,3848826871,56,Right,3848826877,140,68.9,3850749995,388,,3849155539,3,,3848826879,141,16.5,3848826881,212,3.2,,,,bj37ny1s1gbbe4wrgyz1wag9h,Mama Baldé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
