id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,keyPass,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/14/value,qualifier/17/value,assist
2446080925,1,34,16,0,0,3c3jcs7vc1t6vz5lev162jyv7,1,0,0,2022-08-14T12:09:50.668Z,2022-08-14T13:15:50Z,3706219435,130,17,3706219441,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3706219439,194,976riwm0dz0e74d4l28y3ttcl,3706219433,59,"1, 4, 28, 5, 24, 6, 21, 15, 29, 19, 3, 7, 10, 18, 26, 39, 41, 48, 70, 94",3706354037,197,662,3706219437,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3706219431,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3706219429,30,"4ilnnpfgjfz35lni9ppzd93v9, afymbx9eo87zau8mo99pakbu, 2ds26ub6ho0baamsjcmh7mmfo, 976riwm0dz0e74d4l28y3ttcl, 36h87ecgmpjdltk1epsbvmiju, 9p5jc07qnxrzpcmnh1cp6b3l5, 96wcx761pzv5ub4sfwsynp51x, 8qmm84tue6kuz8e5nhhdhmz8p, edti8t30h7ukwi3wqlzaczje1, 7ty1wdxxnusgkl34k5raipbl5, 8gkexxgf3pypshhqwg6ibp7o4, e6ok0deqkoe80184iu509gzu2, agwvouyocx93y39g7tmwaojx1, dlybxu0l5r7yi8i11myd7ldgq, fvd7y3f6948713acbas7w3u2, cmrdm4nnd62inlvsnc52vkicp, 41gpjj5od0ww4rnopzgp1oetw, 34qnp7hi8hr2xtmxnxyv6hxjo, ccu7hw3wrcspl1a18g2ldnsh5, 89sv092huj2obzdazmft854a1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2446081977,1,34,16,0,0,17o35s8assv3kamxowzz77k4r,1,0,0,2022-08-14T12:11:39.391Z,2022-08-14T12:56:42Z,3706354075,197,8270,3706224561,59,"99, 36, 3, 25, 4, 21, 11, 7, 9, 70, 18, 91, 5, 8, 10, 17, 19, 23, 40, 95",3706224567,194,5rd9832gct7uy0acodmor8b11,3706224557,30,"c6u4h9wy88ymj6whiz93jknv9, 7j0fv43b1dkuiqk71ym4mmw6i, 237j1qagaotsy5j9wo3xqfgtl, 4obcheuxcvbu6zo3fyq3b6x91, 1u990wv0bo82xqv2s0e8m8ic5, 5rd9832gct7uy0acodmor8b11, bt2pm0it9f1o216uxo3abfpbd, aflbpdgjm6huba3f9t848d4o9, 3xbgtth9h7ywlkpdzy8rwkbth, 8s5u921me5pvsfyvysjgpu2qy, c8vsa9o761rsdy9l8xbtj3etx, akz04kph7qmvbpk3auntlfowl, 2nzudhogp3eeg3gngnvs46e3t, 99qzt37krl7vrlaioaf0tjyz9, 4elohf5kyq6i1jmywfuzhh2ol, bxdqxy4grh0ct3d8emys8qxw4, 8f5suoft1lt9thk1arm4u8max, ag74mepy9fnmlykodxo0oxhwp, a0rtzwzmnn4wj58rdrj95rvft, 757jd3kvmh2izb7q7k8if209h",3706224563,130,8,3706224569,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3706224559,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3706224565,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2446111887,2,32,1,0,0,3c3jcs7vc1t6vz5lev162jyv7,1,0,0,2022-08-14T13:00:05.414Z,2022-08-14T18:27:53Z,3706361073,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2446111901,2,32,1,0,0,17o35s8assv3kamxowzz77k4r,1,0,0,2022-08-14T13:00:05.414Z,2022-08-14T13:00:06Z,3706361143,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2446111919,3,1,1,0,0,3c3jcs7vc1t6vz5lev162jyv7,1,49.9,50,2022-08-14T13:00:05.549Z,2022-08-14T19:03:07Z,3706361207,140,40.4,3706361211,212,11.6,3706361205,56,Back,3706361209,141,41.3,3706361215,279,S,3707703851,178,,3706361213,213,3.7,,,,edti8t30h7ukwi3wqlzaczje1,F. Balogun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2446111955,4,1,1,0,2,3c3jcs7vc1t6vz5lev162jyv7,1,40.3,47.7,2022-08-14T13:00:07.505Z,2022-08-14T21:44:14Z,3706361411,213,5.0,3707703887,178,,3706361407,141,3.2,3706361403,56,Back,3706361405,140,47.9,3706361409,212,31.3,,,,,,,96wcx761pzv5ub4sfwsynp51x,A. Matusiwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2446112015,5,1,1,0,6,3c3jcs7vc1t6vz5lev162jyv7,1,60.8,5.5,2022-08-14T13:00:11.507Z,2022-08-14T21:44:12Z,3706361643,212,29.4,3706361637,56,Right,3707703937,178,,3706361645,213,0.0,3706361639,140,88.8,3706361641,141,7.3,,,,,,,afymbx9eo87zau8mo99pakbu,M. Busi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2446112079,6,1,1,0,9,3c3jcs7vc1t6vz5lev162jyv7,0,92.9,6.7,2022-08-14T13:00:14.501Z,2022-08-14T21:44:12Z,3706361917,141,69.6,3706361923,1,,3706361911,155,,3707107601,224,,3706361919,212,42.9,3707107603,20,,3706361909,2,,3707703947,178,,7ty1wdxxnusgkl34k5raipbl5,M. van Bergen,3706361915,140,95.6,3706361913,56,Center,3706361921,213,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2446112093,3,3,1,0,12,17o35s8assv3kamxowzz77k4r,1,3.2,27.4,2022-08-14T13:00:17.903Z,2022-08-14T21:44:11Z,3706361975,285,,3706362051,233,7,3707703983,178,,3707549373,465,,3706361973,56,Back,,,,,,,,,,7j0fv43b1dkuiqk71ym4mmw6i,A. Seidu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2446112107,7,45,1,0,12,3c3jcs7vc1t6vz5lev162jyv7,0,96.8,72.6,2022-08-14T13:00:17.903Z,2022-08-14T21:44:12Z,3706364379,233,3,3706362031,286,,3706362029,56,Center,,,,,,,,,,,,,,,,8qmm84tue6kuz8e5nhhdhmz8p,M. Munetsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
