id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/8/value,qualifier/9/value,qualifier/11/value,qualifier/12/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/14/value,qualifier/16/value,qualifier/13/value,assist,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2503992811,1,34,16,0,0,3unkqo2g6ag99gd5ynz1j7vse,1,0,0,2023-02-04T17:06:48.515Z,2023-02-04T18:14:19Z,4012630643,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4012630639,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4012803341,197,15910,4012630633,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4012630637,130,12,4012630631,30,"8xdrtww8r5jbxuxtall0wh591, dj2f6zk2cd8u9lt6odoei9cdl, 577j49ffrxuurraco9chy388a, 7etm5qf3sonimtxllrw5xwkid, eznhm6o1jymvzaucjlngbaad, 87gvtfqgn555sywr78abximsp, 3h3g7sne1jjevj0mwyliehm95, 9nhlgi0k783bq8a2704bu6n6d, bj37ny1s1gbbe4wrgyz1wag9h, demp53kye0ium76t240vo8cet, c8mp2wwwyvy930vfjnivg2hre, 1bs4vwqye00mn2oaxrvfkkt7t, 900q6uo21i95co96snohqofyt, 4hns4p7a45kno60qqzlniycmi, a7rdypucykxo0a9xmcuqzabpx, ckcjk3zjpix288d6zihltlst0, 6y6kws3zsdtqgq6iufkearevo, 9bkzl4dx3mci3w86rjpfkwowk, 1iawtsm8hqaczx4awpv9byz9w, 4flkjaqzm2oqc51xn8sstjg9g",4012630635,59,"30, 19, 39, 4, 17, 2, 6, 24, 7, 11, 8, 1, 9, 18, 20, 22, 28, 29, 31, 32",4012630641,194,eznhm6o1jymvzaucjlngbaad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503994339,1,34,16,0,0,121le8unjfzug3iu9pgkqa1c7,1,0,0,2023-02-04T17:09:34.663Z,2023-02-04T17:57:47Z,4012639007,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4012638995,30,"d3mss0i879krqrk1owzmj2c45, 8jt4vsixxoqp4uvskyfl7k222, 40hu79d2a4k94nc52z7dblpsl, d68byfvk16giaur32gqwpwded, e9mtpmkb4qj2gqyv966g9ulpm, z2richg7upw6hth0dzrvm02d, 6ovea0xzg9yflmlbjdf1xcmlm, 1ehcji0j9s8b0qsj8v5zinjvu, f4cykd65su8xbme6xdc1iw7o5, a71n80h977h7fu99ftnri5zsa, 79dz7zni5fcgh5e70spoj2j8p, amvonu36at4dg7ksi1ioczi3u, aaaskdins76bd0368sbpt7wq2, 412hlm2edd05jd1ad597brcvd, d9zax4y92d85x7j63kg7ckvkl, 8rcole4a6y4fkamv87q3hqk0l, aftis8f2ahy7dhk5bp8co4q1h, al6dgtinz0ki8uj8wrvc7fg2c, 3vu0c0j8n99wz6e2f7fmd2pxx, 7to9ns7mkuji0ciwh1ufkq3md",4012638997,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4012639001,130,23,4012639005,194,f4cykd65su8xbme6xdc1iw7o5,4012638999,59,"1, 27, 3, 88, 2, 5, 24, 18, 10, 26, 6, 7, 4, 8, 9, 12, 17, 20, 23, 35",4012796251,197,643,4012639003,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504025969,2,32,1,0,0,3unkqo2g6ag99gd5ynz1j7vse,1,0,0,2023-02-04T18:00:38.703Z,2023-02-05T00:10:56Z,4012803469,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504025961,2,32,1,0,0,121le8unjfzug3iu9pgkqa1c7,1,0,0,2023-02-04T18:00:38.703Z,2023-02-04T18:00:38Z,4012803401,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504025983,3,1,1,0,0,121le8unjfzug3iu9pgkqa1c7,1,49.5,50,2023-02-04T18:00:39.143Z,2023-02-05T01:03:03Z,4012803575,212,2.2,4012803571,140,50.9,4012803577,213,5.4,4012803579,279,S,4012803573,141,47.6,4013725367,178,,4012803569,56,Center,,,,f4cykd65su8xbme6xdc1iw7o5,A. Lacazette,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504025985,4,1,1,0,0,121le8unjfzug3iu9pgkqa1c7,1,50.5,50.7,2023-02-04T18:00:39.414Z,2023-02-05T05:18:54Z,4012803589,141,62.4,4012803591,212,19.4,4012803585,56,Back,4013725459,178,,4012803593,213,2.7,4012803587,140,33.6,,,,,,,1ehcji0j9s8b0qsj8v5zinjvu,R. Cherki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504026001,5,1,1,0,2,121le8unjfzug3iu9pgkqa1c7,1,40.1,54.4,2023-02-04T18:00:41.213Z,2023-02-05T05:18:53Z,4012803691,141,89.0,4012803695,213,1.7,4012803689,140,36.4,4012803693,212,23.8,4013725641,178,,4012803687,56,Back,,,,,,,d68byfvk16giaur32gqwpwded,C. Tolisso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504026053,6,1,1,0,4,121le8unjfzug3iu9pgkqa1c7,1,40.6,81,2023-02-04T18:00:43.548Z,2023-02-05T05:18:52Z,4012804005,213,3.7,4012804001,141,73.0,4013725811,178,,4012803997,56,Back,4012803999,140,32.1,4012804003,212,10.5,,,,,,,40hu79d2a4k94nc52z7dblpsl,N. Tagliafico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504026093,7,1,1,0,11,121le8unjfzug3iu9pgkqa1c7,0,34.7,63.6,2023-02-04T18:00:50.046Z,2023-02-05T05:18:50Z,4012804163,56,Center,4012804169,212,38.3,4012804173,1,,4013726347,178,,4012804165,140,70.3,4012804161,155,,4012804171,213,6.1,4012804167,141,51.6,z2richg7upw6hth0dzrvm02d,D. Lovren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504026133,3,1,1,0,14,3unkqo2g6ag99gd5ynz1j7vse,1,27,53.7,2023-02-04T18:00:53.100Z,2023-02-05T05:18:49Z,4012804357,213,5.8,4012804355,212,11.0,4012804347,3,,4012804351,140,36.4,4013726539,388,,4012804349,56,Back,4012804353,141,46.7,,,,7etm5qf3sonimtxllrw5xwkid,E. Palmer-Brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
