id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,keyPass,qualifier/10/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/12/value,qualifier/15/value,qualifier/16/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/11/value,qualifier/13/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/18/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/21/id,qualifier/21/qualifierId
2519468869,1,34,16,0,0,71ajatxnuhc5cnm3xvgdky49w,1,0,0,2023-03-12T18:57:23.511Z,2023-03-12T19:52:02Z,4094347501,30,"2vgr8c97x4b2e51tyvvixusid, 1y5p476l4ihjndiyvfsmcg82x, 17acodpsoxkhha2iem2465ivp, 7atxpldexe9adg8ft1wbjndud, d5at3cowukpxiptq5ozcbe6s5, 7z1gixk4hvbbgo71xgb04942x, d394go61g90f1u6bddu1narit, 9ysk6656hj0na1hrizgt83k5x, bndkgzdolm2c3iteenkv8s3it, 950o8rjqvnl5bnidq2dc3fglx, 88nw24pkg2ikj9c91tccvqol, eo47h2ekymiisj3kry3og7tgp, f0busiccqoe2jg69st02ngfe1, 42vsnv2j6emkbynforgon4n2t, 53nd6a4o02ebb0w2s12prijje, egtyl4noukbjkm1va1i11e87o, cb6w7n7n1eh9huwzyzvgmdxih, bzyckons6yiek0xm2xtt0bf9w, 3zkkrq8sph1lo23bt8d1nz10, 1hlvnmu8we38d44sdexhhxcyd",4094347511,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4094347509,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4094347505,59,"1, 2, 3, 32, 24, 22, 8, 11, 20, 9, 6, 5, 12, 14, 18, 19, 27, 35, 40, 77",4094347503,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4094520863,194,9ysk6656hj0na1hrizgt83k5x,4094347507,130,12,4094516197,197,16155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519475237,1,34,16,0,0,27xvwccz8kpmqsefjv2b2sc0o,1,0,0,2023-03-12T19:07:28.355Z,2023-03-12T19:43:11Z,4094385109,30,"26atxu4fr8f87oi8mt6z70mhh, c4w6l0ha9pvwljyh3aejqz3yt, dqsslq1iz1azubowq3anwws4q, 9j742o5vdc7d54x1xdz4t9ck5, 74edqcuzfzy7nswqzn0v3pe22, bb5eekaj9i0dbckrkb629qg2d, 8s259ktv9j6ei0f8rh2msqfh1, 5fbnkkf1saix4lonwx1i9k7o5, vl1b0gayryiqvl5dlukpmswl, cip5lla8zu8gru2m4popsstlh, 4euxcqawlks4c56pqj8xvwbf9, 9jw0h4escxh3eqz8oh860r3yt, 8ni13k73i9xusj01utdmqk7h1, asvqr3i5wcjiajxipt1qvldyh, 41jb0ts5688xz8ell62rybm22, cnriqwh17pqgz7p2gt74uar6c, 26mggguhavwmnq1oak12ket, 2p70qo9oxplufwnhlrl2b8v3e, adkchwdsbosevyzmfoy60t82c, 4dbs7cgevy096gouv60eurh05",4094385119,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4094385121,194,8s259ktv9j6ei0f8rh2msqfh1,4094385113,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4094509027,197,15909,4094385117,130,17,4094385123,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4094385115,59,"16, 7, 30, 23, 5, 99, 21, 27, 70, 17, 18, 3, 4, 6, 8, 9, 10, 29, 33, 36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519500331,2,32,1,0,0,71ajatxnuhc5cnm3xvgdky49w,1,0,0,2023-03-12T19:45:20.898Z,2023-03-12T19:45:24Z,4094516793,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519500317,2,32,1,0,0,27xvwccz8kpmqsefjv2b2sc0o,1,0,0,2023-03-12T19:45:20.898Z,2023-03-13T01:17:27Z,4094516749,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519500367,3,1,1,0,0,27xvwccz8kpmqsefjv2b2sc0o,1,50,50,2023-03-12T19:45:20.924Z,2023-03-13T01:43:08Z,4095142541,178,,4094517005,279,S,4094516999,141,59.1,4094517003,213,2.7,4094517001,212,14.8,4094516995,56,Back,4094516997,140,37.2,,,,vl1b0gayryiqvl5dlukpmswl,A. Sánchez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519500385,4,1,1,0,1,27xvwccz8kpmqsefjv2b2sc0o,1,40.4,57.4,2023-03-12T19:45:22.756Z,2023-03-13T06:24:54Z,4095142605,178,,4094517129,213,1.5,4094517123,140,42.3,4094517127,212,21.4,4094517121,56,Back,4094517125,141,88.7,,,,,,,5fbnkkf1saix4lonwx1i9k7o5,J. Veretout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519500407,5,1,1,0,6,27xvwccz8kpmqsefjv2b2sc0o,0,47.7,91.7,2023-03-12T19:45:26.975Z,2023-03-13T06:24:52Z,4095142699,178,,4094517259,213,5.2,4094517249,140,56.4,4094517253,141,68.1,4094517247,56,Center,4094517257,212,18.5,,,,,,,dqsslq1iz1azubowq3anwws4q,Nuno Tavares,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519500401,3,49,1,0,8,71ajatxnuhc5cnm3xvgdky49w,1,43.9,30.8,2023-03-12T19:45:29.055Z,2023-03-13T06:24:52Z,,,,,,,,,,,,,,,,,,,,,,,,,88nw24pkg2ikj9c91tccvqol,J. Aholou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519500411,4,1,1,0,8,71ajatxnuhc5cnm3xvgdky49w,0,44.3,30.7,2023-03-12T19:45:29.102Z,2023-03-13T06:24:51Z,4094517275,212,8.5,4094517277,213,1.7,4094517273,141,43.1,4095142993,178,,4094517271,140,43.3,4094517269,56,Back,,,,,,,88nw24pkg2ikj9c91tccvqol,J. Aholou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519567751,761,8,1,0,8,27xvwccz8kpmqsefjv2b2sc0o,1,52.5,70.4,2023-03-12T19:45:29.321Z,2023-03-13T06:24:51Z,4095143081,178,,4094885191,56,Center,4094885383,383,,,,,,,,,,,,,,,,,5fbnkkf1saix4lonwx1i9k7o5,J. Veretout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
