id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/12/value,qualifier/10/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/14/value
2449225267,1,34,16,0,0,bx0cdmzr2gwr70ez72dorx82p,1,0,0,2022-08-21T12:05:48.957Z,2022-08-21T13:08:23Z,3722885883,30,"8govqd0xf8ijst50tgypaep5h, 4u281v53ges3kimtgac0tidm2, 8f3bhiy6r5eei1n25exhbwr8p, 8rfgwq7hbi4a3imda845vdyvp, 7cp51c8zn7y08iyk0hc9ix5nt, azuc3tma44xyrbgf5y279o1xx, 9tgbdheyuooa8cfz06l577end, vja0xo3xiuax8eh0b6q3y09, 5ak9fwtqlr2pll0nsv5br7p7u, 6j0ogojh2b7poyceg7i3k09yi, 6u2ob6fv950r1qve8uejkq2uh, e3kdoxu1kwn2w3wwi1rqhvr9x, eolso19u03zxw2pca2i95v4dl, 5o0h8eeydl8t92qp3ywekqh1x, 6zerxodnjkvpko1ogfwd2hgyc, 99f4n1ws494k96r9ewdcrecbt, 2kgvn1lt5yjsixg13fj0cidt6, 7sep6mx2s67mh5fr3raxu7aei, 2e0ipswbkv4vf7lav6ee1j3oq, 8pgocmr00qw7b9919c8zh4bmx",3722885889,130,8,3722885893,194,azuc3tma44xyrbgf5y279o1xx,3723097873,197,15913,3722885887,59,"1, 5, 23, 99, 25, 4, 22, 8, 14, 19, 11, 7, 10, 16, 18, 20, 21, 26, 42, 90",3722885895,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3722885891,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3722885885,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2449233025,1,34,16,0,0,17o35s8assv3kamxowzz77k4r,1,0,0,2022-08-21T12:13:03.837Z,2022-08-21T12:59:01Z,3722921815,130,8,3722921811,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3723098555,197,8270,3722921821,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3722921817,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3722921819,194,5rd9832gct7uy0acodmor8b11,3722921813,59,"99, 36, 3, 25, 4, 21, 10, 12, 9, 70, 11, 5, 7, 8, 19, 20, 23, 40, 91, 95",3722921809,30,"c6u4h9wy88ymj6whiz93jknv9, 7j0fv43b1dkuiqk71ym4mmw6i, 237j1qagaotsy5j9wo3xqfgtl, 4obcheuxcvbu6zo3fyq3b6x91, 1u990wv0bo82xqv2s0e8m8ic5, 5rd9832gct7uy0acodmor8b11, 4elohf5kyq6i1jmywfuzhh2ol, bzr6a9okokrgaskvsbl03xmtx, 3xbgtth9h7ywlkpdzy8rwkbth, 8s5u921me5pvsfyvysjgpu2qy, bt2pm0it9f1o216uxo3abfpbd, 2nzudhogp3eeg3gngnvs46e3t, aflbpdgjm6huba3f9t848d4o9, 99qzt37krl7vrlaioaf0tjyz9, 8f5suoft1lt9thk1arm4u8max, avcxyogv41ujbepqd5qrwki51, ag74mepy9fnmlykodxo0oxhwp, a0rtzwzmnn4wj58rdrj95rvft, akz04kph7qmvbpk3auntlfowl, 757jd3kvmh2izb7q7k8if209h",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2449272099,2,32,1,0,0,bx0cdmzr2gwr70ez72dorx82p,1,0,0,2022-08-21T13:00:36.609Z,2022-08-21T13:00:37Z,3723103335,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2449272087,2,32,1,0,0,17o35s8assv3kamxowzz77k4r,1,0,0,2022-08-21T13:00:36.609Z,2022-08-21T21:41:25Z,3723103281,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2449272137,3,1,1,0,0,17o35s8assv3kamxowzz77k4r,1,50,50,2022-08-21T13:00:36.624Z,2022-08-21T23:10:05Z,3723103467,56,Back,3723103473,212,18.7,3723103477,279,S,3723103469,140,33.4,3725183217,178,,3723103471,141,40.1,3723103475,213,3.5,,,,3xbgtth9h7ywlkpdzy8rwkbth,K. Andrić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2449272187,4,1,1,0,2,17o35s8assv3kamxowzz77k4r,1,37.6,39.7,2022-08-21T13:00:38.895Z,2022-08-22T02:06:15Z,3723103703,212,18.3,3723103701,141,13.5,3725184019,178,,3723103705,213,4.5,3723103699,140,33.7,3723103697,56,Back,,,,,,,bzr6a9okokrgaskvsbl03xmtx,M. Gonalons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2449272215,5,1,1,0,4,17o35s8assv3kamxowzz77k4r,1,37.9,15,2022-08-21T13:00:41.599Z,2022-08-22T02:06:14Z,3723103841,212,16.2,3723103839,141,25.1,3723103837,140,23.9,3723103843,213,2.7,3725184547,178,,3723103835,56,Back,,,,,,,7j0fv43b1dkuiqk71ym4mmw6i,A. Seidu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2449272289,6,1,1,0,7,17o35s8assv3kamxowzz77k4r,1,24.1,27.4,2022-08-21T13:00:44.153Z,2022-08-22T02:06:13Z,3723104207,56,Back,3723104209,140,25.3,3723104213,212,21.3,3723104211,141,58.6,3723104215,213,1.5,3725184997,178,,,,,,,,1u990wv0bo82xqv2s0e8m8ic5,M. Wieteska,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2449272309,7,1,1,0,11,17o35s8assv3kamxowzz77k4r,1,30.3,62.7,2022-08-21T13:00:48.084Z,2022-08-22T02:06:12Z,3723104311,212,15.3,3725185091,178,,3723104305,56,Back,3723104313,213,2.0,3723104309,141,83.5,3723104307,140,24.8,,,,,,,4obcheuxcvbu6zo3fyq3b6x91,J. Gastien,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2449272339,8,1,1,0,13,17o35s8assv3kamxowzz77k4r,1,23.9,88.6,2022-08-21T13:00:50.398Z,2022-08-22T02:06:11Z,3723104453,213,4.3,3725185261,178,,3723104449,141,46.6,3723104447,140,13.3,3723104451,212,30.7,3723104445,56,Back,,,,,,,5rd9832gct7uy0acodmor8b11,F. Ogier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
