id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/10/value,qualifier/9/value,qualifier/12/value,qualifier/13/value,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/11/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2497686225,1,34,16,0,0,bx0cdmzr2gwr70ez72dorx82p,1,0,0,2023-01-15T13:26:09.684Z,2023-01-15T14:24:02Z,3979567617,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3979643467,197,15913,3979567615,130,4,3979567621,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3979567619,194,azuc3tma44xyrbgf5y279o1xx,3979567609,30,"8govqd0xf8ijst50tgypaep5h, 8f3bhiy6r5eei1n25exhbwr8p, 7sep6mx2s67mh5fr3raxu7aei, e7e68wlpiqqohpg71oh4vrbl6, 7cp51c8zn7y08iyk0hc9ix5nt, azuc3tma44xyrbgf5y279o1xx, 5o0h8eeydl8t92qp3ywekqh1x, 6j0ogojh2b7poyceg7i3k09yi, 7fcq014jmdb0uqldcts6tglat, 3n9jnuteyjx6w6dxviuead0b9, ct32113pfx5q9avf2c0x208ru, vja0xo3xiuax8eh0b6q3y09, dxeju5zcb6j8etdgwq0kweor9, 5ak9fwtqlr2pll0nsv5br7p7u, 5q0q6f1hk7afy5i4hmkf9xj9x, 2kgvn1lt5yjsixg13fj0cidt6, 9yjtdz1toq241g6cgdty94lck, c0dvcjq2rfqs3jj5g5v2m5zsa, 2e0ipswbkv4vf7lav6ee1j3oq, 9tqbuv5f466mzo4fx4ll0drvu",3979567613,59,"1, 23, 26, 28, 25, 4, 16, 19, 24, 29, 10, 8, 11, 14, 15, 21, 33, 35, 42, 77",3979567611,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497686625,1,34,16,0,0,3c3jcs7vc1t6vz5lev162jyv7,1,0,0,2023-01-15T13:27:13.481Z,2023-01-15T14:17:27Z,3979569725,59,"94, 32, 4, 8, 24, 5, 39, 21, 29, 15, 19, 1, 3, 6, 9, 10, 17, 28, 70, 99",3979569729,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3979569727,130,8,3979643485,197,662,3979569731,194,976riwm0dz0e74d4l28y3ttcl,3979569721,30,"89sv092huj2obzdazmft854a1, 3sc349yey596xp2j6xlyt0frp, afymbx9eo87zau8mo99pakbu, 2lvit204llltk13iglsa2tjah, 36h87ecgmpjdltk1epsbvmiju, 976riwm0dz0e74d4l28y3ttcl, cmrdm4nnd62inlvsnc52vkicp, 96wcx761pzv5ub4sfwsynp51x, edti8t30h7ukwi3wqlzaczje1, 8qmm84tue6kuz8e5nhhdhmz8p, 7ty1wdxxnusgkl34k5raipbl5, 4ilnnpfgjfz35lni9ppzd93v9, 8gkexxgf3pypshhqwg6ibp7o4, 9p5jc07qnxrzpcmnh1cp6b3l5, 5ghvrbmlh0tqos9iohj8f7zzd, agwvouyocx93y39g7tmwaojx1, fvd7y3f6948713acbas7w3u2, 2ds26ub6ho0baamsjcmh7mmfo, ccu7hw3wrcspl1a18g2ldnsh5, 513jimgihzk9w1kuad57jrnxl",3979569733,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3979569723,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497702271,2,32,1,0,0,bx0cdmzr2gwr70ez72dorx82p,1,0,0,2023-01-15T14:00:12.991Z,2023-01-15T14:00:16Z,3979649895,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497702263,2,32,1,0,0,3c3jcs7vc1t6vz5lev162jyv7,1,0,0,2023-01-15T14:00:12.991Z,2023-01-15T20:11:45Z,3979649853,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497702293,3,1,1,0,0,3c3jcs7vc1t6vz5lev162jyv7,1,50.7,49.7,2023-01-15T14:00:13.031Z,2023-01-15T20:19:37Z,3979650027,279,S,3980676535,178,,3979650017,140,34.3,3979650013,56,Back,3979650021,212,18.6,3979650023,213,3.5,3979650019,141,39.5,,,,edti8t30h7ukwi3wqlzaczje1,F. Balogun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497702303,4,1,1,0,2,3c3jcs7vc1t6vz5lev162jyv7,1,37.4,44.1,2023-01-15T14:00:15.008Z,2023-01-16T06:08:27Z,3979650087,213,3.4,3979650085,212,13.9,3980676733,178,,3979650079,56,Back,3979650081,140,24.7,3979650083,141,38.5,,,,,,,96wcx761pzv5ub4sfwsynp51x,A. Matusiwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497702323,5,1,1,0,4,3c3jcs7vc1t6vz5lev162jyv7,1,29.8,37.9,2023-01-15T14:00:17.069Z,2023-01-16T06:08:26Z,3979650203,141,75.0,3979650201,140,25.6,3980676871,178,,3979650199,56,Back,3979650207,213,1.7,3979650205,212,25.6,,,,,,,36h87ecgmpjdltk1epsbvmiju,E. Agbadou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497702339,6,1,1,0,7,3c3jcs7vc1t6vz5lev162jyv7,0,27.9,79.5,2023-01-15T14:00:20.023Z,2023-01-16T06:08:25Z,3979650281,1,,3979650277,212,43.7,3979650269,155,,3979650275,141,61.4,3979650271,56,Center,3979650273,140,67.8,3980676935,178,,3979650279,213,6.0,976riwm0dz0e74d4l28y3ttcl,Y. Abdelhamid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497702361,3,44,1,0,9,bx0cdmzr2gwr70ez72dorx82p,1,32.3,34.2,2023-01-15T14:00:22.760Z,2023-01-16T06:08:25Z,3979650367,56,Back,3979650371,285,,3979650389,233,7,,,,,,,,,,,,,,,,7cp51c8zn7y08iyk0hc9ix5nt,J. Todibo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497702347,7,44,1,0,9,3c3jcs7vc1t6vz5lev162jyv7,0,67.7,65.8,2023-01-15T14:00:22.761Z,2023-01-16T06:08:24Z,3979650307,56,Center,3979650309,286,,3979650395,233,3,,,,,,,,,,,,,,,,edti8t30h7ukwi3wqlzaczje1,F. Balogun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
