id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,keyPass,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/8/value,qualifier/10/value,qualifier/11/value,qualifier/12/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/13/value,qualifier/15/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/16/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,assist
2455990723,1,34,16,0,0,4t4hod56fsj7utpjdor8so5q6,1,0,0,2022-09-04T18:13:27.365Z,2022-09-04T19:44:48Z,3758907867,30,"d3xdl3p9vd1c0m316oq2pblxx, 4rlw04tze791jwt623h5ikg5x, 1o7se1aziz6fpes5hey7yijft, 5g5wwp5luxo1rz1kp6chvz0x6, 2axi9gr1lhuewlt06emrk44q1, 3djmsd2atvq16ysmocq7twsfd, 2rio84cmao72sc7lnsodwzzhm, b0wb7gf04synxlkq7o8gvzkoa, dkve6gf309h5tglwawqx8mlzp, f5j3vhj805xtkos7l538u0d7t, 28x7i681wkjueanvkevew3bh1, adb8skc3qbvgunhzd9651lij8, a2s2c6anax9wnlsw1s6vunl5h, 21x9ir9n7i6mt2qfuk4e891pl, 9bqv99e39z86mn7dq3wnyt90p, csvqjyuk06gzvjm408513nydx, 8vhjmcgjbzpzd4vv3zb945p1w, 8xitc97j4scfajm8ucq7e5l91, d3pb7ybk0yv0hrjbr80vyx1xw, 72m5u1rlgh6e229zpfvp7f5jp",3758907875,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3758907869,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3758907871,59,"16, 26, 12, 5, 23, 6, 4, 19, 36, 27, 17, 2, 10, 11, 14, 18, 21, 30, 41, 77",3758907881,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3758907873,130,17,3758907879,197,16430,3758907877,194,3djmsd2atvq16ysmocq7twsfd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455990743,1,34,16,0,0,bx0cdmzr2gwr70ez72dorx82p,1,0,0,2022-09-04T18:13:31.567Z,2022-09-04T19:16:43Z,3758908057,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3758908059,194,azuc3tma44xyrbgf5y279o1xx,3758915043,197,15912,3758908053,59,"1, 20, 26, 42, 4, 25, 16, 19, 7, 29, 24, 5, 8, 10, 15, 18, 21, 23, 28, 90",3758908061,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3758908055,130,17,3758908051,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3758908049,30,"8govqd0xf8ijst50tgypaep5h, 99f4n1ws494k96r9ewdcrecbt, 7sep6mx2s67mh5fr3raxu7aei, 2e0ipswbkv4vf7lav6ee1j3oq, azuc3tma44xyrbgf5y279o1xx, 7cp51c8zn7y08iyk0hc9ix5nt, 5o0h8eeydl8t92qp3ywekqh1x, 6j0ogojh2b7poyceg7i3k09yi, e3kdoxu1kwn2w3wwi1rqhvr9x, 3n9jnuteyjx6w6dxviuead0b9, 7fcq014jmdb0uqldcts6tglat, a87w6l9zsbahdi4knm1347zs9, vja0xo3xiuax8eh0b6q3y09, ct32113pfx5q9avf2c0x208ru, 5q0q6f1hk7afy5i4hmkf9xj9x, 6zerxodnjkvpko1ogfwd2hgyc, 2kgvn1lt5yjsixg13fj0cidt6, 8f3bhiy6r5eei1n25exhbwr8p, e7e68wlpiqqohpg71oh4vrbl6, 8pgocmr00qw7b9919c8zh4bmx",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2456004701,2,32,1,0,0,4t4hod56fsj7utpjdor8so5q6,1,0,0,2022-09-04T18:46:13.086Z,2022-09-04T18:46:13Z,3758991049,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2456004703,2,32,1,0,0,bx0cdmzr2gwr70ez72dorx82p,1,0,0,2022-09-04T18:46:13.086Z,2022-09-04T22:59:10Z,3758991051,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2456004737,3,1,1,0,0,4t4hod56fsj7utpjdor8so5q6,1,49.9,50,2022-09-04T18:46:13.342Z,2022-09-04T23:06:49Z,3759697119,178,,3758991219,279,S,3758991217,213,3.8,3758991207,140,32.7,3758991215,212,22.7,3758991205,56,Back,3758991211,141,29.7,,,,b0wb7gf04synxlkq7o8gvzkoa,Y. Fofana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2456004771,4,1,1,0,2,4t4hod56fsj7utpjdor8so5q6,1,33.7,32.2,2022-09-04T18:46:15.631Z,2022-09-05T01:48:30Z,3758991419,213,5.2,3758991413,140,41.9,3759697231,178,,3758991417,212,19.1,3758991411,56,Back,3758991415,141,7.2,,,,,,,3djmsd2atvq16ysmocq7twsfd,A. Disasi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2456004785,5,1,1,0,6,4t4hod56fsj7utpjdor8so5q6,0,45.2,5.3,2022-09-04T18:46:19.267Z,2022-09-05T01:48:29Z,3758991503,213,0.7,3758991537,1,,3758991495,56,Center,3758991499,141,52.8,3758991493,155,,3759697319,178,,3758991497,140,84.5,3758991501,212,52.4,4rlw04tze791jwt623h5ikg5x,R. Aguilar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2456004817,3,12,1,0,9,bx0cdmzr2gwr70ez72dorx82p,1,16.4,45.6,2022-09-04T18:46:22.420Z,2022-09-05T01:48:28Z,3758991701,212,14.8,3758991697,140,29.9,3758991711,15,,3759697355,388,,3758991699,141,39.1,3758991695,56,Back,3758991703,213,6.0,,,,7cp51c8zn7y08iyk0hc9ix5nt,J. Todibo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2456004853,6,1,1,0,12,4t4hod56fsj7utpjdor8so5q6,1,66.6,56.2,2022-09-04T18:46:25.519Z,2022-09-05T01:48:28Z,3758991871,56,Left,3758991875,141,86.9,3758991873,140,70.2,3758991879,213,1.4,3759697413,178,,3758991877,212,21.2,,,,,,,b0wb7gf04synxlkq7o8gvzkoa,Y. Fofana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2456004875,7,1,1,0,17,4t4hod56fsj7utpjdor8so5q6,1,72.9,84.1,2022-09-04T18:46:30.119Z,2022-09-05T01:48:27Z,3758991973,56,Left,3758991979,212,8.9,3758991981,213,0.2,3758991977,141,86.1,3759697483,178,,3758991975,140,81.3,,,,,,,1o7se1aziz6fpes5hey7yijft,Caio Henrique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
