id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/10/value,qualifier/11/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/9/value,keyPass,qualifier/12/value,qualifier/17/value,assist,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/18/value
2485352801,1,34,16,0,0,71ajatxnuhc5cnm3xvgdky49w,1,0,0,2022-11-13T15:10:59.954Z,2022-11-13T16:16:36Z,3914383651,194,9ysk6656hj0na1hrizgt83k5x,3914383645,59,"1, 18, 23, 6, 22, 24, 17, 11, 9, 25, 10, 3, 4, 5, 12, 14, 16, 19, 20, 29",3914383653,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3914383647,130,2,3914645243,197,8123,3914383643,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3914383649,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3914383641,30,"2vgr8c97x4b2e51tyvvixusid, 9hz4s6zmelmg4ix47xbre3q3t, 4jal44qeyp9ur58768qre5uqd, 88nw24pkg2ikj9c91tccvqol, 7z1gixk4hvbbgo71xgb04942x, d5at3cowukpxiptq5ozcbe6s5, wg9qybhs3qeq9awhux331uqx, 9ysk6656hj0na1hrizgt83k5x, 950o8rjqvnl5bnidq2dc3fglx, am0pcyvtaws1i69jt09dgnsnp, c8u45gxriyq1rup5fpr30xrdh, 17acodpsoxkhha2iem2465ivp, 4ju2soyxqa6hu0oo007ej8wdl, eo47h2ekymiisj3kry3og7tgp, f0busiccqoe2jg69st02ngfe1, 42vsnv2j6emkbynforgon4n2t, cgeh7qj32flqu9p3a4wnn3s9h, egtyl4noukbjkm1va1i11e87o, bndkgzdolm2c3iteenkv8s3it, 7bba28af7hqhh7ruo91x2mk9g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2485355385,1,34,16,0,0,70nn27vgkt6l48lvv5e66q7ww,1,0,0,2022-11-13T15:13:24.987Z,2022-11-13T16:07:43Z,3914397675,130,7,3914659563,197,641,3914397685,194,538zux65h0l9028fpf4v1g0r9,3914397671,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3914397679,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3914397669,30,"6oi4a3g56xe76g0gg38knmzmd, 322sju1vi12p0r9a8048hnmxh, 538zux65h0l9028fpf4v1g0r9, 7cty3nkd7c84e16537v6y1djp, d8jdziu0arw1rcx5byxd7rj6d, 996i59930r3kd4xk48x9fsp2h, dg4782hj9xdqg46w225kzph5g, e83sc1gnj31vgpo9u6fknmfvt, 33jtnv5kyzyw1it7y9czhn4a2, 44o5mjglkzqxctz07ust9bcru, 2zvbw080n4yro1phgv39ri3qi, cyz9jisw86vjjf85xxgbae0yy, 2abpo4w3jcxp1wzp50yypxsrt, 466ev7tumk8flx0gz9d0h15d6, e32urdrdkp44zmnt6ptg0k12i, d5hzf2vv84jfne8ijsdjqd52h, 2tc8y9du64tjno62zll2jhy7e, 8n0560evn4ni29dw9xece45ey, 2qkesslfmzmgt7igvgosixg8a, 3cy6mfbd2vlj9fa1xz2ow3949",3914397689,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3914397673,59,"1, 24, 25, 8, 15, 3, 11, 21, 13, 10, 37, 4, 7, 9, 12, 17, 22, 29, 70, 77",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2485403173,2,32,1,0,0,71ajatxnuhc5cnm3xvgdky49w,1,0,0,2022-11-13T16:06:06.077Z,2022-11-13T23:00:25Z,3914652567,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2485403141,2,32,1,0,0,70nn27vgkt6l48lvv5e66q7ww,1,0,0,2022-11-13T16:06:06.077Z,2022-11-13T16:06:06Z,3914652379,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2485403217,3,1,1,0,0,70nn27vgkt6l48lvv5e66q7ww,1,50,50,2022-11-13T16:06:06.137Z,2022-11-14T00:41:41Z,3916003719,178,,3914652773,279,S,3914652761,56,Back,3914652769,212,18.9,3914652771,213,3.3,3914652767,141,46.9,3914652763,140,32.1,,,,e83sc1gnj31vgpo9u6fknmfvt,J. Ponceau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2485403231,4,61,1,0,1,70nn27vgkt6l48lvv5e66q7ww,1,36.2,51.4,2022-11-13T16:06:07.423Z,2022-11-14T06:32:45Z,3916003829,178,,3914652819,56,Back,,,,,,,,,,,,,,,,,,,d8jdziu0arw1rcx5byxd7rj6d,J. Laporte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2485403259,5,1,1,0,2,70nn27vgkt6l48lvv5e66q7ww,0,36.7,52.2,2022-11-13T16:06:08.507Z,2022-11-14T06:32:45Z,3914652945,1,,3914652935,56,Right,3914652939,141,17.7,3914652941,212,51.3,3916003867,178,,3914652933,155,,3914652943,213,5.8,3914652937,140,80.1,996i59930r3kd4xk48x9fsp2h,M. Talbi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2485403305,3,1,1,0,5,71ajatxnuhc5cnm3xvgdky49w,1,19.1,80.1,2022-11-13T16:06:11.738Z,2022-11-14T06:32:44Z,3914653159,213,6.1,3914653151,56,Back,3914653157,212,13.7,3916003963,388,,3914653153,140,31.9,3914653155,141,76.0,3914653149,3,,,,,4jal44qeyp9ur58768qre5uqd,M. Le Marchand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2485403685,7,44,1,0,7,71ajatxnuhc5cnm3xvgdky49w,1,38.9,66.7,2022-11-13T16:06:13.627Z,2022-11-14T06:32:44Z,3914655813,233,7,3914655175,285,,3914655171,56,Back,,,,,,,,,,,,,,,,am0pcyvtaws1i69jt09dgnsnp,L. Ajorque,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2485403673,7,44,1,0,7,70nn27vgkt6l48lvv5e66q7ww,0,61.1,33.3,2022-11-13T16:06:13.628Z,2022-11-14T06:32:43Z,3914655783,286,,3914655781,56,Center,3914655855,233,7,,,,,,,,,,,,,,,,7cty3nkd7c84e16537v6y1djp,B. Innocent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
