id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/10/value,qualifier/12/value,qualifier/9/value,qualifier/13/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/17/value
2507063573,1,34,16,0,0,750ustvk4jfqmo8q4gnrcxy7z,1,0,0,2023-02-12T15:09:45.041Z,2023-02-12T16:05:25Z,4028699255,30,"f0e5posm9z0oma2t3u9k1qy95, bf2yxiyhdyipaxxxobt9i1gq1, dzh403ofb9zatvornq0svb0gk, 8zc2u2dfrokzg3domqmt30s0l, crjrpkb5p430hludk5acmhjv9, 3g217lvxyrxlzsyp0rmlvglp1, 9yfnfwqog4y572aoe2iztnbv9, cg1j982govx2perwr3rv33t1x, e3kdoxu1kwn2w3wwi1rqhvr9x, 1n0y675l767w55pipq5lgj1zp, adswn2xpomwsi7zh022787mne, 53yrdwlr1pw23bxyxfg85npat, 7k0r5crdh9blj3edt31zwy0dm, 9dzyrffyz77zqmptudhdrh8lx, ctygavkrblcxra880nwej0bf9, oc04nz0mrmzeqpcbql3rbhlh, bxb5trtzllty8eqteifyw4zit, d3y4csfpvhzcowlusw9xe32eh, 5i6p36ywmaoj1i26fl54th5d6, 6i3zlo12dwcjy0tcnls1e35k9",4028699263,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4028699257,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4028699259,59,"1, 28, 26, 5, 3, 21, 10, 8, 99, 25, 14, 4, 7, 11, 16, 17, 24, 31, 38, 93",4028699261,130,8,4028699265,194,f0e5posm9z0oma2t3u9k1qy95,4028699269,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4028952865,197,654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507066571,1,34,16,0,0,70nn27vgkt6l48lvv5e66q7ww,1,0,0,2023-02-12T15:12:31.322Z,2023-02-12T16:13:39Z,4028952887,197,641,4028714441,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4028714435,30,"6oi4a3g56xe76g0gg38knmzmd, 322sju1vi12p0r9a8048hnmxh, e32urdrdkp44zmnt6ptg0k12i, 60no437awq8i5th7nlffh3dn9, 38cotevgsirv0csora7bar3vu, 996i59930r3kd4xk48x9fsp2h, 2abpo4w3jcxp1wzp50yypxsrt, 44o5mjglkzqxctz07ust9bcru, 466ev7tumk8flx0gz9d0h15d6, e83sc1gnj31vgpo9u6fknmfvt, 2tc8y9du64tjno62zll2jhy7e, 31ur1f7xmxndnnabhrxyov6xh, 8vlfwoquq3v68mb9ax1pk5fkk, 7c5uk1ts8jlu88p1x6wubuz8p, 4pzjvj5jwm7p0siz055ixe40l, 538zux65h0l9028fpf4v1g0r9, 8n0560evn4ni29dw9xece45ey, 82vd1yj7qfu886hun5t9ee4mh, 1cyf4ify8xpgv0shxodyt2q6s, 2qkesslfmzmgt7igvgosixg8a",4028714455,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4028714449,130,8,4028714459,194,44o5mjglkzqxctz07ust9bcru,4028714461,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4028714445,59,"1, 24, 12, 17, 18, 3, 7, 80, 9, 21, 22, 2, 11, 14, 23, 25, 29, 34, 44, 10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507114257,2,32,1,0,0,70nn27vgkt6l48lvv5e66q7ww,1,0,0,2023-02-12T16:05:31.165Z,2023-02-12T16:05:31Z,4028969129,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507114265,2,32,1,0,0,750ustvk4jfqmo8q4gnrcxy7z,1,0,0,2023-02-12T16:05:31.165Z,2023-02-13T00:35:42Z,4028969169,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507114315,3,1,1,0,0,70nn27vgkt6l48lvv5e66q7ww,1,50.1,50.1,2023-02-12T16:05:31.297Z,2023-02-13T01:16:10Z,4030290481,178,,4028969339,141,47.8,4028969337,140,32.0,4028969343,212,19.1,4028969335,56,Back,4028969345,213,3.2,4028969347,279,S,,,,e83sc1gnj31vgpo9u6fknmfvt,J. Ponceau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507114331,4,1,1,0,1,70nn27vgkt6l48lvv5e66q7ww,1,33.8,46.8,2023-02-12T16:05:32.725Z,2023-02-13T05:55:12Z,4028969437,140,30.6,4028969439,141,45.4,4028969441,212,3.5,4028969435,56,Back,4028969443,213,3.4,4029185643,278,,4030290731,178,,,,,996i59930r3kd4xk48x9fsp2h,M. Talbi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507114349,5,1,1,0,3,70nn27vgkt6l48lvv5e66q7ww,0,33.8,45.8,2023-02-12T16:05:34.443Z,2023-02-13T05:55:12Z,4028969543,141,76.2,4028969541,140,64.2,4028969537,155,,4028969539,56,Center,4028969547,213,0.6,4028969549,1,,4030290767,178,,4028969545,212,38.0,38cotevgsirv0csora7bar3vu,B. Meité,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507114405,3,1,1,0,5,750ustvk4jfqmo8q4gnrcxy7z,0,31.2,26.3,2023-02-12T16:05:36.910Z,2023-02-13T05:55:11Z,4028969773,3,,4030290865,388,,4028969775,56,Center,4028969781,212,26.0,4028969777,140,53.6,4028969783,213,0.4,4028969779,141,42.7,,,,crjrpkb5p430hludk5acmhjv9,Andrei Girotto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507114417,6,44,1,0,8,70nn27vgkt6l48lvv5e66q7ww,1,48.1,59.1,2023-02-12T16:05:39.295Z,2023-02-13T05:55:11Z,4028969871,233,4,4028969829,56,Back,4028969831,285,,,,,,,,,,,,,,,,,38cotevgsirv0csora7bar3vu,B. Meité,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507114411,4,44,1,0,8,750ustvk4jfqmo8q4gnrcxy7z,0,51.9,40.9,2023-02-12T16:05:39.296Z,2023-02-13T05:55:10Z,4028969813,56,Center,4028970017,233,6,4028969815,286,,,,,,,,,,,,,,,,,e3kdoxu1kwn2w3wwi1rqhvr9x,A. Delort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
