id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,assist,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/10/value,keyPass,qualifier/9/value,qualifier/13/value
2452621655,1,34,16,0,0,2b3mar72yy8d6uvat1ka6tn3r,1,0,0,2022-08-28T17:54:54.626Z,2022-08-28T18:40:49Z,3740963353,30,"4cetkl0w2uq40ccti5ka6a4t1, 1vr896w03yky9kmu8x5tjkicp, d3dv3vc71981v5oems59892sq, 1qywnx1icmb4x7dbhhsck0vrp, 8z0395s37qe2lqi9qsvyskgk5, 9adbv1dl7dp7vze3b9sarerbp, 2ub88jcc3vku6mrnt5fb3oyqd, 7fmhqt5geme4yv9cfnsp5lec5, 5e9ilgrz3tzg9kd1gk3yvrahh, c5ryhn04g9goikd0blmh83aol, 779rrkp47akkd5usq53begatx, 9sme7jykdv8msgfu0nxx6h39x, apdtqouzo9b02ozdxk8mx4zbp, 54w62kh31qyyu7tipmjlt95g5, 5qg0coudjinnt978myh4n4n2t, 4pyehox7p3z64c4l3k8yoyfv9, dyigvzjpa74cw4urhh7fwzs2d, cfg0ocm0b2icpagbtnzkrihn9, 2s2fzli5c7h9dfcertq2dwxec, 3vx94h32ahujciraspdayj9t6",3741094833,197,15881,3740963365,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3740963359,130,17,3740963355,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3740963357,59,"99, 2, 25, 3, 5, 4, 18, 6, 7, 30, 10, 1, 8, 14, 15, 19, 22, 26, 33, 44",3740963361,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3740963363,194,8z0395s37qe2lqi9qsvyskgk5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452623963,1,34,16,0,0,4t4hod56fsj7utpjdor8so5q6,1,0,0,2022-08-28T17:59:15.362Z,2022-08-28T19:13:49Z,3741095403,197,649,3740976779,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3740976775,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3740976777,194,a2s2c6anax9wnlsw1s6vunl5h,3740976769,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3740976767,30,"d3xdl3p9vd1c0m316oq2pblxx, 4rlw04tze791jwt623h5ikg5x, 1o7se1aziz6fpes5hey7yijft, 5g5wwp5luxo1rz1kp6chvz0x6, 270djbc9lxhoupmd1djrii191, 3djmsd2atvq16ysmocq7twsfd, b0wb7gf04synxlkq7o8gvzkoa, 28x7i681wkjueanvkevew3bh1, a2s2c6anax9wnlsw1s6vunl5h, 2xmc0gsdslrnsu6ua40kbh32t, 2rio84cmao72sc7lnsodwzzhm, 21x9ir9n7i6mt2qfuk4e891pl, 9bqv99e39z86mn7dq3wnyt90p, csvqjyuk06gzvjm408513nydx, 8vhjmcgjbzpzd4vv3zb945p1w, 2axi9gr1lhuewlt06emrk44q1, 8xitc97j4scfajm8ucq7e5l91, dkve6gf309h5tglwawqx8mlzp, d3pb7ybk0yv0hrjbr80vyx1xw, 72m5u1rlgh6e229zpfvp7f5jp",3740976773,130,10,3740976771,59,"16, 26, 12, 5, 3, 6, 19, 17, 10, 31, 4, 11, 14, 18, 21, 23, 30, 36, 41, 77",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452648173,2,32,1,0,0,2b3mar72yy8d6uvat1ka6tn3r,1,0,0,2022-08-28T18:45:38.755Z,2022-08-28T22:59:59Z,3741109433,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452648193,2,32,1,0,0,4t4hod56fsj7utpjdor8so5q6,1,0,0,2022-08-28T18:45:38.755Z,2022-08-28T18:45:40Z,3741109557,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452648213,3,1,1,0,0,2b3mar72yy8d6uvat1ka6tn3r,1,49.9,50,2022-08-28T18:45:38.781Z,2022-08-28T23:09:42Z,3741109641,212,12.7,3741109643,213,2.7,3742079011,178,,3741109645,279,S,3741109639,141,57.8,3741109637,140,38.9,3741109635,56,Back,,,,5e9ilgrz3tzg9kd1gk3yvrahh,K. Mbappé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452648243,4,1,1,0,1,2b3mar72yy8d6uvat1ka6tn3r,1,41,56.7,2022-08-28T18:45:40.472Z,2022-08-29T02:21:49Z,3741109803,140,37.4,3742079109,178,,3741109801,56,Back,3741109807,212,22.7,3741109805,141,89.6,3741109809,213,1.7,,,,,,,7fmhqt5geme4yv9cfnsp5lec5,M. Verratti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452648267,5,1,1,0,4,2b3mar72yy8d6uvat1ka6tn3r,1,40.1,89.3,2022-08-28T18:45:43.308Z,2022-08-29T02:21:48Z,3741110005,141,76.1,3741110007,212,14.3,3741110009,213,3.8,3742079201,178,,3741110003,140,29.5,3741110001,56,Back,,,,,,,d3dv3vc71981v5oems59892sq,Nuno Mendes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452648331,6,1,1,0,6,2b3mar72yy8d6uvat1ka6tn3r,1,31.9,78.4,2022-08-28T18:45:45.376Z,2022-08-29T02:21:47Z,3741110449,213,4.3,3741110441,56,Back,3741110443,140,23.5,3741110445,141,46.0,3741110447,212,23.7,3742079279,178,,,,,,,,1qywnx1icmb4x7dbhhsck0vrp,P. Kimpembe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452648421,7,1,1,0,12,2b3mar72yy8d6uvat1ka6tn3r,1,30.3,37.5,2022-08-28T18:45:51.362Z,2022-08-29T02:21:46Z,3741110957,140,23.8,3741110959,141,16.7,3741110963,213,4.3,3741110961,212,15.7,3742079541,178,,3741110951,56,Back,,,,,,,8z0395s37qe2lqi9qsvyskgk5,Marquinhos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452648451,8,1,1,0,16,2b3mar72yy8d6uvat1ka6tn3r,1,22.8,33.5,2022-08-28T18:45:55.454Z,2022-08-29T02:21:45Z,3741111195,56,Back,3741111199,140,22.5,3741111203,141,72.6,3742079603,178,,3741111207,213,1.6,3741111205,212,26.6,,,,,,,9adbv1dl7dp7vze3b9sarerbp,Sergio Ramos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
