id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/15/value,qualifier/9/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/13/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,assist,qualifier/17/value,qualifier/19/id,qualifier/19/qualifierId
2458912293,1,34,16,0,0,121le8unjfzug3iu9pgkqa1c7,1,0,0,2022-09-11T17:56:54.375Z,2022-09-11T18:44:33Z,3774438551,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3774438547,130,4,3774597859,197,13800,3774438543,59,"1, 27, 3, 24, 23, 4, 88, 6, 10, 11, 7, 8, 9, 12, 15, 18, 21, 22, 26, 35",3774438539,30,"d3mss0i879krqrk1owzmj2c45, 8jt4vsixxoqp4uvskyfl7k222, 40hu79d2a4k94nc52z7dblpsl, 6ovea0xzg9yflmlbjdf1xcmlm, 3vu0c0j8n99wz6e2f7fmd2pxx, aaaskdins76bd0368sbpt7wq2, d68byfvk16giaur32gqwpwded, 79dz7zni5fcgh5e70spoj2j8p, f4cykd65su8xbme6xdc1iw7o5, 79nno03ww57p02dz5o0g60rqi, 9mory3y7p8aku035r2kxtvz6d, 412hlm2edd05jd1ad597brcvd, d9zax4y92d85x7j63kg7ckvkl, 8rcole4a6y4fkamv87q3hqk0l, 7c5uk1ts8jlu88p1x6wubuz8p, 1ehcji0j9s8b0qsj8v5zinjvu, 46acb400oivj94jwu3i3lrxsl, 7ef73s1ryz38blmo3n9p9c82x, a71n80h977h7fu99ftnri5zsa, 7to9ns7mkuji0ciwh1ufkq3md",3774438555,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3774438553,194,f4cykd65su8xbme6xdc1iw7o5,3774438541,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458912987,1,34,16,0,0,4t4hod56fsj7utpjdor8so5q6,1,0,0,2022-09-11T18:00:02.743Z,2022-09-11T18:45:36Z,3774443175,30,"d3xdl3p9vd1c0m316oq2pblxx, adb8skc3qbvgunhzd9651lij8, 1o7se1aziz6fpes5hey7yijft, 5g5wwp5luxo1rz1kp6chvz0x6, 270djbc9lxhoupmd1djrii191, 3djmsd2atvq16ysmocq7twsfd, b0wb7gf04synxlkq7o8gvzkoa, 2rio84cmao72sc7lnsodwzzhm, dkve6gf309h5tglwawqx8mlzp, f5j3vhj805xtkos7l538u0d7t, 28x7i681wkjueanvkevew3bh1, a2s2c6anax9wnlsw1s6vunl5h, 21x9ir9n7i6mt2qfuk4e891pl, 9bqv99e39z86mn7dq3wnyt90p, csvqjyuk06gzvjm408513nydx, 8vhjmcgjbzpzd4vv3zb945p1w, 2axi9gr1lhuewlt06emrk44q1, 4rlw04tze791jwt623h5ikg5x, 8xitc97j4scfajm8ucq7e5l91, 72m5u1rlgh6e229zpfvp7f5jp",3774565003,197,649,3774443181,130,13,3774443177,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3774443179,59,"16, 2, 12, 5, 3, 6, 19, 4, 36, 27, 17, 10, 11, 14, 18, 21, 23, 26, 30, 77",3774443185,194,3djmsd2atvq16ysmocq7twsfd,3774443187,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3774443183,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458939989,2,32,1,0,0,121le8unjfzug3iu9pgkqa1c7,1,0,0,2022-09-11T18:45:14.333Z,2022-09-11T18:45:14Z,3774600887,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458939997,2,32,1,0,0,4t4hod56fsj7utpjdor8so5q6,1,0,0,2022-09-11T18:45:14.333Z,2022-09-11T22:44:08Z,3774600927,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458940023,3,1,1,0,0,121le8unjfzug3iu9pgkqa1c7,1,49.9,50.1,2022-09-11T18:45:14.361Z,2022-09-11T22:54:44Z,3775229595,178,,3774601065,213,2.9,3774601059,140,35.4,3774601067,279,S,3774601063,212,15.9,3774601061,141,56.7,3774601057,56,Back,,,,f4cykd65su8xbme6xdc1iw7o5,A. Lacazette,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458940059,4,1,1,0,2,121le8unjfzug3iu9pgkqa1c7,0,38.8,49.3,2022-09-11T18:45:16.528Z,2022-09-12T01:56:44Z,3775229795,178,,3774601267,155,,3774601275,140,73.3,3774601293,1,,3774601287,213,0.7,3774601283,212,46.2,3774601271,56,Left,3774601279,141,91.5,3vu0c0j8n99wz6e2f7fmd2pxx,Thiago Mendes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458940077,3,1,1,0,5,4t4hod56fsj7utpjdor8so5q6,1,17.1,15.1,2022-09-11T18:45:19.428Z,2022-09-12T01:56:43Z,3774601411,140,26.8,3774601405,3,,3775229981,178,,3774601415,212,12.6,3774601409,56,Back,3774601413,141,4.1,3774601417,213,5.6,,,,adb8skc3qbvgunhzd9651lij8,Vanderson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458940081,4,49,1,0,6,4t4hod56fsj7utpjdor8so5q6,1,26.8,13.3,2022-09-11T18:45:20.982Z,2022-09-12T01:56:43Z,,,,,,,,,,,,,,,,,,,,,,,,,f5j3vhj805xtkos7l538u0d7t,K. Diatta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458940149,5,1,1,0,7,4t4hod56fsj7utpjdor8so5q6,1,24.8,9,2022-09-11T18:45:21.959Z,2022-09-12T01:56:42Z,3774601907,213,6.1,3774601903,141,7.3,3774601905,212,5.8,3774601895,157,,3775230293,178,,3774601909,1,,3774601901,140,30.2,3774601899,56,Back,f5j3vhj805xtkos7l538u0d7t,K. Diatta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458940153,6,4,1,0,12,4t4hod56fsj7utpjdor8so5q6,1,33,19.6,2022-09-11T18:45:26.940Z,2022-09-12T01:56:42Z,3775477335,285,,3774601921,56,Back,3774601919,294,,3774601969,233,6,3774601917,13,,3774601923,152,,,,,,,,b0wb7gf04synxlkq7o8gvzkoa,Y. Fofana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
