id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/9/value,qualifier/10/value,qualifier/11/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/16/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2458569067,1,34,16,0,0,71ajatxnuhc5cnm3xvgdky49w,1,0,0,2022-09-11T10:09:25.454Z,2022-09-11T11:07:17Z,3772657125,59,"1, 2, 23, 19, 29, 24, 6, 10, 25, 20, 17, 5, 9, 12, 18, 27, 31, 34, 40",3772657131,194,d5at3cowukpxiptq5ozcbe6s5,3772657121,30,"2vgr8c97x4b2e51tyvvixusid, 1y5p476l4ihjndiyvfsmcg82x, 4jal44qeyp9ur58768qre5uqd, egtyl4noukbjkm1va1i11e87o, 7bba28af7hqhh7ruo91x2mk9g, d5at3cowukpxiptq5ozcbe6s5, 88nw24pkg2ikj9c91tccvqol, c8u45gxriyq1rup5fpr30xrdh, am0pcyvtaws1i69jt09dgnsnp, bndkgzdolm2c3iteenkv8s3it, wg9qybhs3qeq9awhux331uqx, eo47h2ekymiisj3kry3og7tgp, 950o8rjqvnl5bnidq2dc3fglx, f0busiccqoe2jg69st02ngfe1, 9hz4s6zmelmg4ix47xbre3q3t, cb6w7n7n1eh9huwzyzvgmdxih, 6myeb7x322kbw504ecbvhu904, 1k1zsipuhr1o3hv17j4uiz5uy, 3zkkrq8sph1lo23bt8d1nz10",3772757199,197,8123,3772657123,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5",3772657127,130,23,3772657133,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3772657129,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458570841,1,34,16,0,0,17o35s8assv3kamxowzz77k4r,1,0,0,2022-09-11T10:13:38.448Z,2022-09-11T10:59:54Z,3772664695,194,4obcheuxcvbu6zo3fyq3b6x91,3772664689,59,"99, 91, 3, 5, 36, 4, 25, 7, 9, 20, 70, 10, 11, 13, 18, 19, 21, 23, 40, 95",3772664687,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3772664691,130,17,3772762863,197,8270,3772664693,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3772664685,30,"c6u4h9wy88ymj6whiz93jknv9, akz04kph7qmvbpk3auntlfowl, 237j1qagaotsy5j9wo3xqfgtl, 6euu7oztc1jkxcgef0g75cq95, 7j0fv43b1dkuiqk71ym4mmw6i, 1u990wv0bo82xqv2s0e8m8ic5, 4obcheuxcvbu6zo3fyq3b6x91, aflbpdgjm6huba3f9t848d4o9, 3xbgtth9h7ywlkpdzy8rwkbth, avcxyogv41ujbepqd5qrwki51, 8s5u921me5pvsfyvysjgpu2qy, 4elohf5kyq6i1jmywfuzhh2ol, bt2pm0it9f1o216uxo3abfpbd, 9bicv1fmrgltfrr726qrgio0k, c8vsa9o761rsdy9l8xbtj3etx, 8f5suoft1lt9thk1arm4u8max, 5rd9832gct7uy0acodmor8b11, ag74mepy9fnmlykodxo0oxhwp, a0rtzwzmnn4wj58rdrj95rvft, 757jd3kvmh2izb7q7k8if209h",3772664697,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458592441,2,32,1,0,0,17o35s8assv3kamxowzz77k4r,1,0,0,2022-09-11T11:00:21.150Z,2022-09-11T11:00:22Z,3772763759,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458592435,2,32,1,0,0,71ajatxnuhc5cnm3xvgdky49w,1,0,0,2022-09-11T11:00:21.150Z,2022-09-11T17:52:07Z,3772763731,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458592461,3,1,1,0,0,71ajatxnuhc5cnm3xvgdky49w,1,50.1,50,2022-09-11T11:00:21.209Z,2022-09-12T02:27:58Z,3775522195,178,,3772763861,140,32.1,3772763865,212,19.2,3772763867,213,3.0,3772763869,279,S,3772763859,56,Back,3772763863,141,55.2,,,,c8u45gxriyq1rup5fpr30xrdh,A. Thomasson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458592479,4,1,1,0,2,71ajatxnuhc5cnm3xvgdky49w,0,34.2,54.1,2022-09-11T11:00:24.046Z,2022-09-12T06:20:56Z,3772763943,1,,3775522343,178,,3772763933,56,Right,3772763939,212,51.5,3772763937,141,20.9,3772763935,140,78.3,3772763941,213,5.8,3772763931,155,,d5at3cowukpxiptq5ozcbe6s5,A. Djiku,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458592495,3,1,1,0,6,17o35s8assv3kamxowzz77k4r,0,20.8,75.8,2022-09-11T11:00:27.393Z,2022-09-12T06:20:55Z,3772764045,3,,3775522533,178,,3772764053,212,16.2,3772764051,141,85.3,3772764049,140,34.9,3772764055,213,0.4,3772764047,56,Back,,,,237j1qagaotsy5j9wo3xqfgtl,Neto Borges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458592493,5,44,1,0,8,71ajatxnuhc5cnm3xvgdky49w,1,71.5,13,2022-09-11T11:00:29.592Z,2022-09-12T06:20:55Z,3772764037,56,Right,3772764127,233,4,3772764039,286,,,,,,,,,,,,,,,,,88nw24pkg2ikj9c91tccvqol,J. Aholou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458592497,4,44,1,0,8,17o35s8assv3kamxowzz77k4r,0,28.5,87,2022-09-11T11:00:29.593Z,2022-09-12T06:20:54Z,3772764061,285,,3772764153,233,5,3772764059,56,Back,,,,,,,,,,,,,,,,4obcheuxcvbu6zo3fyq3b6x91,J. Gastien,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458592501,6,1,1,0,8,71ajatxnuhc5cnm3xvgdky49w,0,71.3,12.5,2022-09-11T11:00:29.664Z,2022-09-12T06:20:54Z,3772764087,212,7.1,3772764089,213,6.1,3772764083,140,78.0,3772764079,3,,3772764081,56,Right,3772764085,141,10.7,3775522681,388,,,,,88nw24pkg2ikj9c91tccvqol,J. Aholou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
