id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/9/value,qualifier/12/id,qualifier/12/qualifierId,keyPass,qualifier/13/id,qualifier/13/qualifierId,qualifier/12/value,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/16/value,qualifier/11/value,qualifier/14/value,assist,qualifier/17/value,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/21/id,qualifier/21/qualifierId,qualifier/20/value,qualifier/21/value,qualifier/22/id,qualifier/22/qualifierId
2534502485,1,34,16,0,0,17o35s8assv3kamxowzz77k4r,1,0,0,2023-04-16T12:25:46.512Z,2023-04-16T12:59:21Z,4194924093,59,"99, 36, 3, 25, 4, 5, 11, 12, 95, 70, 18, 2, 7, 15, 16, 21, 22, 33, 91",4194924095,130,8,4194924097,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",4194924091,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5",4194924099,194,bzr6a9okokrgaskvsbl03xmtx,4194924103,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4195079953,197,8270,4194924089,30,"c6u4h9wy88ymj6whiz93jknv9, 7j0fv43b1dkuiqk71ym4mmw6i, 237j1qagaotsy5j9wo3xqfgtl, 4obcheuxcvbu6zo3fyq3b6x91, 1u990wv0bo82xqv2s0e8m8ic5, 6euu7oztc1jkxcgef0g75cq95, bt2pm0it9f1o216uxo3abfpbd, bzr6a9okokrgaskvsbl03xmtx, 757jd3kvmh2izb7q7k8if209h, 8s5u921me5pvsfyvysjgpu2qy, c8vsa9o761rsdy9l8xbtj3etx, 1jdd1cmzaqalgkkl9vj4dcy51, aflbpdgjm6huba3f9t848d4o9, 6p7umqi0pvhgsjxool9yrcx78, 94fun5n4wygom9o27rptvscq2, 5rd9832gct7uy0acodmor8b11, 7hn66gfq3xw08afo501l9x5as, c9zpstta8uy4g5ojvz8krqb6c, akz04kph7qmvbpk3auntlfowl",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534505245,1,34,16,0,0,75qj99fhg5c0ztj2tva5u4uii,1,0,0,2023-04-16T12:30:15.868Z,2023-04-16T13:05:41Z,4194939413,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4194939403,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4194939405,59,"1, 4, 17, 8, 22, 94, 6, 2, 7, 10, 23, 3, 19, 24, 25, 26, 29, 30, 37, 92",4194939407,130,10,4194939411,194,6ynchgp6o4tajwvnfdnoo11at,4194939409,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4194939401,30,"cgqunmh8aw465fna15rdve8d1, 4gsebdl04os3v9mjhhkamnn1m, c3f7tpb57qho5z9agsxtcopas, 8j04w1662nucmmi276lrokmvp, 8927ird9ax5sj69nadeqaktlh, 9tdb905kq5becch102boicdex, 6ynchgp6o4tajwvnfdnoo11at, boa0e436nc3u53cumlao9ulex, 8kcm8g1fpcqqslzmut1fdhotl, 310zaj8t3k4c8aj54ml0n0kx5, bqq4tqw6tp68c1fya04onf6c5, dlzepva4fgihzwx4vfzagiy1h, 36ylt0kjn7t0vajmelu4mbazu, 4lg41m643jf18dgax298bufpw, 7rvgrqf0ktsepvwpj0osy5pzp, qooxolimrpdm50kl9woa6jje, 99yx7t2j59cyia4bkpi59q1as, 821ma6ofy7t9wtdvu1w6uni09, 4l4hmsih1jyb9jegs60cbn4oa, 9vwdme2e657vrezfixnimrv85",4195079297,197,19008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534534499,2,32,1,0,0,17o35s8assv3kamxowzz77k4r,1,0,0,2023-04-16T13:00:24.602Z,2023-04-16T20:07:45Z,4195084019,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534534451,2,32,1,0,0,75qj99fhg5c0ztj2tva5u4uii,1,0,0,2023-04-16T13:00:24.602Z,2023-04-16T13:00:23Z,4195083789,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534534519,3,1,1,0,0,75qj99fhg5c0ztj2tva5u4uii,1,50,50.1,2023-04-16T13:00:24.708Z,2023-04-16T22:13:47Z,4197291229,178,,4195084077,212,5.8,4195084075,141,49.9,4195084071,56,Back,4195084079,213,3.2,4195084081,279,S,4195084073,140,44.5,,,,310zaj8t3k4c8aj54ml0n0kx5,H. Abdelli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534534571,4,1,1,0,2,75qj99fhg5c0ztj2tva5u4uii,1,44.6,45.5,2023-04-16T13:00:26.808Z,2023-04-17T04:04:04Z,4195084329,140,31.6,4197291367,178,,4195084327,56,Back,4195084333,212,24.8,4195084335,213,4.1,4195084331,141,15.0,,,,,,,6ynchgp6o4tajwvnfdnoo11at,N. Bentaleb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534534719,5,1,1,0,5,75qj99fhg5c0ztj2tva5u4uii,0,33.9,17.8,2023-04-16T13:00:29.830Z,2023-04-17T04:04:03Z,4195085041,141,20.1,4197291467,178,,4195085045,213,0.0,4195085047,1,,4195085037,56,Right,4195085043,212,64.8,4195085035,155,,4195085039,140,95.6,9tdb905kq5becch102boicdex,Y. Valery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534534705,3,49,1,0,9,17o35s8assv3kamxowzz77k4r,1,14.3,83.9,2023-04-16T13:00:33.959Z,2023-04-17T04:04:03Z,,,,,,,,,,,,,,,,,,,,,,,,,6euu7oztc1jkxcgef0g75cq95,M. Caufriez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534534765,4,12,1,0,11,17o35s8assv3kamxowzz77k4r,1,1.6,81.3,2023-04-16T13:00:35.767Z,2023-04-17T04:04:02Z,4195085321,213,4.3,4197294735,178,,4195085313,141,70.5,4195085317,212,8.1,4195085309,56,Back,4195085311,140,0.0,4195087839,167,,,,,6euu7oztc1jkxcgef0g75cq95,M. Caufriez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534534775,5,6,1,0,12,17o35s8assv3kamxowzz77k4r,0,1.4,75.2,2023-04-16T13:00:37.053Z,2023-04-16T22:15:58Z,4195085627,233,6,4195085397,73,,4195085395,56,Back,,,,,,,,,,,,,,,,6euu7oztc1jkxcgef0g75cq95,M. Caufriez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
