id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/10/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/9/value,keyPass,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/11/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,assist
2465910565,1,34,16,0,0,2b3mar72yy8d6uvat1ka6tn3r,1,0,0,2022-10-01T18:17:33.360Z,2022-10-01T19:02:51Z,3811581121,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3811581113,130,17,3811581117,194,8z0395s37qe2lqi9qsvyskgk5,3811581115,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3811581119,197,15881,3811581111,59,"99, 2, 14, 4, 5, 26, 17, 8, 44, 30, 10, 1, 7, 15, 18, 19, 25, 28, 31, 33",3811581107,30,"4cetkl0w2uq40ccti5ka6a4t1, 1vr896w03yky9kmu8x5tjkicp, 54w62kh31qyyu7tipmjlt95g5, 9adbv1dl7dp7vze3b9sarerbp, 8z0395s37qe2lqi9qsvyskgk5, cfg0ocm0b2icpagbtnzkrihn9, cionsifzpx5rhc8es29wv6i95, f3v58fkymhrprt5gs0ccm29xx, 3vx94h32ahujciraspdayj9t6, c5ryhn04g9goikd0blmh83aol, 779rrkp47akkd5usq53begatx, 9sme7jykdv8msgfu0nxx6h39x, 5e9ilgrz3tzg9kd1gk3yvrahh, 5qg0coudjinnt978myh4n4n2t, 2ub88jcc3vku6mrnt5fb3oyqd, 4pyehox7p3z64c4l3k8yoyfv9, d3dv3vc71981v5oems59892sq, dsmcqfl0e1be4ag7czbnolo15, atlhc604ri3rr4w012otutyj8, 2s2fzli5c7h9dfcertq2dwxec",3811581109,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465910713,1,34,16,0,0,bx0cdmzr2gwr70ez72dorx82p,1,0,0,2022-10-01T18:17:40.639Z,2022-10-01T19:01:18Z,3811764903,197,15913,3811581913,130,11,3811581917,194,azuc3tma44xyrbgf5y279o1xx,3811581915,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3811581919,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3811581911,59,"1, 20, 26, 42, 4, 8, 11, 16, 24, 99, 10, 5, 7, 14, 19, 21, 23, 29, 33, 90",3811581907,30,"8govqd0xf8ijst50tgypaep5h, 99f4n1ws494k96r9ewdcrecbt, 7sep6mx2s67mh5fr3raxu7aei, 2e0ipswbkv4vf7lav6ee1j3oq, azuc3tma44xyrbgf5y279o1xx, vja0xo3xiuax8eh0b6q3y09, dxeju5zcb6j8etdgwq0kweor9, 5o0h8eeydl8t92qp3ywekqh1x, 7fcq014jmdb0uqldcts6tglat, 8rfgwq7hbi4a3imda845vdyvp, ct32113pfx5q9avf2c0x208ru, a87w6l9zsbahdi4knm1347zs9, e3kdoxu1kwn2w3wwi1rqhvr9x, 5ak9fwtqlr2pll0nsv5br7p7u, 6j0ogojh2b7poyceg7i3k09yi, 2kgvn1lt5yjsixg13fj0cidt6, 8f3bhiy6r5eei1n25exhbwr8p, 3n9jnuteyjx6w6dxviuead0b9, 9yjtdz1toq241g6cgdty94lck, 8pgocmr00qw7b9919c8zh4bmx",3811581909,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465946989,2,32,1,0,0,bx0cdmzr2gwr70ez72dorx82p,1,0,0,2022-10-01T19:00:36.589Z,2022-10-01T19:00:40Z,3811780813,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465946985,2,32,1,0,0,2b3mar72yy8d6uvat1ka6tn3r,1,0,0,2022-10-01T19:00:36.589Z,2022-10-01T23:15:20Z,3811780809,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465947037,3,1,1,0,0,2b3mar72yy8d6uvat1ka6tn3r,1,50.1,50,2022-10-01T19:00:36.592Z,2022-10-01T23:23:48Z,3811781025,213,3.2,3811781013,140,40.0,3811781021,212,10.6,3812595887,178,,3811781009,56,Back,3811781017,141,48.8,3811781031,279,S,,,,3vx94h32ahujciraspdayj9t6,H. Ekitike,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465947069,4,1,1,0,1,2b3mar72yy8d6uvat1ka6tn3r,1,38.5,51.7,2022-10-01T19:00:38.069Z,2022-10-02T02:33:22Z,3811781195,140,38.7,3811781199,212,5.4,3812596199,178,,3811781201,213,4.8,3811781197,141,43.7,3811781193,56,Back,,,,,,,f3v58fkymhrprt5gs0ccm29xx,Fabián Ruiz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465947109,5,1,1,0,5,2b3mar72yy8d6uvat1ka6tn3r,1,40.7,38.4,2022-10-01T19:00:42.494Z,2022-10-02T02:33:20Z,3811781431,212,11.2,3811781433,213,2.4,3811781425,56,Back,3811781429,141,49.3,3811781427,140,32.7,3812596513,178,,,,,,,,cionsifzpx5rhc8es29wv6i95,Vitinha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465947157,6,1,1,0,10,2b3mar72yy8d6uvat1ka6tn3r,1,32.1,51.9,2022-10-01T19:00:46.598Z,2022-10-02T02:33:19Z,3811781649,56,Back,3812596839,178,,3811781657,213,1.9,3811781651,140,26.8,3811781655,212,17.1,3811781653,141,75.7,,,,,,,8z0395s37qe2lqi9qsvyskgk5,Marquinhos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465947225,7,1,1,0,13,2b3mar72yy8d6uvat1ka6tn3r,1,25.4,82,2022-10-01T19:00:50.178Z,2022-10-02T02:33:18Z,3811782001,140,23.8,3811782007,212,29.2,3811781997,56,Back,3811782011,213,4.7,3812597209,178,,3811782003,141,39.2,,,,,,,9adbv1dl7dp7vze3b9sarerbp,Sergio Ramos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465947243,8,1,1,0,20,2b3mar72yy8d6uvat1ka6tn3r,1,29.2,52.6,2022-10-01T19:00:57.159Z,2022-10-02T02:33:15Z,3811782113,213,1.7,3811782105,56,Back,3811782109,141,76.0,3811782107,140,27.1,3811782111,212,16.1,3812597633,178,,,,,,,,8z0395s37qe2lqi9qsvyskgk5,Marquinhos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
