id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,assist,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/8/value,keyPass,qualifier/10/value,qualifier/11/value,qualifier/17/value,qualifier/15/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/18/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value
2534827021,1,34,16,0,0,3unkqo2g6ag99gd5ynz1j7vse,1,0,0,2023-04-16T18:07:49.177Z,2023-04-17T09:32:19Z,4196606295,30,"8xdrtww8r5jbxuxtall0wh591, 4hns4p7a45kno60qqzlniycmi, 577j49ffrxuurraco9chy388a, eznhm6o1jymvzaucjlngbaad, 2smai2vq1r9xnemihvcq0doet, 7etm5qf3sonimtxllrw5xwkid, 3h3g7sne1jjevj0mwyliehm95, c8mp2wwwyvy930vfjnivg2hre, bj37ny1s1gbbe4wrgyz1wag9h, demp53kye0ium76t240vo8cet, 9bkzl4dx3mci3w86rjpfkwowk, 1bs4vwqye00mn2oaxrvfkkt7t, 87gvtfqgn555sywr78abximsp, 900q6uo21i95co96snohqofyt, 7ef73s1ryz38blmo3n9p9c82x, 1jbm4rhckr1gmwld08ey819m, dj2f6zk2cd8u9lt6odoei9cdl, ckcjk3zjpix288d6zihltlst0, 57sdn53awg8fzbygrwchg6u7e",4196606299,59,"30, 18, 39, 17, 23, 4, 6, 8, 7, 11, 29, 1, 2, 9, 14, 15, 19, 22, 26",4196606301,130,17,4196606297,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5",4196606305,194,2smai2vq1r9xnemihvcq0doet,4196606309,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4196606303,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",4196606307,197,15910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534829097,1,34,16,0,0,27xvwccz8kpmqsefjv2b2sc0o,1,0,0,2023-04-16T18:10:14.515Z,2023-04-16T18:10:14Z,4196617063,130,17,4196617069,197,15909,4196617065,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4196617067,194,8s259ktv9j6ei0f8rh2msqfh1,4196617071,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4196617057,30,"26atxu4fr8f87oi8mt6z70mhh, c4w6l0ha9pvwljyh3aejqz3yt, 2p70qo9oxplufwnhlrl2b8v3e, 9j742o5vdc7d54x1xdz4t9ck5, 8ni13k73i9xusj01utdmqk7h1, bb5eekaj9i0dbckrkb629qg2d, 8s259ktv9j6ei0f8rh2msqfh1, 5fbnkkf1saix4lonwx1i9k7o5, cnriqwh17pqgz7p2gt74uar6c, cip5lla8zu8gru2m4popsstlh, vl1b0gayryiqvl5dlukpmswl, 9jw0h4escxh3eqz8oh860r3yt, 74edqcuzfzy7nswqzn0v3pe22, asvqr3i5wcjiajxipt1qvldyh, 26mggguhavwmnq1oak12ket, 4euxcqawlks4c56pqj8xvwbf9, dqsslq1iz1azubowq3anwws4q, adkchwdsbosevyzmfoy60t82c, 4dbs7cgevy096gouv60eurh05, b8m3njge4ubxcj1zbxhvk5d9m",4196617061,59,"16, 7, 29, 23, 4, 99, 21, 27, 9, 17, 70, 3, 5, 6, 10, 18, 30, 33, 36, 47",4196617059,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534853533,2,32,1,0,0,27xvwccz8kpmqsefjv2b2sc0o,1,0,0,2023-04-16T18:45:09.559Z,2023-04-16T23:12:40Z,4196749483,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534853547,2,32,1,0,0,3unkqo2g6ag99gd5ynz1j7vse,1,0,0,2023-04-16T18:45:09.559Z,2023-04-16T18:45:13Z,4196749545,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534853597,3,1,1,0,0,27xvwccz8kpmqsefjv2b2sc0o,1,50,50,2023-04-16T18:45:09.587Z,2023-04-16T23:18:56Z,4196749767,140,42.1,4196749771,141,53.7,4196749777,213,2.8,4196749761,56,Back,4197397125,178,,4196749775,212,8.7,4196749779,279,S,,,,cnriqwh17pqgz7p2gt74uar6c,Vítinha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534853603,4,1,1,0,1,27xvwccz8kpmqsefjv2b2sc0o,1,41,54.1,2023-04-16T18:45:11.497Z,2023-04-17T02:22:30Z,4196749803,141,93.0,4196749805,212,26.6,4196749799,56,Back,4196749807,213,1.7,4197397269,178,,4196749801,140,38.8,,,,,,,5fbnkkf1saix4lonwx1i9k7o5,J. Veretout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534853655,5,1,1,0,4,27xvwccz8kpmqsefjv2b2sc0o,1,41.4,87.8,2023-04-16T18:45:14.313Z,2023-04-17T02:22:30Z,4196750021,213,4.1,4197397419,178,,4196750017,141,68.4,4196750015,140,32.9,4196750013,56,Back,4196750019,212,15.9,,,,,,,9j742o5vdc7d54x1xdz4t9ck5,S. Kolašinac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534853687,6,1,1,0,7,27xvwccz8kpmqsefjv2b2sc0o,1,34.7,67.2,2023-04-16T18:45:16.938Z,2023-04-17T02:22:28Z,4196750217,212,26.5,4196750215,141,28.7,4196750219,213,4.5,4196750213,140,30.6,4196750211,56,Back,4197397555,178,,,,,,,,5fbnkkf1saix4lonwx1i9k7o5,J. Veretout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534853773,7,1,1,0,11,27xvwccz8kpmqsefjv2b2sc0o,0,42.2,23.4,2023-04-16T18:45:21.208Z,2023-04-17T02:22:27Z,4197397799,178,,4196750707,155,,4196750717,213,0.6,4196750715,212,72.7,4196750709,56,Left,4196750713,141,80.7,4196750719,1,,4196750711,140,100.0,8s259ktv9j6ei0f8rh2msqfh1,V. Rongier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534853793,3,5,1,0,18,3unkqo2g6ag99gd5ynz1j7vse,1,-0.6,19,2023-04-16T18:45:28.148Z,2023-04-16T23:19:13Z,4196750807,56,Back,4196750809,346,,4196750883,233,8,,,,,,,,,,,,,,,,7etm5qf3sonimtxllrw5xwkid,E. Palmer-Brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
