id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/9/value,qualifier/10/value,keyPass,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/11/value,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/14/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,assist,qualifier/16/value,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId
2527441565,1,34,16,0,0,750ustvk4jfqmo8q4gnrcxy7z,1,0,0,2023-04-02T12:28:42.926Z,2023-04-02T13:47:48Z,4157377693,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",4157377695,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4157377687,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5",4157377689,59,"1, 38, 24, 5, 3, 4, 10, 17, 99, 25, 27, 7, 8, 11, 14, 16, 21, 28, 31",4157377691,130,7,4157377685,30,"f0e5posm9z0oma2t3u9k1qy95, 5i6p36ywmaoj1i26fl54th5d6, bxb5trtzllty8eqteifyw4zit, 8zc2u2dfrokzg3domqmt30s0l, crjrpkb5p430hludk5acmhjv9, 53yrdwlr1pw23bxyxfg85npat, 9yfnfwqog4y572aoe2iztnbv9, oc04nz0mrmzeqpcbql3rbhlh, e3kdoxu1kwn2w3wwi1rqhvr9x, 1n0y675l767w55pipq5lgj1zp, 6tedvat245ajkir9c4035i0np, 7k0r5crdh9blj3edt31zwy0dm, cg1j982govx2perwr3rv33t1x, 9dzyrffyz77zqmptudhdrh8lx, adswn2xpomwsi7zh022787mne, ctygavkrblcxra880nwej0bf9, 3g217lvxyrxlzsyp0rmlvglp1, bf2yxiyhdyipaxxxobt9i1gq1, d3y4csfpvhzcowlusw9xe32eh",4157378695,194,f0e5posm9z0oma2t3u9k1qy95,4157544665,197,654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527445445,1,34,16,0,0,3c3jcs7vc1t6vz5lev162jyv7,1,0,0,2023-04-02T12:32:30.982Z,2023-04-02T12:55:18Z,4157399189,194,976riwm0dz0e74d4l28y3ttcl,4157399187,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4157399181,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4157534917,197,16322,4157399179,30,"89sv092huj2obzdazmft854a1, 3sc349yey596xp2j6xlyt0frp, e1gq9zfwrm446r2tzmeiw6jmx, 2lvit204llltk13iglsa2tjah, 36h87ecgmpjdltk1epsbvmiju, 976riwm0dz0e74d4l28y3ttcl, cmrdm4nnd62inlvsnc52vkicp, 96wcx761pzv5ub4sfwsynp51x, edti8t30h7ukwi3wqlzaczje1, 8qmm84tue6kuz8e5nhhdhmz8p, ccu7hw3wrcspl1a18g2ldnsh5, 8gkexxgf3pypshhqwg6ibp7o4, afymbx9eo87zau8mo99pakbu, 5ghvrbmlh0tqos9iohj8f7zzd, agwvouyocx93y39g7tmwaojx1, 18b0ti0bsq68842kgbczsbgmh, 7ty1wdxxnusgkl34k5raipbl5, 8zo4abj7d3ut3cry9tcsoglw, 6thbb2kineeyc4n6djxywl5as, 4scfsr0qvjnh8jxrdnld9b0lx",4157399183,59,"94, 32, 25, 8, 24, 5, 39, 21, 29, 15, 70, 3, 4, 9, 10, 11, 19, 43, 49, 96",4157399191,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4157399185,130,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527475345,2,32,1,0,0,750ustvk4jfqmo8q4gnrcxy7z,1,0,0,2023-04-02T13:00:29.903Z,2023-04-02T21:56:34Z,4157555481,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527475351,2,32,1,0,0,3c3jcs7vc1t6vz5lev162jyv7,1,0,0,2023-04-02T13:00:29.903Z,2023-04-02T13:00:32Z,4157555511,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527475421,3,1,1,0,0,750ustvk4jfqmo8q4gnrcxy7z,1,50,50,2023-04-02T13:00:29.929Z,2023-04-03T03:41:01Z,4160238721,178,,4157555839,212,14.9,4157555843,279,S,4157555837,141,50.8,4157555833,56,Back,4157555835,140,35.8,4157555841,213,3.1,,,,1n0y675l767w55pipq5lgj1zp,F. Mollet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527475439,4,1,1,0,3,750ustvk4jfqmo8q4gnrcxy7z,0,30.5,45.4,2023-04-02T13:00:33.261Z,2023-04-03T06:33:34Z,4157555919,213,0.0,4157555917,212,47.0,4157555911,56,Center,4160238797,178,,4157555909,155,,4157555913,140,75.2,4157555921,1,,4157555915,141,47.8,crjrpkb5p430hludk5acmhjv9,Andrei Girotto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527475495,3,1,1,0,6,3c3jcs7vc1t6vz5lev162jyv7,0,21.9,58.7,2023-04-02T13:00:36.536Z,2023-04-03T06:33:33Z,4157556175,140,42.0,4157556173,56,Back,4157556181,213,0.2,4157556171,3,,4160238949,178,,4157556179,212,21.4,4157556177,141,63.9,,,,36h87ecgmpjdltk1epsbvmiju,E. Agbadou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527475503,5,44,1,0,9,750ustvk4jfqmo8q4gnrcxy7z,1,58.3,36.2,2023-04-02T13:00:39.120Z,2023-04-03T06:33:33Z,4157556221,56,Center,4157556323,233,4,4157556223,286,,,,,,,,,,,,,,,,,8zc2u2dfrokzg3domqmt30s0l,Pedro Chirivella,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527475505,4,44,1,0,9,3c3jcs7vc1t6vz5lev162jyv7,0,41.7,63.8,2023-04-02T13:00:39.121Z,2023-04-03T06:33:33Z,4157556355,233,5,4157556229,285,,4157556227,56,Back,,,,,,,,,,,,,,,,ccu7hw3wrcspl1a18g2ldnsh5,A. Flips,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527475507,6,1,1,0,9,750ustvk4jfqmo8q4gnrcxy7z,0,57.9,37.6,2023-04-02T13:00:39.151Z,2023-04-03T06:33:32Z,4157556235,3,,4160239159,388,,4157556241,141,39.5,4157556243,212,2.2,4157556239,140,59.6,4157556237,56,Center,4157556245,213,0.6,,,,8zc2u2dfrokzg3domqmt30s0l,Pedro Chirivella,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
