id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,assist,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,keyPass,qualifier/11/value,qualifier/14/value,qualifier/13/value,qualifier/15/value,qualifier/10/value,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId
2462187135,1,34,16,0,0,121le8unjfzug3iu9pgkqa1c7,1,0,0,2022-09-18T17:54:53.842Z,2022-09-18T18:43:24Z,3791845167,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3791992639,197,643,3791845175,194,f4cykd65su8xbme6xdc1iw7o5,3791845169,59,"1, 27, 3, 88, 23, 4, 11, 6, 10, 9, 7, 2, 12, 15, 18, 21, 22, 24, 26, 35",3791845165,30,"d3mss0i879krqrk1owzmj2c45, 8jt4vsixxoqp4uvskyfl7k222, 40hu79d2a4k94nc52z7dblpsl, d68byfvk16giaur32gqwpwded, 3vu0c0j8n99wz6e2f7fmd2pxx, aaaskdins76bd0368sbpt7wq2, 79nno03ww57p02dz5o0g60rqi, 79dz7zni5fcgh5e70spoj2j8p, f4cykd65su8xbme6xdc1iw7o5, d9zax4y92d85x7j63kg7ckvkl, 9mory3y7p8aku035r2kxtvz6d, e9mtpmkb4qj2gqyv966g9ulpm, 8rcole4a6y4fkamv87q3hqk0l, 7c5uk1ts8jlu88p1x6wubuz8p, 1ehcji0j9s8b0qsj8v5zinjvu, 46acb400oivj94jwu3i3lrxsl, 7ef73s1ryz38blmo3n9p9c82x, 6ovea0xzg9yflmlbjdf1xcmlm, a71n80h977h7fu99ftnri5zsa, 7to9ns7mkuji0ciwh1ufkq3md",3791845173,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3791845171,130,2,3791845177,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2462187689,1,34,16,0,0,2b3mar72yy8d6uvat1ka6tn3r,1,0,0,2022-09-18T17:56:03.201Z,2022-09-18T18:43:55Z,3791848219,130,17,3791848215,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3791848221,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3791848225,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3791993609,197,15881,3791848223,194,8z0395s37qe2lqi9qsvyskgk5,3791848213,30,"4cetkl0w2uq40ccti5ka6a4t1, 1vr896w03yky9kmu8x5tjkicp, d3dv3vc71981v5oems59892sq, 5qg0coudjinnt978myh4n4n2t, 8z0395s37qe2lqi9qsvyskgk5, 9adbv1dl7dp7vze3b9sarerbp, f3v58fkymhrprt5gs0ccm29xx, 7fmhqt5geme4yv9cfnsp5lec5, 5e9ilgrz3tzg9kd1gk3yvrahh, c5ryhn04g9goikd0blmh83aol, 779rrkp47akkd5usq53begatx, 9sme7jykdv8msgfu0nxx6h39x, 54w62kh31qyyu7tipmjlt95g5, cionsifzpx5rhc8es29wv6i95, 4pyehox7p3z64c4l3k8yoyfv9, cfg0ocm0b2icpagbtnzkrihn9, dsmcqfl0e1be4ag7czbnolo15, atlhc604ri3rr4w012otutyj8, 2s2fzli5c7h9dfcertq2dwxec, 3vx94h32ahujciraspdayj9t6",3791848217,59,"99, 2, 25, 15, 5, 4, 8, 6, 7, 30, 10, 1, 14, 17, 19, 26, 28, 31, 33, 44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2462214591,2,32,1,0,0,121le8unjfzug3iu9pgkqa1c7,1,0,0,2022-09-18T18:45:10.632Z,2022-09-18T22:56:12Z,3791998847,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2462214613,2,32,1,0,0,2b3mar72yy8d6uvat1ka6tn3r,1,0,0,2022-09-18T18:45:10.632Z,2022-09-18T18:45:11Z,3791998901,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2462214657,3,1,1,0,0,121le8unjfzug3iu9pgkqa1c7,1,50,50,2022-09-18T18:45:10.747Z,2022-09-18T23:34:43Z,3791999127,56,Back,3791999131,141,43.4,3791999135,213,3.4,3791999137,279,S,3791999133,212,19.0,3792786595,178,,3791999129,140,32.4,,,,d9zax4y92d85x7j63kg7ckvkl,M. Dembélé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2462214669,4,1,1,0,2,121le8unjfzug3iu9pgkqa1c7,1,37.3,47.6,2022-09-18T18:45:13.208Z,2022-09-19T02:12:00Z,3791999215,213,0.6,3791999209,140,73.4,3791999205,155,,3792786739,178,,3791999211,141,87.0,3791999207,56,Left,3791999217,1,,3791999213,212,46.4,3vu0c0j8n99wz6e2f7fmd2pxx,Thiago Mendes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2462214705,5,1,1,0,4,121le8unjfzug3iu9pgkqa1c7,1,70.4,83.6,2022-09-18T18:45:15.541Z,2022-09-19T02:11:59Z,3792786941,178,,3791999411,3,,3791999421,213,5.5,3791999419,212,9.1,3791999415,140,76.6,3791999413,56,Center,3791999417,141,74.3,,,,9mory3y7p8aku035r2kxtvz6d,K. Toko Ekambi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2462214709,6,50,1,0,7,121le8unjfzug3iu9pgkqa1c7,1,72.4,78.7,2022-09-18T18:45:18.537Z,2022-09-19T02:11:58Z,3791999531,233,3,3791999441,56,Center,3791999443,286,,,,,,,,,,,,,,,,,f4cykd65su8xbme6xdc1iw7o5,A. Lacazette,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2462214717,3,7,1,0,8,2b3mar72yy8d6uvat1ka6tn3r,1,27.6,21.3,2022-09-18T18:45:18.790Z,2022-09-19T02:11:58Z,3791999521,233,6,3791999479,285,,3792591591,384,,3792788127,389,,3791999477,56,Back,,,,,,,,,,f3v58fkymhrprt5gs0ccm29xx,Fabián Ruiz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2462214723,4,49,1,0,9,2b3mar72yy8d6uvat1ka6tn3r,1,29.1,21.3,2022-09-18T18:45:19.754Z,2022-09-19T02:11:58Z,,,,,,,,,,,,,,,,,,,,,,,,,7fmhqt5geme4yv9cfnsp5lec5,M. Verratti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
