id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,keyPass,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/9/value,assist,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/10/value,qualifier/16/value
2536676465,1,34,16,0,0,2b3mar72yy8d6uvat1ka6tn3r,1,0,0,2023-04-21T18:12:20.606Z,2023-04-21T19:02:45Z,4206465477,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4206465475,30,"4cetkl0w2uq40ccti5ka6a4t1, 1vr896w03yky9kmu8x5tjkicp, 54w62kh31qyyu7tipmjlt95g5, 5qg0coudjinnt978myh4n4n2t, 9adbv1dl7dp7vze3b9sarerbp, 8z0395s37qe2lqi9qsvyskgk5, dsmcqfl0e1be4ag7czbnolo15, cionsifzpx5rhc8es29wv6i95, 5e9ilgrz3tzg9kd1gk3yvrahh, c5ryhn04g9goikd0blmh83aol, f3v58fkymhrprt5gs0ccm29xx, 7fmhqt5geme4yv9cfnsp5lec5, ckjcm9q26zd6q8tkq0go6oxcl, atlhc604ri3rr4w012otutyj8, 2s2fzli5c7h9dfcertq2dwxec, 59zam5h3noyxf84k3jv1ofy1g, 5tbe4kvtf8hye3n056u9a4p3o, 34z1r2585ifo6zdcfuu6xumfo, 3vx94h32ahujciraspdayj9t6, 50kggsgofmeq6bos0kn5fyv2t",4206465487,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4206465481,130,12,4206465485,194,8z0395s37qe2lqi9qsvyskgk5,4206652951,197,16835,4206465483,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4206465479,59,"99, 2, 14, 15, 4, 5, 28, 17, 7, 30, 8, 6, 16, 31, 33, 37, 34, 35, 44, 90",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536680031,1,34,16,0,0,75qj99fhg5c0ztj2tva5u4uii,1,0,0,2023-04-21T18:17:00.981Z,2023-04-21T19:11:22Z,4206484139,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4206655599,197,15935,4206484145,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4206484141,59,"1, 25, 17, 29, 22, 94, 10, 2, 24, 7, 23, 5, 14, 19, 26, 30, 33, 37, 70, 92",4206484147,194,310zaj8t3k4c8aj54ml0n0kx5,4206484143,130,10,4206484149,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4206484135,30,"cgqunmh8aw465fna15rdve8d1, 7rvgrqf0ktsepvwpj0osy5pzp, c3f7tpb57qho5z9agsxtcopas, 99yx7t2j59cyia4bkpi59q1as, 8927ird9ax5sj69nadeqaktlh, 9tdb905kq5becch102boicdex, 310zaj8t3k4c8aj54ml0n0kx5, boa0e436nc3u53cumlao9ulex, 4lg41m643jf18dgax298bufpw, 8kcm8g1fpcqqslzmut1fdhotl, bqq4tqw6tp68c1fya04onf6c5, cnei0h8qtnmr9n9ojtm029uj9, 5vvhwzxwq395q3welimok3uqy, 36ylt0kjn7t0vajmelu4mbazu, qooxolimrpdm50kl9woa6jje, 821ma6ofy7t9wtdvu1w6uni09, 14dttewtxgjacujn2mxggtct0, 4l4hmsih1jyb9jegs60cbn4oa, dxl9st6dtt0j05v6emc26kbo4, 9vwdme2e657vrezfixnimrv85",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536713495,2,32,1,0,0,75qj99fhg5c0ztj2tva5u4uii,1,0,0,2023-04-21T19:00:16.130Z,2023-04-21T23:19:37Z,4206661515,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536713471,2,32,1,0,0,2b3mar72yy8d6uvat1ka6tn3r,1,0,0,2023-04-21T19:00:16.130Z,2023-04-21T19:00:16Z,4206661445,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536713513,3,1,1,0,0,2b3mar72yy8d6uvat1ka6tn3r,1,50.3,49.3,2023-04-21T19:00:16.150Z,2023-04-21T23:26:58Z,4206661607,213,3.3,4206661601,140,37.1,4206661605,212,14.1,4206661603,141,45.8,4206661609,279,S,4207195253,178,,4206661599,56,Back,,,,5e9ilgrz3tzg9kd1gk3yvrahh,K. Mbappé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536713531,4,1,1,0,1,2b3mar72yy8d6uvat1ka6tn3r,1,38.6,48.3,2023-04-21T19:00:17.711Z,2023-04-22T02:09:37Z,4206661703,212,24.8,4206661697,56,Back,4206661699,140,32.6,4206661701,141,13.1,4207195355,178,,4206661705,213,4.5,,,,,,,f3v58fkymhrprt5gs0ccm29xx,Fabián Ruiz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536713557,5,1,1,0,4,2b3mar72yy8d6uvat1ka6tn3r,1,36.1,19,2023-04-21T19:00:20.253Z,2023-04-22T02:09:36Z,4206661863,213,1.5,4206661857,140,36.5,4206661853,56,Back,4206661859,141,39.7,4206661861,212,14.1,4207195599,178,,,,,,,,1vr896w03yky9kmu8x5tjkicp,A. Hakimi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536713601,6,1,1,0,5,2b3mar72yy8d6uvat1ka6tn3r,1,37,37.9,2023-04-21T19:00:21.831Z,2023-04-22T02:09:35Z,4206662089,213,2.1,4206662083,140,27.7,4207195647,178,,4206662085,141,64.9,4206662087,212,20.8,4206662081,56,Back,,,,,,,f3v58fkymhrprt5gs0ccm29xx,Fabián Ruiz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536713621,7,1,1,0,8,2b3mar72yy8d6uvat1ka6tn3r,1,33.4,59.2,2023-04-21T19:00:24.891Z,2023-04-22T02:09:35Z,4206662189,141,84.7,4206662193,213,0.8,4207195737,178,,4206662185,56,Left,4206662191,212,24.8,4206662187,140,50.3,,,,,,,9adbv1dl7dp7vze3b9sarerbp,Sergio Ramos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536713657,8,1,1,0,11,2b3mar72yy8d6uvat1ka6tn3r,1,49.1,79.3,2023-04-21T19:00:27.375Z,2023-04-22T02:09:34Z,4206662365,141,93.8,4207195833,178,,4206662361,56,Left,4206662367,212,12.8,4206662363,140,56.8,4206662369,213,0.9,,,,,,,cionsifzpx5rhc8es29wv6i95,Vitinha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
