id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/8/value,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/14/value,assist,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/15/value
2519120907,1,34,16,0,0,6xjy1q2m55iiwe8g1r1yffbc9,1,0,0,2023-03-12T13:07:56.114Z,2023-03-12T13:56:45Z,4092483325,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4092483335,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4092483327,59,"1, 20, 3, 4, 15, 21, 14, 6, 28, 7, 10, 5, 16, 24, 25, 27, 29, 35, 34, 77",4092483329,130,2,4092483333,194,bm1utly0qt2kaexijsu2p2tw5,4092483323,30,"3xpo0nc3hysdi41gupi7adot1, cujgdqrikyjt36scc23zcbkk5, 1e77it93nx78uu157mmksd71l, 529k1s89fjg133s8ycjwvgg5x, i0pvdl0hx7idtfi0xymygmp5, 67q7ve9vse4m2nb82j2z1clhx, 9higgl848a37qflh0sts05tjp, bm1utly0qt2kaexijsu2p2tw5, cxzg0rkbjkyvpw0xiki7noktm, 2fa3vmp34mwrthdiehnaxnnqh, dfdq5f5mrzq9zaj1mrfhk5905, 1lbgavu1rxlrfg14062suwyj9, 8wz2w0267i1845k87hxsgandh, 28soxjs6twyw0uk1c3qn0dbe, 70ukveu4kwheeizg6x694krmx, bi49lcldxz8jubp72kgeke2y2, 1xawzpx3vp3b7wqx6w5avdb6x, 1uj41i55v9fd3j9eaw5b5a7mc, 4ported2opjp4xbp87bpqb6z8, crdmczlhynym2z1adqlbt853p",4092483331,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4092695759,197,624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519127977,1,34,16,0,0,2cjpmotqo8phcqfpgo9xf4gel,1,0,0,2023-03-12T13:14:14.760Z,2023-03-12T13:58:58Z,4092517817,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4092517815,30,"6wfwy94p5bm0zv3aku0urfq39, 859tcp8023r5cki7uju30l9t5, ccc0ytvrgtomxfunopwy2kij9, 7za8h1pgec0y2s1ihmkkfvpm2, 2snhhbt5230mm0rxigcqitqdx, daevawz3r1bzlhcbr7mj12h9l, 6ir1z8c3o7t4kqx04kw24i415, 7teasnynvwarky180hl6zvkk5, d8m8y59eum57eu7kiat38rkk5, 8yirlj1hpoqnuczpywgzlblxx, 5w9g9gfeucuccwxd09o62f84p, 6l1peb3xqu90lwythl9sti4lx, 1yj1kt2cx24nn4zt5h1ma1olx, 71bl8lyjtmzn8ebwulcjnmu39, 16idj1wxzcbvuaov5duvpqhyi, cr1n1i96xlepbvk90nl87o4yc, 7su502qxh7067jez2o33gn1be, d9kipffuuaweywowd5724bn6c, f2wjw84p0ztxt636u2ibnoxxx, a065rtv2lfh0rso33dfuah4ut",4092517825,194,8yirlj1hpoqnuczpywgzlblxx,4092517827,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4092700477,197,16244,4092517821,130,8,4092517819,59,"40, 77, 3, 13, 6, 4, 7, 12, 99, 11, 27, 5, 9, 10, 21, 22, 26, 32, 75, 90",4092517823,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519163543,2,32,1,0,0,6xjy1q2m55iiwe8g1r1yffbc9,1,0,0,2023-03-12T14:00:04.192Z,2023-03-12T22:02:27Z,4092702583,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519163551,2,32,1,0,0,2cjpmotqo8phcqfpgo9xf4gel,1,0,0,2023-03-12T14:00:04.192Z,2023-03-12T14:00:05Z,4092702615,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519163593,3,1,1,0,0,6xjy1q2m55iiwe8g1r1yffbc9,1,50.1,49.7,2023-03-12T14:00:04.220Z,2023-03-13T08:06:04Z,4092702797,56,Back,4092702805,213,2.4,4092702807,279,S,4092702803,212,6.0,4095259403,178,,4092702799,140,45.9,4092702801,141,55.7,4092703767,210,13,2fa3vmp34mwrthdiehnaxnnqh,M. El Idrissy,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519163611,4,13,1,0,2,6xjy1q2m55iiwe8g1r1yffbc9,1,48.9,50.4,2023-03-12T14:00:06.262Z,2023-03-13T08:06:04Z,4092703835,231,49.8,4092703833,230,89.6,4092703821,29,,4094411835,74,,4092702847,19,,4095259481,178,,4092702845,22,,4092703829,103,76.4,dfdq5f5mrzq9zaj1mrfhk5905,Y. Belaïli,,4092703265,20,4092702849,56,Back,4092703827,102,55.5,4092703823,55,3,4092703831,215,,,,,,,,,,,,,,,,,,,,,
2519163617,3,5,1,0,4,2cjpmotqo8phcqfpgo9xf4gel,1,-0.8,42.8,2023-03-12T14:00:08.956Z,2023-03-13T03:41:42Z,4092702875,346,,4092702873,56,Back,4092703099,233,5,,,,,,,,,,,,,,,,6ir1z8c3o7t4kqx04kw24i415,A. Nordin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519163659,5,5,1,0,4,6xjy1q2m55iiwe8g1r1yffbc9,0,100.8,57.2,2023-03-12T14:00:08.956Z,2023-03-13T03:41:42Z,4092703049,346,,4092703047,56,Center,4092703119,233,3,,,,,,,,,,,,,,,,dfdq5f5mrzq9zaj1mrfhk5905,Y. Belaïli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519163751,4,1,1,0,15,2cjpmotqo8phcqfpgo9xf4gel,1,3.5,47.9,2023-03-12T14:00:19.280Z,2023-03-13T08:06:04Z,4092703527,141,82.0,4092703535,237,,4092703525,140,10.1,4092703523,56,Back,4092703521,124,,4092703531,213,1.3,4092703529,212,24.2,,,,6wfwy94p5bm0zv3aku0urfq39,B. Lecomte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519163821,5,1,1,0,19,2cjpmotqo8phcqfpgo9xf4gel,0,13.8,86,2023-03-12T14:00:23.219Z,2023-03-13T08:06:03Z,4092703889,140,55.4,4092703893,212,45.0,4092703891,141,100.0,4092703899,1,,4092703887,56,Left,4092703885,155,,4095259567,178,,4092703895,213,0.2,daevawz3r1bzlhcbr7mj12h9l,K. Kouyaté,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
