id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/11/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,assist,qualifier/12/value,qualifier/15/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,keyPass,qualifier/13/value
2531003665,1,34,16,0,0,9bxav814mkuhueiyivyive82d,1,0,0,2023-04-09T12:06:44.690Z,2023-04-11T06:48:12Z,4176272937,30,"6wplm29z7qxxmujyc2ml19gix, tca8ra7ew1b1uny96ku0ql05, dac9zcryfwbq3xdik69gkpadx, 8tesu8352jvqfvclei8hykjbp, 6ypo3vp0zupq6s1jbk8rbmq51, baogzi00mwdclwbvkd618evv9, 3o7ktan6n28fn5fj7gel6qead, 7jj9gwpuk49bsm2ru06qb44wl, 7pv3n0vj8243p1di16regotsl, co59rv08x22hk5itwibbwq191, 6gdoxudvl1rgcn7d19e89p9ed, 23kk95p8zf228zmyocxamga1h, 9qk1hoxri8dee6yat0cateqxh, cglp4k40r1t672m7j0eb5ktsl, aujgya83jg4eylvm7hjjbbasq, 1py4bk2ik16w8lil31bghq99m, doc6xdg2vumiyoamostngr36d, 4sjs5ktvkun9g96w6h5a39puc, b187awt0wdxh20fx1rn5vgewa, 46vm60m1v8o9t0aesa0bpr42y",4176272941,59,"1, 13, 24, 27, 4, 97, 6, 12, 9, 7, 10, 5, 11, 16, 17, 19, 29, 35, 77, 80",4176272953,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4176272947,194,7jj9gwpuk49bsm2ru06qb44wl,4176272939,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4176272943,130,17,4176272945,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4176272951,197,6351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531010669,1,34,16,0,0,6xjy1q2m55iiwe8g1r1yffbc9,1,0,0,2023-04-09T12:14:13.256Z,2023-04-09T12:18:27Z,4176305845,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4176305833,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4176305841,194,bm1utly0qt2kaexijsu2p2tw5,4176305831,30,"3xpo0nc3hysdi41gupi7adot1, 2hujd2bwvb0wtxdna6c0xb2z9, 3qcyotm0vljybir8poi67stsl, d3d1qks236pztzcqp3wdcc0l, crdmczlhynym2z1adqlbt853p, 70ukveu4kwheeizg6x694krmx, 529k1s89fjg133s8ycjwvgg5x, bm1utly0qt2kaexijsu2p2tw5, d040o5igq61iizexn1v2a5t5h, 2fa3vmp34mwrthdiehnaxnnqh, bi49lcldxz8jubp72kgeke2y2, 1e77it93nx78uu157mmksd71l, 1lbgavu1rxlrfg14062suwyj9, i0pvdl0hx7idtfi0xymygmp5, 8wz2w0267i1845k87hxsgandh, 5fvzbq3mstt7eatkjpodbvpm2, 67q7ve9vse4m2nb82j2z1clhx, 84ikqi9s3lng1mo4lxwq210wl, 1xawzpx3vp3b7wqx6w5avdb6x, 4ported2opjp4xbp87bpqb6z8",4176305843,197,624,4176305839,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4176305835,59,"1, 2, 99, 8, 77, 25, 4, 6, 17, 7, 27, 3, 5, 15, 16, 18, 21, 23, 29, 34",4176305837,130,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531047861,2,32,1,0,0,9bxav814mkuhueiyivyive82d,1,0,0,2023-04-09T12:59:56.256Z,2023-04-09T12:59:56Z,4176486073,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531047871,2,32,1,0,0,6xjy1q2m55iiwe8g1r1yffbc9,1,0,0,2023-04-09T12:59:56.256Z,2023-04-09T21:01:31Z,4176486131,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531047917,3,1,1,0,0,9bxav814mkuhueiyivyive82d,1,50,50,2023-04-09T12:59:56.313Z,2023-04-09T23:36:10Z,4178449689,178,,4176486359,141,45.4,4176486363,213,3.3,4176486355,56,Back,4176486357,140,30.4,4176486365,279,S,4176486361,212,20.8,,,,co59rv08x22hk5itwibbwq191,G. Hein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531047969,4,1,1,0,2,9bxav814mkuhueiyivyive82d,0,31.8,42.4,2023-04-09T12:59:59.207Z,2023-04-10T05:32:53Z,4176486613,213,0.9,4176486609,141,95.4,4176486605,56,Left,4176486607,140,61.0,4176486615,1,,4178449931,178,,4176486611,212,47.3,4176486603,155,,6ypo3vp0zupq6s1jbk8rbmq51,Jubal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531047991,3,8,1,0,6,6xjy1q2m55iiwe8g1r1yffbc9,1,32.5,6.9,2023-04-09T13:00:02.417Z,2023-04-10T05:32:52Z,4176486749,56,Back,4178450377,178,,4177449961,15,,4177450205,385,,,,,,,,,,,,,,2hujd2bwvb0wtxdna6c0xb2z9,M. Alphonse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531048021,5,1,1,0,8,9bxav814mkuhueiyivyive82d,0,44.5,94,2023-04-09T13:00:05.011Z,2023-04-10T05:32:52Z,4178450581,178,,4176643105,155,,4176486903,140,54.5,4176486901,56,Left,4176486909,213,5.9,4176486905,141,87.2,4176486907,212,11.5,,,,8tesu8352jvqfvclei8hykjbp,J. Jeanvier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531048059,4,1,1,0,10,6xjy1q2m55iiwe8g1r1yffbc9,0,40.5,14.7,2023-04-09T13:00:06.259Z,2023-04-10T05:32:52Z,4176487129,213,6.0,4176487121,56,Right,4176487127,212,22.3,4176487125,141,4.6,4178451311,178,,4176487123,140,60.7,,,,,,,d3d1qks236pztzcqp3wdcc0l,V. Marchetti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531048115,6,1,1,0,11,9bxav814mkuhueiyivyive82d,1,41.6,90.2,2023-04-09T13:00:08.127Z,2023-04-10T05:32:51Z,4176487401,212,8.1,4176487397,140,49.0,4178451601,178,,4176487399,141,87.0,4176487393,56,Back,4176487403,213,6.0,,,,,,,8tesu8352jvqfvclei8hykjbp,J. Jeanvier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
