id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,keyPass,qualifier/11/id,qualifier/11/qualifierId,qualifier/10/value,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,assist,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId
2533962541,1,34,16,0,0,3xedluek08t2ka7oypwuullcn,1,0,0,2023-04-15T18:11:25.202Z,2023-04-15T18:32:07Z,4192040633,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4192040627,130,17,4192041669,197,11899,4192040631,194,3h62hv3ksrnl7n7di2b080y51,4192040625,59,"30, 29, 3, 14, 4, 24, 26, 8, 11, 28, 20, 6, 7, 10, 13, 16, 18, 21, 23, 36",4192040621,30,"25cggz2egeqce47yijxadsslx, bt4yy465bb33u7phdhnlr6pcl, 1ad3itgiwcnyw3o9wplhah2hh, br7zigajqee6fms35zhm1sb8p, 4ezld812zytvbokz97jwycgkp, 4t4u4725escxjm2gwz5e7lpsl, 5jrt4as7f9xt1i1enj2dxx65m, 3h62hv3ksrnl7n7di2b080y51, 64ubq0xra74xaunooi8knyajt, c8u45gxriyq1rup5fpr30xrdh, d9q12xp4h8nhtjxl5il3vufh1, b4lc7czw7al6g7a7qzcqzya22, 7izciy79i6d6h7usfr8mcmh91, bzmxjsk1tr4p2n7hwakvfomei, d49iskrm33kt3vlxy4q85m0ru, 3ngai7brgwxmnx3c7dmmed5ud, eolso19u03zxw2pca2i95v4dl, qt2jl9zxkj4lxqzeydbb6hg5, d9pacjyllv546b9qe0arx2nvu, 4yxo8gwnou3m7jh6ph8lkuw44",4192040629,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4192040623,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533971501,1,34,16,0,0,2b3mar72yy8d6uvat1ka6tn3r,1,0,0,2023-04-15T18:22:13.291Z,2023-04-15T19:02:00Z,4192089797,130,12,4192089805,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4192089791,30,"4cetkl0w2uq40ccti5ka6a4t1, 1vr896w03yky9kmu8x5tjkicp, d3dv3vc71981v5oems59892sq, 5qg0coudjinnt978myh4n4n2t, 9adbv1dl7dp7vze3b9sarerbp, 8z0395s37qe2lqi9qsvyskgk5, dsmcqfl0e1be4ag7czbnolo15, cionsifzpx5rhc8es29wv6i95, 5e9ilgrz3tzg9kd1gk3yvrahh, c5ryhn04g9goikd0blmh83aol, f3v58fkymhrprt5gs0ccm29xx, 54w62kh31qyyu7tipmjlt95g5, ckjcm9q26zd6q8tkq0go6oxcl, atlhc604ri3rr4w012otutyj8, 2s2fzli5c7h9dfcertq2dwxec, 59zam5h3noyxf84k3jv1ofy1g, 34z1r2585ifo6zdcfuu6xumfo, 3vx94h32ahujciraspdayj9t6, 50kggsgofmeq6bos0kn5fyv2t",4192089801,194,8z0395s37qe2lqi9qsvyskgk5,4192089795,59,"99, 2, 25, 15, 4, 5, 28, 17, 7, 30, 8, 14, 16, 31, 33, 37, 35, 44, 90",4192089793,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5",4192089799,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",4192089803,197,15881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533996843,2,32,1,0,0,3xedluek08t2ka7oypwuullcn,1,0,0,2023-04-15T19:01:15.579Z,2023-04-15T19:01:17Z,4192234543,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533996823,2,32,1,0,0,2b3mar72yy8d6uvat1ka6tn3r,1,0,0,2023-04-15T19:01:15.579Z,2023-04-15T23:37:13Z,4192234463,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533996857,3,1,1,0,0,2b3mar72yy8d6uvat1ka6tn3r,1,50.2,49.7,2023-04-15T19:01:15.597Z,2023-04-15T23:48:00Z,4192234587,213,3.2,4192234585,212,14.2,4192234581,140,36.7,4192234579,56,Back,4192234589,279,S,4193084171,178,,4192234583,141,49.4,,,,c5ryhn04g9goikd0blmh83aol,L. Messi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533996879,4,1,1,0,1,2b3mar72yy8d6uvat1ka6tn3r,1,39.7,47.2,2023-04-15T19:01:17.418Z,2023-04-16T02:20:44Z,4192234715,212,14.1,4192234707,56,Back,4192234711,141,67.8,4192234717,213,1.7,4193084339,178,,4192234709,140,37.9,,,,,,,f3v58fkymhrprt5gs0ccm29xx,Fabián Ruiz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533996917,5,1,1,0,4,2b3mar72yy8d6uvat1ka6tn3r,1,39.5,66.3,2023-04-15T19:01:19.755Z,2023-04-16T02:20:43Z,4192234921,56,Back,4192234925,141,86.4,4193084693,178,,4192234923,140,31.8,4192234929,213,2.1,4192234927,212,15.9,,,,,,,cionsifzpx5rhc8es29wv6i95,Vitinha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533996955,6,1,1,0,7,2b3mar72yy8d6uvat1ka6tn3r,1,36.2,86.2,2023-04-15T19:01:23.161Z,2023-04-16T02:20:42Z,4192235113,212,34.2,4192235111,141,39.5,4192235107,56,Back,4192235115,213,4.3,4192235117,1,,4193084887,178,,4192235109,140,24.1,,,,5qg0coudjinnt978myh4n4n2t,Danilo Pereira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533996965,7,1,1,0,11,2b3mar72yy8d6uvat1ka6tn3r,1,28.1,36.8,2023-04-15T19:01:27.220Z,2023-04-16T02:20:41Z,4192235215,141,62.6,4192235211,56,Back,4193085005,178,,4192235213,140,24.3,4192235219,213,1.8,4192235217,212,18.0,,,,,,,8z0395s37qe2lqi9qsvyskgk5,Marquinhos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533996993,8,1,1,0,13,2b3mar72yy8d6uvat1ka6tn3r,1,27.3,56.3,2023-04-15T19:01:29.486Z,2023-04-16T02:20:41Z,4193085117,178,,4192235357,212,26.3,4192235359,213,1.5,4192235353,140,29.4,4192235355,141,94.8,4192235351,56,Back,,,,,,,9adbv1dl7dp7vze3b9sarerbp,Sergio Ramos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
