id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/9/value,keyPass,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/14/value,assist,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/17/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2442542229,1,34,16,0,0,4t4hod56fsj7utpjdor8so5q6,1,0,0,2022-08-06T14:25:02.544Z,2022-08-06T15:02:39Z,3687335225,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3687618795,197,649,3687335205,59,"16, 26, 14, 11, 6, 3, 27, 19, 36, 7, 77, 2, 10, 15, 21, 29, 30, 33, 34, 41",3687335223,194,3djmsd2atvq16ysmocq7twsfd,3687335219,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3687335189,30,"d3xdl3p9vd1c0m316oq2pblxx, 4rlw04tze791jwt623h5ikg5x, 9bqv99e39z86mn7dq3wnyt90p, 21x9ir9n7i6mt2qfuk4e891pl, 3djmsd2atvq16ysmocq7twsfd, 270djbc9lxhoupmd1djrii191, f5j3vhj805xtkos7l538u0d7t, b0wb7gf04synxlkq7o8gvzkoa, dkve6gf309h5tglwawqx8mlzp, ct32113pfx5q9avf2c0x208ru, 72m5u1rlgh6e229zpfvp7f5jp, adb8skc3qbvgunhzd9651lij8, a2s2c6anax9wnlsw1s6vunl5h, 28s6z18rcl9v8561yzu7m0voq, 8vhjmcgjbzpzd4vv3zb945p1w, 7mjc5a2k7wz4flem6upj5u1w4, 8xitc97j4scfajm8ucq7e5l91, rn17zrbsh1g9r1tj4xyvhgr8, cyz9jisw86vjjf85xxgbae0yy, d3pb7ybk0yv0hrjbr80vyx1xw",3687335213,130,8,3687335197,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442546829,1,34,16,0,0,71ajatxnuhc5cnm3xvgdky49w,1,0,0,2022-08-06T14:28:00.066Z,2022-08-06T15:02:42Z,3687360929,59,"1, 18, 11, 24, 22, 5, 14, 17, 10, 20, 25, 40, 3, 6, 9, 19, 23, 29, 32, 38",3687360937,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3687360931,130,18,3687360935,194,9ysk6656hj0na1hrizgt83k5x,3687360933,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3687360925,30,"2vgr8c97x4b2e51tyvvixusid, 9hz4s6zmelmg4ix47xbre3q3t, 9ysk6656hj0na1hrizgt83k5x, d5at3cowukpxiptq5ozcbe6s5, 7z1gixk4hvbbgo71xgb04942x, eo47h2ekymiisj3kry3og7tgp, 42vsnv2j6emkbynforgon4n2t, wg9qybhs3qeq9awhux331uqx, c8u45gxriyq1rup5fpr30xrdh, bndkgzdolm2c3iteenkv8s3it, am0pcyvtaws1i69jt09dgnsnp, 3zkkrq8sph1lo23bt8d1nz10, 17acodpsoxkhha2iem2465ivp, 88nw24pkg2ikj9c91tccvqol, 950o8rjqvnl5bnidq2dc3fglx, egtyl4noukbjkm1va1i11e87o, 4jal44qeyp9ur58768qre5uqd, 7bba28af7hqhh7ruo91x2mk9g, 1ho9nox6j8s5cxd1kxjspsrca, 8axjyioicdx8i2zkhcb79c9yi",3687360927,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3687618901,197,8123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442594217,2,32,1,0,0,4t4hod56fsj7utpjdor8so5q6,1,0,0,2022-08-06T15:00:05.805Z,2022-08-06T15:00:13Z,3687609977,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442594203,2,32,1,0,0,71ajatxnuhc5cnm3xvgdky49w,1,0,0,2022-08-06T15:00:05.805Z,2022-08-06T22:34:41Z,3687609901,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442594285,3,1,1,0,0,71ajatxnuhc5cnm3xvgdky49w,1,50,50,2022-08-06T15:00:05.876Z,2022-08-06T22:44:59Z,3687610287,56,Back,3687610293,212,19.8,3687610291,141,37.6,3687610295,213,3.6,3689517397,178,,3687610289,140,32.9,3687610297,279,S,,,,c8u45gxriyq1rup5fpr30xrdh,A. Thomasson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442594289,4,1,1,0,2,71ajatxnuhc5cnm3xvgdky49w,1,33.6,42,2022-08-06T15:00:08.256Z,2022-08-07T03:01:15Z,3687610327,1,,3687610315,157,,3689517537,178,,3687610325,213,0.4,3687610317,56,Center,3687610321,141,70.2,3687610323,212,45.7,3687610319,140,73.1,eo47h2ekymiisj3kry3og7tgp,L. Perrin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442594291,5,44,1,0,5,71ajatxnuhc5cnm3xvgdky49w,1,68,67.9,2022-08-06T15:00:11.016Z,2022-08-07T03:01:14Z,3687610335,286,,3687610333,56,Center,3687610389,233,3,,,,,,,,,,,,,,,,am0pcyvtaws1i69jt09dgnsnp,L. Ajorque,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442594303,3,44,1,0,5,4t4hod56fsj7utpjdor8so5q6,0,32,32.1,2022-08-06T15:00:11.017Z,2022-08-07T03:01:14Z,3687610387,285,,3687610393,233,5,3687610385,56,Back,,,,,,,,,,,,,,,,21x9ir9n7i6mt2qfuk4e891pl,Jean Lucas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442594295,6,1,1,0,5,71ajatxnuhc5cnm3xvgdky49w,0,68.1,66.4,2022-08-06T15:00:11.095Z,2022-08-07T03:01:14Z,3689517843,388,,3687610343,56,Left,3687610349,212,19.1,3687610351,213,0.6,3687610347,141,82.3,3687610339,3,,3687610341,168,,3687610345,140,83.1,am0pcyvtaws1i69jt09dgnsnp,L. Ajorque,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442594305,4,49,1,0,7,4t4hod56fsj7utpjdor8so5q6,1,20.7,20.9,2022-08-06T15:00:13.176Z,2022-08-07T03:01:13Z,,,,,,,,,,,,,,,,,,,,,,,,,4rlw04tze791jwt623h5ikg5x,R. Aguilar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442594315,5,1,1,0,8,4t4hod56fsj7utpjdor8so5q6,0,20.4,17.7,2022-08-06T15:00:14.096Z,2022-08-07T03:01:13Z,3687610437,56,Right,3687610435,157,,3687610443,212,33.5,3689518011,178,,3687610441,141,15.6,3687610445,213,6.2,3687610447,1,,3687610439,140,52.3,4rlw04tze791jwt623h5ikg5x,R. Aguilar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442594325,7,1,1,0,10,71ajatxnuhc5cnm3xvgdky49w,0,49.2,90.9,2022-08-06T15:00:16.106Z,2022-08-07T03:01:12Z,3687610513,140,60.7,3687610509,3,,3689518153,178,,3687610519,213,5.8,3687610517,212,13.9,3687610515,141,80.9,3687610511,56,Left,,,,d5at3cowukpxiptq5ozcbe6s5,A. Djiku,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442594355,6,1,1,0,12,4t4hod56fsj7utpjdor8so5q6,1,42.9,16.1,2022-08-06T15:00:18.566Z,2022-08-07T03:01:12Z,3687610659,56,Center,3687610667,213,0.2,3687610661,140,55.9,3687610665,212,14.1,3687610663,141,21.2,3689518301,178,,,,,,,,21x9ir9n7i6mt2qfuk4e891pl,Jean Lucas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
