id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,keyPass,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/15/value,assist,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/16/value,qualifier/17/value
2537921943,1,34,16,0,0,4aghw9tyi8ba3ju1ne83gmf9w,1,0,0,2023-04-23T12:05:55.313Z,2023-04-23T14:36:28Z,4213080843,59,"30, 3, 15, 13, 4, 2, 7, 17, 27, 5, 6, 14, 16, 19, 21, 23, 24, 26, 28, 29",4213080849,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4213080855,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4213362363,197,13254,4213080839,30,"3yk6n0wr6nc0dlm51gwvwi4t1, e9g52c7vl608rt5wuf9o46l79, 8yak0o9o7z5j5ribga3ui2cb9, ierx7puzqykloqwz9c5gsovd, 4c4ghf9zlkof83n5mnmva61d6, 2o5wwfsh5xhyatdfelh9dzqax, ulqazti394q5bbzc4pblidat, aa0888u38mjc1euhofseazb2t, 1lnktjxx0mux4beo28cl54j1m, 24n3hqbko2cyoxk4q84rzqvhl, anr9qh585ctgk2d17zperhgix, 59knsm910b1ruk024rkksla3u, 3je152n5s5fjtbrxs9v8dn1lh, b3xdln1shzyzwkhzdmbb2fqax, cphxr8p8dhc1qeqfgdt7is4ph, c44zop1hvob3cmgu2grj8m0yy, 98gymyp93rh6s57b50xq6fqax, 187ytd6guq9q9ruo3thez7ey2, 684cguhktvth28ql6qgvvmcyc, 4vprka7bsj2a4v2g7kz0b6k2c",4213080853,194,3yk6n0wr6nc0dlm51gwvwi4t1,4213080845,130,8,4213080841,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537929795,1,34,16,0,0,70nn27vgkt6l48lvv5e66q7ww,1,0,0,2023-04-23T12:12:04.188Z,2023-04-23T13:02:22Z,4213121431,194,3hiehiu25aufrc0q9890haqc5,4213121435,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4213121425,59,"38, 2, 12, 25, 3, 18, 21, 19, 9, 14, 80, 1, 7, 8, 11, 22, 24, 29, 34, 44",4213121427,130,17,4213121421,30,"6790uxmc1zs4emxtqf7vl6imt, 31ur1f7xmxndnnabhrxyov6xh, e32urdrdkp44zmnt6ptg0k12i, 538zux65h0l9028fpf4v1g0r9, 996i59930r3kd4xk48x9fsp2h, 38cotevgsirv0csora7bar3vu, e83sc1gnj31vgpo9u6fknmfvt, 3hiehiu25aufrc0q9890haqc5, 466ev7tumk8flx0gz9d0h15d6, 7c5uk1ts8jlu88p1x6wubuz8p, 44o5mjglkzqxctz07ust9bcru, 6oi4a3g56xe76g0gg38knmzmd, 2abpo4w3jcxp1wzp50yypxsrt, 7cty3nkd7c84e16537v6y1djp, 8vlfwoquq3v68mb9ax1pk5fkk, 2tc8y9du64tjno62zll2jhy7e, 322sju1vi12p0r9a8048hnmxh, 8n0560evn4ni29dw9xece45ey, 82vd1yj7qfu886hun5t9ee4mh, 1cyf4ify8xpgv0shxodyt2q6s",4213121429,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4213121423,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4213121433,197,641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537977205,2,32,1,0,0,4aghw9tyi8ba3ju1ne83gmf9w,1,0,0,2023-04-23T13:00:11.068Z,2023-04-23T13:00:16Z,4213367471,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537977185,2,32,1,0,0,70nn27vgkt6l48lvv5e66q7ww,1,0,0,2023-04-23T13:00:11.068Z,2023-04-23T21:17:17Z,4213367345,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537977247,3,1,1,0,0,4aghw9tyi8ba3ju1ne83gmf9w,1,49.9,50.4,2023-04-23T13:00:11.113Z,2023-04-24T00:57:20Z,4213367727,279,S,4213367725,213,3.2,4213367721,141,47.5,4213367719,140,30.0,4213367723,212,21.0,4216334093,178,,4213367717,56,Back,,,,anr9qh585ctgk2d17zperhgix,Z. Aboukhlal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537977331,4,1,1,0,5,4aghw9tyi8ba3ju1ne83gmf9w,1,32.2,46.4,2023-04-23T13:00:16.356Z,2023-04-24T06:18:49Z,4213368199,1,,4213368193,141,24.9,4213368187,155,,4213368189,56,Center,4213368197,213,5.9,4213368195,212,43.4,4216334487,178,,4213368191,140,71.1,2o5wwfsh5xhyatdfelh9dzqax,R. Nicolaisen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537977337,5,44,1,0,7,4aghw9tyi8ba3ju1ne83gmf9w,1,71.1,24.3,2023-04-23T13:00:18.557Z,2023-04-24T06:18:48Z,4213368223,56,Center,4213368409,233,3,4213368225,286,,,,,,,,,,,,,,,,,1lnktjxx0mux4beo28cl54j1m,T. Dallinga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537977351,3,44,1,0,7,70nn27vgkt6l48lvv5e66q7ww,0,28.9,75.7,2023-04-23T13:00:18.558Z,2023-04-24T06:18:48Z,4213368317,56,Back,4213368321,285,,4213368469,233,5,,,,,,,,,,,,,,,,3hiehiu25aufrc0q9890haqc5,L. Abergel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537977391,6,1,1,0,7,4aghw9tyi8ba3ju1ne83gmf9w,1,71.7,23.7,2023-04-23T13:00:18.584Z,2023-04-24T06:18:47Z,4216334935,388,,4213368509,56,Center,4213368513,141,28.4,4213368511,140,64.7,4213368517,213,2.7,4213368515,212,8.0,4214954805,156,,4213368507,3,,1lnktjxx0mux4beo28cl54j1m,T. Dallinga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537977429,7,1,1,0,8,4aghw9tyi8ba3ju1ne83gmf9w,1,64.1,27.8,2023-04-23T13:00:19.986Z,2023-04-24T06:18:47Z,4213368723,212,15.0,4216335149,178,,4213368715,155,,4213368717,56,Right,4213368725,213,5.2,4213368719,140,70.2,4213368721,141,7.8,,,,ierx7puzqykloqwz9c5gsovd,V. Sierro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
