id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,keyPass,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/13/value,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/15/value,assist,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/18/value
2512752397,1,34,16,0,0,17o35s8assv3kamxowzz77k4r,1,0,0,2023-02-26T13:15:14.761Z,2023-02-26T13:57:48Z,4058977091,197,8270,4058796387,30,"c6u4h9wy88ymj6whiz93jknv9, bt2pm0it9f1o216uxo3abfpbd, 237j1qagaotsy5j9wo3xqfgtl, 5rd9832gct7uy0acodmor8b11, 1u990wv0bo82xqv2s0e8m8ic5, 6p7umqi0pvhgsjxool9yrcx78, aflbpdgjm6huba3f9t848d4o9, bzr6a9okokrgaskvsbl03xmtx, 757jd3kvmh2izb7q7k8if209h, 4elohf5kyq6i1jmywfuzhh2ol, c8vsa9o761rsdy9l8xbtj3etx, 1jdd1cmzaqalgkkl9vj4dcy51, 3xbgtth9h7ywlkpdzy8rwkbth, 9bicv1fmrgltfrr726qrgio0k, 7hn66gfq3xw08afo501l9x5as, 822pzsxxhxdofvitaabixgzu2, a0rtzwzmnn4wj58rdrj95rvft, 8s5u921me5pvsfyvysjgpu2qy, akz04kph7qmvbpk3auntlfowl, 16yp4b9n9a7dq2bld6qyt3oyc",4058796397,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4058796395,130,17,4058796393,59,"99, 11, 3, 21, 4, 15, 7, 12, 95, 10, 18, 2, 9, 13, 22, 31, 40, 70, 91, 97",4058796389,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4058796399,194,5rd9832gct7uy0acodmor8b11,4058796401,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512753589,1,34,16,0,0,71ajatxnuhc5cnm3xvgdky49w,1,0,0,2023-02-26T13:16:49.778Z,2023-02-26T14:01:20Z,4058802545,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5",4058802547,59,"1, 32, 77, 23, 24, 29, 8, 11, 20, 9, 27, 2, 5, 12, 14, 18, 35, 38, 40",4058802555,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4058802553,194,9ysk6656hj0na1hrizgt83k5x,4058987091,197,17196,4058802551,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",4058802549,130,12,4058802543,30,"2vgr8c97x4b2e51tyvvixusid, 7atxpldexe9adg8ft1wbjndud, 1hlvnmu8we38d44sdexhhxcyd, 4jal44qeyp9ur58768qre5uqd, d5at3cowukpxiptq5ozcbe6s5, 7bba28af7hqhh7ruo91x2mk9g, d394go61g90f1u6bddu1narit, 9ysk6656hj0na1hrizgt83k5x, bndkgzdolm2c3iteenkv8s3it, 950o8rjqvnl5bnidq2dc3fglx, cb6w7n7n1eh9huwzyzvgmdxih, 1y5p476l4ihjndiyvfsmcg82x, eo47h2ekymiisj3kry3og7tgp, f0busiccqoe2jg69st02ngfe1, 42vsnv2j6emkbynforgon4n2t, 53nd6a4o02ebb0w2s12prijje, bzyckons6yiek0xm2xtt0bf9w, 8axjyioicdx8i2zkhcb79c9yi, 3zkkrq8sph1lo23bt8d1nz10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512790571,2,32,1,0,0,17o35s8assv3kamxowzz77k4r,1,0,0,2023-02-26T13:59:59.962Z,2023-02-26T22:49:00Z,4058984713,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512790589,2,32,1,0,0,71ajatxnuhc5cnm3xvgdky49w,1,0,0,2023-02-26T13:59:59.962Z,2023-02-26T14:00:03Z,4058984791,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512790605,3,1,1,0,0,17o35s8assv3kamxowzz77k4r,1,49.6,50.2,2023-02-26T14:00:00.008Z,2023-02-27T03:29:50Z,4058984841,213,2.6,4058984843,279,S,4058984839,212,19.1,4058984833,56,Back,4061223409,178,,4058984837,141,65.5,4058984835,140,34.4,,,,757jd3kvmh2izb7q7k8if209h,G. Kyei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512790619,4,1,1,0,2,17o35s8assv3kamxowzz77k4r,1,33.8,54.3,2023-02-26T14:00:02.352Z,2023-02-27T06:56:34Z,4058984907,212,23.6,4058984905,141,87.4,4058984901,56,Back,4058984903,140,27.2,4058984909,213,1.9,4061223471,178,,,,,,,,bzr6a9okokrgaskvsbl03xmtx,M. Gonalons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512790661,5,1,1,0,4,17o35s8assv3kamxowzz77k4r,1,31.2,81.4,2023-02-26T14:00:04.131Z,2023-02-27T06:56:34Z,4058985099,212,29.7,4061223517,178,,4058985093,56,Back,4058985097,141,69.7,4058985095,140,3.9,4058985101,213,3.4,,,,,,,5rd9832gct7uy0acodmor8b11,F. Ogier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512790715,6,1,1,0,7,17o35s8assv3kamxowzz77k4r,1,5.5,68.5,2023-02-26T14:00:07.086Z,2023-02-27T06:56:33Z,4061223569,178,,4058985265,141,94.6,4058985267,212,23.1,4058985261,56,Back,4058985263,140,19.6,4058985269,213,0.9,,,,,,,c6u4h9wy88ymj6whiz93jknv9,M. Diaw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512790765,7,1,1,0,11,17o35s8assv3kamxowzz77k4r,0,26.5,90.4,2023-02-26T14:00:10.975Z,2023-02-27T06:56:32Z,4061223621,178,,4058985505,1,,4058985497,140,67.6,4058985495,56,Left,4058985493,155,,4058985503,213,0.0,4058985501,212,43.2,4058985499,141,91.0,5rd9832gct7uy0acodmor8b11,F. Ogier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2513072355,846,8,1,0,13,71ajatxnuhc5cnm3xvgdky49w,1,34.9,13,2023-02-26T14:00:13.004Z,2023-02-27T06:56:32Z,4060477167,383,,4060477057,15,,4061223675,388,,4060476995,56,Back,,,,,,,,,,,,,7bba28af7hqhh7ruo91x2mk9g,I. Doukouré,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
