id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/8/value,qualifier/10/value,keyPass,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/11/value,qualifier/13/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,assist,qualifier/14/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/16/value
2537923169,1,34,16,0,0,750ustvk4jfqmo8q4gnrcxy7z,1,0,0,2023-04-23T12:06:51.610Z,2023-04-23T12:55:46Z,4213087315,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5",4213087319,59,"1, 28, 29, 17, 21, 4, 10, 8, 99, 31, 27, 7, 11, 14, 24, 25, 26, 30, 38",4213163701,194,f0e5posm9z0oma2t3u9k1qy95,4213087323,130,2,4213087329,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",4213087313,30,"f0e5posm9z0oma2t3u9k1qy95, bf2yxiyhdyipaxxxobt9i1gq1, 4a7x84pflda40oka94y36gwk, oc04nz0mrmzeqpcbql3rbhlh, 3g217lvxyrxlzsyp0rmlvglp1, 53yrdwlr1pw23bxyxfg85npat, 9yfnfwqog4y572aoe2iztnbv9, cg1j982govx2perwr3rv33t1x, e3kdoxu1kwn2w3wwi1rqhvr9x, d3y4csfpvhzcowlusw9xe32eh, 6tedvat245ajkir9c4035i0np, 7k0r5crdh9blj3edt31zwy0dm, 9dzyrffyz77zqmptudhdrh8lx, adswn2xpomwsi7zh022787mne, bxb5trtzllty8eqteifyw4zit, 1n0y675l767w55pipq5lgj1zp, dzh403ofb9zatvornq0svb0gk, 2h7a11gp7bb34j8oa4tv3aaxh, 5i6p36ywmaoj1i26fl54th5d6",4213087331,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4213351901,197,654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537925645,1,34,16,0,0,3unkqo2g6ag99gd5ynz1j7vse,1,0,0,2023-04-23T12:08:52.874Z,2023-04-23T13:02:42Z,4213099983,30,"8xdrtww8r5jbxuxtall0wh591, dj2f6zk2cd8u9lt6odoei9cdl, 577j49ffrxuurraco9chy388a, 7etm5qf3sonimtxllrw5xwkid, 2smai2vq1r9xnemihvcq0doet, ckcjk3zjpix288d6zihltlst0, 3h3g7sne1jjevj0mwyliehm95, c8mp2wwwyvy930vfjnivg2hre, bj37ny1s1gbbe4wrgyz1wag9h, 9bkzl4dx3mci3w86rjpfkwowk, 7ef73s1ryz38blmo3n9p9c82x, 1bs4vwqye00mn2oaxrvfkkt7t, 87gvtfqgn555sywr78abximsp, 900q6uo21i95co96snohqofyt, 1jbm4rhckr1gmwld08ey819m, eznhm6o1jymvzaucjlngbaad, 57sdn53awg8fzbygrwchg6u7e, 6y6kws3zsdtqgq6iufkearevo, 2ri663cf9ev3wiyuk73e83zf8, 1qyw4qcnn9uv1ody9lnvz0avo",4213099993,194,2smai2vq1r9xnemihvcq0doet,4213099989,130,17,4213099985,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4213349317,197,15911,4213099995,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4213099991,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4213099987,59,"30, 19, 39, 4, 23, 22, 6, 8, 7, 29, 14, 1, 2, 9, 15, 17, 26, 28, 33, 36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537977225,2,32,1,0,0,750ustvk4jfqmo8q4gnrcxy7z,1,0,0,2023-04-23T13:00:12.413Z,2023-04-23T22:22:46Z,4213367569,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537977217,2,32,1,0,0,3unkqo2g6ag99gd5ynz1j7vse,1,0,0,2023-04-23T13:00:12.413Z,2023-04-23T13:00:12Z,4213367543,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537977357,3,1,1,0,0,3unkqo2g6ag99gd5ynz1j7vse,1,50.2,49.6,2023-04-23T13:00:12.470Z,2023-04-24T01:33:06Z,4213368339,212,15.2,4216412265,178,,4213368347,279,S,4213368337,141,58.4,4213368331,56,Back,4213368333,140,36.9,4213368343,213,2.7,,,,bj37ny1s1gbbe4wrgyz1wag9h,Mama Baldé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537977363,4,1,1,0,2,3unkqo2g6ag99gd5ynz1j7vse,1,39,57.2,2023-04-23T13:00:14.955Z,2023-04-24T06:21:24Z,4213368379,213,4.4,4213368375,212,23.2,4213368373,141,24.4,4213368367,56,Back,4213368369,140,32.9,4216412463,178,,,,,,,,c8mp2wwwyvy930vfjnivg2hre,L. Agoumé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537977373,5,1,1,0,4,3unkqo2g6ag99gd5ynz1j7vse,1,33.3,24.8,2023-04-23T13:00:17.295Z,2023-04-24T06:21:23Z,4216413281,178,,4213368423,212,10.1,4213368417,56,Back,4213368419,140,42.9,4213368421,141,25.4,4213368425,213,0.0,,,,,,,ckcjk3zjpix288d6zihltlst0,T. Zoukrou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537977377,6,61,1,0,5,3unkqo2g6ag99gd5ynz1j7vse,1,47,23.4,2023-04-23T13:00:17.981Z,2023-04-24T06:21:23Z,4213368433,56,Back,4216413637,178,,,,,,,,,,,,,,,,,,,,9bkzl4dx3mci3w86rjpfkwowk,W. Odobert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537980443,18,1,1,0,6,3unkqo2g6ag99gd5ynz1j7vse,0,40.5,31.6,2023-04-23T13:00:19.384Z,2023-04-24T06:21:23Z,4215181051,236,,4215828385,233,3,4213384057,140,36.6,4213384055,56,Back,4213384059,141,35.3,4213384063,213,2.6,4215181053,286,,4213384061,212,4.8,3h3g7sne1jjevj0mwyliehm95,R. Kouamé,4216414071,178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537977401,3,74,1,0,6,750ustvk4jfqmo8q4gnrcxy7z,1,59.4,64.6,2023-04-23T13:00:19.405Z,2023-04-24T06:21:22Z,4216414181,178,,4213368577,56,Center,4215180913,285,,4215828411,233,18,,,,,,,,,,,,,e3kdoxu1kwn2w3wwi1rqhvr9x,A. Delort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
