id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,keyPass,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/9/value,qualifier/10/value,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/15/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/21/id,qualifier/21/qualifierId,qualifier/21/value,assist
2534494947,1,34,16,0,0,71ajatxnuhc5cnm3xvgdky49w,1,0,0,2023-04-16T12:17:30.997Z,2023-04-16T13:00:33Z,4194884593,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4194884581,30,"2vgr8c97x4b2e51tyvvixusid, 7atxpldexe9adg8ft1wbjndud, 1hlvnmu8we38d44sdexhhxcyd, 7bba28af7hqhh7ruo91x2mk9g, d5at3cowukpxiptq5ozcbe6s5, eo47h2ekymiisj3kry3og7tgp, wg9qybhs3qeq9awhux331uqx, 88nw24pkg2ikj9c91tccvqol, 950o8rjqvnl5bnidq2dc3fglx, f0busiccqoe2jg69st02ngfe1, d394go61g90f1u6bddu1narit, 1y5p476l4ihjndiyvfsmcg82x, 17acodpsoxkhha2iem2465ivp, 42vsnv2j6emkbynforgon4n2t, 53nd6a4o02ebb0w2s12prijje, egtyl4noukbjkm1va1i11e87o, 4jal44qeyp9ur58768qre5uqd, cb6w7n7n1eh9huwzyzvgmdxih, 1k1zsipuhr1o3hv17j4uiz5uy, 3zkkrq8sph1lo23bt8d1nz10",4194884591,194,d5at3cowukpxiptq5ozcbe6s5,4195065075,197,8123,4194884583,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4194884587,130,10,4194884589,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4194884585,59,"1, 32, 77, 29, 24, 5, 17, 6, 9, 12, 8, 2, 3, 14, 18, 19, 23, 27, 34, 40",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534500301,1,34,16,0,0,6xjy1q2m55iiwe8g1r1yffbc9,1,0,0,2023-04-16T12:22:52.588Z,2023-04-16T13:10:38Z,4194912643,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4194912637,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4194912639,59,"1, 3, 99, 23, 25, 21, 14, 6, 7, 4, 27, 5, 8, 9, 17, 29, 30, 33, 35, 77",4194912635,30,"3xpo0nc3hysdi41gupi7adot1, 1e77it93nx78uu157mmksd71l, 3qcyotm0vljybir8poi67stsl, 84ikqi9s3lng1mo4lxwq210wl, 70ukveu4kwheeizg6x694krmx, 67q7ve9vse4m2nb82j2z1clhx, 9higgl848a37qflh0sts05tjp, bm1utly0qt2kaexijsu2p2tw5, 2fa3vmp34mwrthdiehnaxnnqh, 529k1s89fjg133s8ycjwvgg5x, bi49lcldxz8jubp72kgeke2y2, 1lbgavu1rxlrfg14062suwyj9, d3d1qks236pztzcqp3wdcc0l, da81277761mvu8idmy1ekqdw5, d040o5igq61iizexn1v2a5t5h, 1xawzpx3vp3b7wqx6w5avdb6x, 9bkmr1gybyw8iuliqkxew3e5m, ce6z3bhvhmoplnisz3a1bcf10, 1uj41i55v9fd3j9eaw5b5a7mc, crdmczlhynym2z1adqlbt853p",4194912641,130,8,4195066633,197,624,4194912647,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4194912645,194,bm1utly0qt2kaexijsu2p2tw5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534534181,2,32,1,0,0,71ajatxnuhc5cnm3xvgdky49w,1,0,0,2023-04-16T13:00:03.676Z,2023-04-16T18:24:41Z,4195082521,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534534189,2,32,1,0,0,6xjy1q2m55iiwe8g1r1yffbc9,1,0,0,2023-04-16T13:00:03.676Z,2023-04-16T13:00:04Z,4195082545,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534534235,3,1,1,0,0,6xjy1q2m55iiwe8g1r1yffbc9,1,50.2,50.1,2023-04-16T13:00:03.711Z,2023-04-16T22:28:11Z,4195082739,279,S,4195082737,213,3.7,4195082735,212,8.6,4195082733,141,43.9,4197315063,178,,4195082731,140,43.1,4195082729,56,Back,,,,2fa3vmp34mwrthdiehnaxnnqh,M. El Idrissy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534534247,4,1,1,0,2,6xjy1q2m55iiwe8g1r1yffbc9,0,44,52.3,2023-04-16T13:00:05.686Z,2023-04-17T04:38:32Z,4197315083,178,,4195082803,155,,4195082807,140,78.1,4195082809,141,89.1,4195082805,56,Left,4195082811,212,43.7,4195082813,213,0.6,4195082815,1,,bm1utly0qt2kaexijsu2p2tw5,M. Coutadeur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534534291,3,1,1,0,4,71ajatxnuhc5cnm3xvgdky49w,1,25.7,14.1,2023-04-16T13:00:08.284Z,2023-04-17T04:38:31Z,4195083031,56,Back,4197315207,178,,4195083029,3,,4195083035,141,6.2,4195083039,212,11.3,4195083033,140,35.2,4195083041,213,5.8,,,,7atxpldexe9adg8ft1wbjndud,F. Guilbert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534534301,4,49,1,0,6,71ajatxnuhc5cnm3xvgdky49w,1,35.4,11.6,2023-04-16T13:00:09.949Z,2023-04-17T04:38:31Z,,,,,,,,,,,,,,,,,,,,,,,,,wg9qybhs3qeq9awhux331uqx,J. Bellegarde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534534305,5,3,1,0,7,71ajatxnuhc5cnm3xvgdky49w,0,37.8,5.5,2023-04-16T13:00:10.909Z,2023-04-17T04:38:30Z,4195083129,56,Back,4195083131,286,,4195083205,233,5,4196030557,465,,4197315411,178,,,,,,,,,,,wg9qybhs3qeq9awhux331uqx,J. Bellegarde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534534319,5,7,1,0,7,6xjy1q2m55iiwe8g1r1yffbc9,1,62.2,94.5,2023-04-16T13:00:11.056Z,2023-04-17T04:38:30Z,4195083173,167,,4195083177,285,,4195083175,56,Left,4197315499,178,,4196030709,385,,4195083199,233,5,,,,,,,84ikqi9s3lng1mo4lxwq210wl,T. Mangani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
