id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/8/value,qualifier/9/value,qualifier/11/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,assist,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/18/value
2502235855,1,34,16,0,0,2b3mar72yy8d6uvat1ka6tn3r,1,0,0,2023-01-29T18:53:29.824Z,2023-01-29T20:01:18Z,4003395097,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4003395083,30,"4cetkl0w2uq40ccti5ka6a4t1, 1vr896w03yky9kmu8x5tjkicp, 54w62kh31qyyu7tipmjlt95g5, f3v58fkymhrprt5gs0ccm29xx, 8z0395s37qe2lqi9qsvyskgk5, 9adbv1dl7dp7vze3b9sarerbp, dsmcqfl0e1be4ag7czbnolo15, cionsifzpx5rhc8es29wv6i95, 5e9ilgrz3tzg9kd1gk3yvrahh, c5ryhn04g9goikd0blmh83aol, 779rrkp47akkd5usq53begatx, 9sme7jykdv8msgfu0nxx6h39x, 7fmhqt5geme4yv9cfnsp5lec5, 5qg0coudjinnt978myh4n4n2t, 2ub88jcc3vku6mrnt5fb3oyqd, ausceoo438aoxbb6gl8tpes16, atlhc604ri3rr4w012otutyj8, 2s2fzli5c7h9dfcertq2dwxec, 34z1r2585ifo6zdcfuu6xumfo, 3vx94h32ahujciraspdayj9t6",4003395095,197,18133,4003395091,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4003395089,130,8,4003395085,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4003395087,59,"99, 2, 14, 8, 5, 4, 28, 17, 7, 30, 10, 1, 6, 15, 18, 29, 31, 33, 35, 44",4003395093,194,8z0395s37qe2lqi9qsvyskgk5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502237895,1,34,16,0,0,3c3jcs7vc1t6vz5lev162jyv7,1,0,0,2023-01-29T19:00:30.741Z,2023-01-29T20:30:39Z,4003406759,130,5,4003406761,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4003406757,59,"94, 32, 25, 21, 24, 5, 39, 8, 29, 15, 70, 3, 4, 6, 10, 17, 18, 19, 30, 99",4003406765,197,662,4003406755,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4003406767,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4003406763,194,976riwm0dz0e74d4l28y3ttcl,4003406753,30,"89sv092huj2obzdazmft854a1, 3sc349yey596xp2j6xlyt0frp, e1gq9zfwrm446r2tzmeiw6jmx, 96wcx761pzv5ub4sfwsynp51x, 36h87ecgmpjdltk1epsbvmiju, 976riwm0dz0e74d4l28y3ttcl, cmrdm4nnd62inlvsnc52vkicp, 2lvit204llltk13iglsa2tjah, edti8t30h7ukwi3wqlzaczje1, 8qmm84tue6kuz8e5nhhdhmz8p, ccu7hw3wrcspl1a18g2ldnsh5, 8gkexxgf3pypshhqwg6ibp7o4, afymbx9eo87zau8mo99pakbu, 9p5jc07qnxrzpcmnh1cp6b3l5, agwvouyocx93y39g7tmwaojx1, fvd7y3f6948713acbas7w3u2, dlybxu0l5r7yi8i11myd7ldgq, 7ty1wdxxnusgkl34k5raipbl5, 1ccqekgbdyx9g90vaodi7qw9h, 513jimgihzk9w1kuad57jrnxl",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502249705,2,32,1,0,0,2b3mar72yy8d6uvat1ka6tn3r,1,0,0,2023-01-29T19:45:34.266Z,2023-01-30T02:04:53Z,4003478111,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502249709,2,32,1,0,0,3c3jcs7vc1t6vz5lev162jyv7,1,0,0,2023-01-29T19:45:34.266Z,2023-01-29T19:45:36Z,4003478127,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502249721,3,1,1,0,0,2b3mar72yy8d6uvat1ka6tn3r,1,49.8,49.6,2023-01-29T19:45:34.317Z,2023-01-30T02:13:36Z,4003960801,178,,4003478209,213,3.5,4003478201,56,Back,4003478205,141,44.3,4003478207,212,11.6,4003478203,140,39.3,4003478211,279,S,,,,5e9ilgrz3tzg9kd1gk3yvrahh,K. Mbappé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502249727,4,1,1,0,1,2b3mar72yy8d6uvat1ka6tn3r,1,40.6,45.2,2023-01-29T19:45:36.193Z,2023-01-30T04:53:04Z,4003961105,178,,4003478243,212,18.3,4003478245,213,4.2,4003478235,140,32.5,4003478239,141,21.4,4003478231,56,Back,,,,,,,cionsifzpx5rhc8es29wv6i95,Vitinha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502249741,5,1,1,0,4,2b3mar72yy8d6uvat1ka6tn3r,1,34.9,14.5,2023-01-29T19:45:38.725Z,2023-01-30T04:53:03Z,4003961133,178,,4003478319,140,26.7,4003478323,212,18.1,4003478317,56,Back,4003478321,141,37.9,4003478325,213,2.1,,,,,,,1vr896w03yky9kmu8x5tjkicp,A. Hakimi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502249753,6,1,1,0,7,2b3mar72yy8d6uvat1ka6tn3r,1,26.5,42.4,2023-01-29T19:45:41.309Z,2023-01-30T04:53:02Z,4003478409,56,Back,4003478413,141,61.4,4003961161,178,,4003478417,213,1.8,4003478415,212,13.1,4003478411,140,24.2,,,,,,,8z0395s37qe2lqi9qsvyskgk5,Marquinhos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502249761,7,1,1,0,9,2b3mar72yy8d6uvat1ka6tn3r,1,21.3,61.2,2023-01-29T19:45:43.816Z,2023-01-30T04:53:02Z,4003961213,178,,4003478485,1,,4003478481,212,39.9,4003478473,155,,4003478477,140,30.4,4003478475,56,Back,4003478479,141,4.3,4003478483,213,5.0,9adbv1dl7dp7vze3b9sarerbp,Sergio Ramos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502249765,8,3,1,0,12,2b3mar72yy8d6uvat1ka6tn3r,0,30.6,6,2023-01-29T19:45:47.224Z,2023-01-30T04:53:00Z,4003764417,465,,4003478607,233,3,4003478513,285,,4003961265,178,,4003478511,56,Back,,,,,,,,,,1vr896w03yky9kmu8x5tjkicp,A. Hakimi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
