id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,keyPass,qualifier/9/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/12/value,qualifier/13/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/14/value,qualifier/15/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,assist
2527772775,1,34,16,0,0,2b3mar72yy8d6uvat1ka6tn3r,1,0,0,2023-04-02T18:05:59.596Z,2023-04-02T18:52:45Z,4159106765,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5",4159106767,59,"99, 2, 25, 31, 5, 15, 17, 18, 7, 30, 6, 8, 14, 16, 29, 33, 35, 44, 90",4159106763,30,"4cetkl0w2uq40ccti5ka6a4t1, 1vr896w03yky9kmu8x5tjkicp, d3dv3vc71981v5oems59892sq, atlhc604ri3rr4w012otutyj8, 8z0395s37qe2lqi9qsvyskgk5, 5qg0coudjinnt978myh4n4n2t, cionsifzpx5rhc8es29wv6i95, 2ub88jcc3vku6mrnt5fb3oyqd, 5e9ilgrz3tzg9kd1gk3yvrahh, c5ryhn04g9goikd0blmh83aol, 7fmhqt5geme4yv9cfnsp5lec5, f3v58fkymhrprt5gs0ccm29xx, 54w62kh31qyyu7tipmjlt95g5, ckjcm9q26zd6q8tkq0go6oxcl, ausceoo438aoxbb6gl8tpes16, 2s2fzli5c7h9dfcertq2dwxec, 34z1r2585ifo6zdcfuu6xumfo, 3vx94h32ahujciraspdayj9t6, 50kggsgofmeq6bos0kn5fyv2t",4159235309,197,15881,4159106771,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",4159106773,194,8z0395s37qe2lqi9qsvyskgk5,4159106775,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4159106769,130,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527773381,1,34,16,0,0,121le8unjfzug3iu9pgkqa1c7,1,0,0,2023-04-02T18:07:00.695Z,2023-04-02T18:54:06Z,4159109841,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4159225351,197,643,4159109829,59,"1, 20, 3, 4, 5, 2, 24, 23, 18, 10, 7, 47, 6, 8, 9, 12, 17, 26, 35, 88",4159110735,194,f4cykd65su8xbme6xdc1iw7o5,4159109837,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4159109833,130,18,4159109827,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4159109825,30,"d3mss0i879krqrk1owzmj2c45, al6dgtinz0ki8uj8wrvc7fg2c, 40hu79d2a4k94nc52z7dblpsl, aaaskdins76bd0368sbpt7wq2, z2richg7upw6hth0dzrvm02d, e9mtpmkb4qj2gqyv966g9ulpm, 6ovea0xzg9yflmlbjdf1xcmlm, 3vu0c0j8n99wz6e2f7fmd2pxx, 1ehcji0j9s8b0qsj8v5zinjvu, f4cykd65su8xbme6xdc1iw7o5, amvonu36at4dg7ksi1ioczi3u, 6mgtj1dfv6e2ydfflye59wrxm, 79dz7zni5fcgh5e70spoj2j8p, 412hlm2edd05jd1ad597brcvd, d9zax4y92d85x7j63kg7ckvkl, 8rcole4a6y4fkamv87q3hqk0l, aftis8f2ahy7dhk5bp8co4q1h, a71n80h977h7fu99ftnri5zsa, 7to9ns7mkuji0ciwh1ufkq3md, d68byfvk16giaur32gqwpwded",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527797343,2,32,1,0,0,2b3mar72yy8d6uvat1ka6tn3r,1,0,0,2023-04-02T18:55:06.805Z,2023-04-03T00:09:18Z,4159241745,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527797351,2,32,1,0,0,121le8unjfzug3iu9pgkqa1c7,1,0,0,2023-04-02T18:55:06.805Z,2023-04-02T18:55:09Z,4159241787,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527797367,3,1,1,0,0,2b3mar72yy8d6uvat1ka6tn3r,1,49.9,50,2023-04-02T18:55:06.870Z,2023-04-03T00:17:55Z,4159968403,178,,4159241871,213,3.3,4159241869,212,7.7,4159241873,279,S,4159241867,141,48.7,4159241863,56,Back,4159241865,140,42.6,,,,5e9ilgrz3tzg9kd1gk3yvrahh,K. Mbappé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527797377,4,1,1,0,2,2b3mar72yy8d6uvat1ka6tn3r,1,41.6,45.4,2023-04-02T18:55:08.946Z,2023-04-03T02:45:58Z,4159241929,141,5.3,4159968585,178,,4159241935,213,4.7,4159241925,140,40.4,4159241923,56,Back,4159241933,212,27.3,,,,,,,7fmhqt5geme4yv9cfnsp5lec5,M. Verratti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527797391,5,1,1,0,5,2b3mar72yy8d6uvat1ka6tn3r,1,41.6,6.1,2023-04-02T18:55:12.248Z,2023-04-03T02:45:58Z,4159241995,56,Back,4159241997,140,31.0,4159968633,178,,4159241999,141,18.8,4159242003,213,2.5,4159242001,212,14.1,,,,,,,1vr896w03yky9kmu8x5tjkicp,A. Hakimi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527797423,6,1,1,0,7,2b3mar72yy8d6uvat1ka6tn3r,1,34,22.7,2023-04-02T18:55:14.662Z,2023-04-03T02:45:57Z,4159242129,141,47.8,4159242131,212,17.3,4159242133,213,1.7,4159968717,178,,4159242127,140,31.2,4159242125,56,Back,,,,,,,5qg0coudjinnt978myh4n4n2t,Danilo Pereira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527797435,7,1,1,0,12,2b3mar72yy8d6uvat1ka6tn3r,1,39.9,57.9,2023-04-02T18:55:18.957Z,2023-04-03T02:45:56Z,4159242181,56,Back,4159242189,213,0.6,4159968807,178,,4159242187,212,9.3,4159242183,140,47.3,4159242185,141,65.4,,,,,,,8z0395s37qe2lqi9qsvyskgk5,Marquinhos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527797445,8,1,1,0,13,2b3mar72yy8d6uvat1ka6tn3r,1,47.6,62.9,2023-04-02T18:55:19.882Z,2023-04-03T02:45:55Z,4159242229,56,Back,4159242247,156,,4159242231,140,31.1,4159968863,178,,4159242233,141,64.7,4159242237,213,3.1,4159242235,212,17.4,,,,2ub88jcc3vku6mrnt5fb3oyqd,Renato Sanches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
