id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/9/value,qualifier/11/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/10/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,assist,qualifier/12/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/16/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId
2506958853,1,34,16,0,0,3c3jcs7vc1t6vz5lev162jyv7,1,0,0,2023-02-12T13:09:19.212Z,2023-02-12T13:58:16Z,4028183341,59,"94, 32, 25, 21, 24, 5, 39, 15, 29, 11, 70, 3, 4, 8, 9, 10, 17, 43, 49, 96",4028183337,30,"89sv092huj2obzdazmft854a1, 3sc349yey596xp2j6xlyt0frp, e1gq9zfwrm446r2tzmeiw6jmx, 96wcx761pzv5ub4sfwsynp51x, 36h87ecgmpjdltk1epsbvmiju, 976riwm0dz0e74d4l28y3ttcl, cmrdm4nnd62inlvsnc52vkicp, 8qmm84tue6kuz8e5nhhdhmz8p, edti8t30h7ukwi3wqlzaczje1, 18b0ti0bsq68842kgbczsbgmh, ccu7hw3wrcspl1a18g2ldnsh5, 8gkexxgf3pypshhqwg6ibp7o4, afymbx9eo87zau8mo99pakbu, 2lvit204llltk13iglsa2tjah, 5ghvrbmlh0tqos9iohj8f7zzd, agwvouyocx93y39g7tmwaojx1, fvd7y3f6948713acbas7w3u2, 8zo4abj7d3ut3cry9tcsoglw, 6thbb2kineeyc4n6djxywl5as, 4scfsr0qvjnh8jxrdnld9b0lx",4028183345,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4028183347,194,976riwm0dz0e74d4l28y3ttcl,4028183339,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4028183349,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4028183343,130,8,4028368151,197,662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506962625,1,34,16,0,0,3unkqo2g6ag99gd5ynz1j7vse,1,0,0,2023-02-12T13:12:56.662Z,2023-02-12T13:12:56Z,4028200357,30,"8xdrtww8r5jbxuxtall0wh591, 4hns4p7a45kno60qqzlniycmi, 577j49ffrxuurraco9chy388a, eznhm6o1jymvzaucjlngbaad, 7etm5qf3sonimtxllrw5xwkid, 87gvtfqgn555sywr78abximsp, 7ef73s1ryz38blmo3n9p9c82x, 9nhlgi0k783bq8a2704bu6n6d, demp53kye0ium76t240vo8cet, bj37ny1s1gbbe4wrgyz1wag9h, c8mp2wwwyvy930vfjnivg2hre, 1bs4vwqye00mn2oaxrvfkkt7t, 3h3g7sne1jjevj0mwyliehm95, 900q6uo21i95co96snohqofyt, a7rdypucykxo0a9xmcuqzabpx, ckcjk3zjpix288d6zihltlst0, e0cuitfnnziyrdtuu9j1u2kgk, 9bkzl4dx3mci3w86rjpfkwowk, 1iawtsm8hqaczx4awpv9byz9w, 4flkjaqzm2oqc51xn8sstjg9g",4028200363,59,"30, 18, 39, 17, 4, 2, 14, 24, 11, 7, 8, 1, 6, 9, 20, 22, 25, 29, 31, 32",4028200371,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4028200375,194,eznhm6o1jymvzaucjlngbaad,4028200377,197,15910,4028200367,130,12,4028200359,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4028200381,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506999459,2,32,1,0,0,3unkqo2g6ag99gd5ynz1j7vse,1,0,0,2023-02-12T14:00:15.102Z,2023-02-12T14:00:15Z,4028373705,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506999469,2,32,1,0,0,3c3jcs7vc1t6vz5lev162jyv7,1,0,0,2023-02-12T14:00:15.102Z,2023-02-12T19:17:39Z,4028373745,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506999505,3,1,1,0,0,3unkqo2g6ag99gd5ynz1j7vse,1,49.8,50.1,2023-02-12T14:00:15.142Z,2023-02-12T19:21:25Z,4028373859,56,Back,4028373867,213,2.5,4028373861,140,29.4,4029626179,178,,4028373865,212,26.3,4028373869,279,S,4028373863,141,72.5,,,,7ef73s1ryz38blmo3n9p9c82x,J. Reine-Adélaïde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506999525,4,1,1,0,3,3unkqo2g6ag99gd5ynz1j7vse,0,31.3,58.3,2023-02-12T14:00:18.156Z,2023-02-13T03:42:53Z,4028373971,213,5.7,4028373963,56,Right,4028373969,212,47.4,4028373967,141,17.8,4028374081,1,,4028373965,140,68.0,4029626409,178,,4028373961,155,,eznhm6o1jymvzaucjlngbaad,Y. Salmier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506999715,3,1,1,0,6,3c3jcs7vc1t6vz5lev162jyv7,1,33.7,81,2023-02-12T14:00:21.197Z,2023-02-13T03:42:53Z,4029626671,388,,4028374847,56,Center,4028374851,141,75.2,4028374855,213,6.1,4028374845,3,,4028374849,140,57.9,4028374853,212,25.7,,,,e1gq9zfwrm446r2tzmeiw6jmx,T. De Smet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506999719,4,50,1,0,7,3c3jcs7vc1t6vz5lev162jyv7,1,53.6,76.5,2023-02-12T14:00:22.755Z,2023-02-13T03:42:52Z,4028374863,286,,4028376387,233,5,4028374861,56,Center,,,,,,,,,,,,,,,,edti8t30h7ukwi3wqlzaczje1,F. Balogun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506999587,5,7,1,0,7,3unkqo2g6ag99gd5ynz1j7vse,1,46.4,23.5,2023-02-12T14:00:22.819Z,2023-02-13T03:42:52Z,4028374275,285,,4028374273,56,Back,4029627151,178,,4028376371,233,4,4029246949,384,,,,,,,,,,,87gvtfqgn555sywr78abximsp,J. Porozo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507029981,233,49,1,0,9,3unkqo2g6ag99gd5ynz1j7vse,1,49.8,22.2,2023-02-12T14:00:24.197Z,2023-02-13T03:42:51Z,,,,,,,,,,,,,,,,,,,,,,,,,c8mp2wwwyvy930vfjnivg2hre,L. Agoumé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
