id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/8/value,qualifier/10/value,qualifier/9/value,qualifier/14/value,keyPass,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/15/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/16/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,assist
2445576899,1,34,16,0,0,2b3mar72yy8d6uvat1ka6tn3r,1,0,0,2022-08-13T18:16:36.320Z,2022-08-13T20:04:50Z,3703703217,197,15881,3703501455,59,"99, 2, 25, 3, 5, 4, 6, 17, 30, 7, 10, 1, 8, 14, 15, 18, 19, 22, 26, 44",3703501453,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3703501461,194,8z0395s37qe2lqi9qsvyskgk5,3703501451,30,"4cetkl0w2uq40ccti5ka6a4t1, 1vr896w03yky9kmu8x5tjkicp, d3dv3vc71981v5oems59892sq, 1qywnx1icmb4x7dbhhsck0vrp, 8z0395s37qe2lqi9qsvyskgk5, 9adbv1dl7dp7vze3b9sarerbp, 7fmhqt5geme4yv9cfnsp5lec5, cionsifzpx5rhc8es29wv6i95, c5ryhn04g9goikd0blmh83aol, 5e9ilgrz3tzg9kd1gk3yvrahh, 779rrkp47akkd5usq53begatx, 9sme7jykdv8msgfu0nxx6h39x, apdtqouzo9b02ozdxk8mx4zbp, 54w62kh31qyyu7tipmjlt95g5, 5qg0coudjinnt978myh4n4n2t, 2ub88jcc3vku6mrnt5fb3oyqd, 4pyehox7p3z64c4l3k8yoyfv9, dyigvzjpa74cw4urhh7fwzs2d, cfg0ocm0b2icpagbtnzkrihn9, 3vx94h32ahujciraspdayj9t6",3703501459,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3703501457,130,18,3703501463,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2445579921,1,34,16,0,0,2cjpmotqo8phcqfpgo9xf4gel,1,0,0,2022-08-13T18:19:45.428Z,2022-08-13T19:07:24Z,3703518035,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3703518033,130,7,3703518031,59,"1, 29, 17, 13, 77, 31, 27, 12, 99, 11, 21, 2, 7, 9, 14, 16, 18, 22, 28, 75",3703518039,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3703518037,194,8yirlj1hpoqnuczpywgzlblxx,3703518023,30,"3z6ekzop4y7cjuatzz9ua74k5, 1k6t5y26ufw2e6gh33tni45ey, b92hwrzx6l5wdf3z9g7dxo4bt, 7za8h1pgec0y2s1ihmkkfvpm2, 859tcp8023r5cki7uju30l9t5, azcv772qzdbz1exafx3od6lt5, 5w9g9gfeucuccwxd09o62f84p, 7teasnynvwarky180hl6zvkk5, d8m8y59eum57eu7kiat38rkk5, 8yirlj1hpoqnuczpywgzlblxx, 16idj1wxzcbvuaov5duvpqhyi, 8cawa8470beg2ce0as7hv5psl, 6ir1z8c3o7t4kqx04kw24i415, 1yj1kt2cx24nn4zt5h1ma1olx, 3izhfm7i4afomephw07mp4nsa, 7t9ixlae5t9v8moc6brwcec4p, 230qvyk9dg4plwzobjj6thmqy, cr1n1i96xlepbvk90nl87o4yc, yeqnier6uxsc3hcegcuethxw, f2wjw84p0ztxt636u2ibnoxxx",3703707453,197,16245,3703518027,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2445616589,2,32,1,0,0,2cjpmotqo8phcqfpgo9xf4gel,1,0,0,2022-08-13T19:00:15.655Z,2022-08-13T19:00:15Z,3703718769,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2445616649,2,32,1,0,0,2b3mar72yy8d6uvat1ka6tn3r,1,0,0,2022-08-13T19:00:15.655Z,2022-08-13T23:38:56Z,3703719097,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2445616637,3,1,1,0,0,2cjpmotqo8phcqfpgo9xf4gel,1,49.6,50.1,2022-08-13T19:00:15.670Z,2022-08-13T23:59:06Z,3703719039,213,2.5,3703719031,141,57.6,3703719049,278,,3703719035,212,8.0,3703719043,279,S,3703719027,140,43.7,3704701981,178,,3703719025,56,Back,d8m8y59eum57eu7kiat38rkk5,W. Khazri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2445616665,4,1,1,0,2,2cjpmotqo8phcqfpgo9xf4gel,1,47.6,48,2022-08-13T19:00:18.606Z,2022-08-14T03:58:04Z,3704702241,178,,3703719163,213,4.5,3703719159,141,27.7,3703719157,140,44.1,3703719161,212,14.3,3703719155,56,Back,,,,,,,8yirlj1hpoqnuczpywgzlblxx,T. Savanier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2445616689,5,1,1,0,5,2cjpmotqo8phcqfpgo9xf4gel,1,45.2,25.5,2022-08-13T19:00:21.191Z,2022-08-14T03:58:03Z,3704702721,178,,3703719295,140,26.5,3703719305,213,2.9,3703719291,56,Back,3703719299,141,31.8,3703719301,212,20.1,,,,,,,7teasnynvwarky180hl6zvkk5,J. Ferri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2445616727,6,1,1,0,8,2cjpmotqo8phcqfpgo9xf4gel,1,30,32,2022-08-13T19:00:23.842Z,2022-08-14T03:58:02Z,3703719507,212,27.8,3703719501,56,Back,3703719509,213,1.8,3703719505,141,72.0,3703719503,140,24.4,3704703127,178,,,,,,,,859tcp8023r5cki7uju30l9t5,F. Sacko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2445616759,7,1,1,0,12,2cjpmotqo8phcqfpgo9xf4gel,1,32.7,70.1,2022-08-13T19:00:27.799Z,2022-08-14T03:58:01Z,3703719751,212,17.1,3704703237,178,,3703719753,213,4.3,3703719747,140,26.2,3703719749,141,47.0,3703719745,56,Back,,,,,,,azcv772qzdbz1exafx3od6lt5,N. Cozza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2445616795,8,1,1,0,17,2cjpmotqo8phcqfpgo9xf4gel,1,32.5,41.6,2022-08-13T19:00:33.088Z,2022-08-14T03:57:59Z,3703719899,56,Back,3703719905,212,24.8,3703719903,141,75.6,3703719907,213,1.9,3704703607,178,,3703719901,140,23.9,,,,,,,859tcp8023r5cki7uju30l9t5,F. Sacko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
