id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/11/value,keyPass,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/12/value,qualifier/14/value,qualifier/15/value,qualifier/17/value
2479415567,1,34,16,0,0,3adj8hkws0z1al232bg2h6tk0,1,0,0,2022-10-30T13:13:49.675Z,2022-10-30T14:05:07Z,3883360427,59,"1, 99, 2, 8, 5, 3, 10, 45, 13, 29, 9, 4, 7, 14, 18, 22, 23, 30, 11, 97",3883360423,30,"1ixibe50te4j2gjhbufm72aui, 3r04y1fejoh9e8qbge3exy3u1, bl4lretp33t0jj3icujkf45p1, 5lfki1zoxd4l96hjbr2rw3d2h, 7xd54eb65lg7zldvnyd58bq39, 7mn6lue4zatldcxp0gd7kt8mh, 32bc16sg6h58ajxigp7nl1ryt, 36yupk7p1vks4dbguw53xhucp, 9jiectkc8rk0ivxn80l87ic45, 3ynh418z6f6bfjz674vs40f6x, e0hk5aepnpo7cne006zwahfx1, c4yip4bf8il4gnxnhcb381b3e, dom1dzrvk7y4sd8puf8iztn11, 8b40ap862z6ynvmgah0vjces5, 7z8bpxyfd31hb5ehkaina1ap6, 3imcuejzt9r6zvvv1xbn5jbl6, 3zyw4328iilwrttjoww1wctlh, btm657ozudwbxx16twjs0vp49, e6se9kft2lf9hs92rof2pnn6c, 7nlijkywjl13h3ks132026iok",3883360431,130,8,3883360439,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3883360435,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3883558485,197,4735,3883360425,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3883360437,194,7xd54eb65lg7zldvnyd58bq39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479418957,1,34,16,0,0,3c3jcs7vc1t6vz5lev162jyv7,1,0,0,2022-10-30T13:17:15.028Z,2022-10-30T13:57:48Z,3883377701,30,"89sv092huj2obzdazmft854a1, ccu7hw3wrcspl1a18g2ldnsh5, 2ds26ub6ho0baamsjcmh7mmfo, fvd7y3f6948713acbas7w3u2, 9p5jc07qnxrzpcmnh1cp6b3l5, 976riwm0dz0e74d4l28y3ttcl, cmrdm4nnd62inlvsnc52vkicp, 96wcx761pzv5ub4sfwsynp51x, edti8t30h7ukwi3wqlzaczje1, 8gkexxgf3pypshhqwg6ibp7o4, agwvouyocx93y39g7tmwaojx1, bapdoe78rj82j550otb5zemwa, 4ilnnpfgjfz35lni9ppzd93v9, 2lvit204llltk13iglsa2tjah, 3jqxaa2l6gqwxl2mr8w0yiiy2, dlybxu0l5r7yi8i11myd7ldgq, 7ty1wdxxnusgkl34k5raipbl5, e1gq9zfwrm446r2tzmeiw6jmx, 41gpjj5od0ww4rnopzgp1oetw, 8zo4abj7d3ut3cry9tcsoglw",3883377709,59,"94, 70, 28, 17, 6, 5, 39, 21, 29, 3, 10, 7, 1, 8, 11, 18, 19, 25, 41, 43",3883562441,197,16322,3883377713,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3883377717,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3883377705,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3883377711,130,8,3883377715,194,976riwm0dz0e74d4l28y3ttcl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479456073,2,32,1,0,0,3c3jcs7vc1t6vz5lev162jyv7,1,0,0,2022-10-30T14:00:04.157Z,2022-10-30T14:00:04Z,3883570351,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479456077,2,32,1,0,0,3adj8hkws0z1al232bg2h6tk0,1,0,0,2022-10-30T14:00:04.157Z,2022-10-30T20:51:29Z,3883570371,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479456127,3,1,1,0,0,3c3jcs7vc1t6vz5lev162jyv7,1,50,50,2022-10-30T14:00:04.196Z,2022-10-31T01:25:14Z,3883570595,212,5.0,3883570591,140,47.8,3883570599,279,S,3883570597,213,2.0,3883570593,141,56.6,3883570589,56,Back,3885860401,178,,,,,edti8t30h7ukwi3wqlzaczje1,F. Balogun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479456137,4,1,1,0,2,3c3jcs7vc1t6vz5lev162jyv7,1,47.3,52.8,2022-10-30T14:00:06.284Z,2022-10-31T07:16:15Z,3885860703,178,,3883570639,212,26.0,3883570641,213,4.3,3883570635,140,37.6,3883570633,56,Back,3883570637,141,17.7,,,,,,,agwvouyocx93y39g7tmwaojx1,A. Zeneli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479456185,5,1,1,0,4,3c3jcs7vc1t6vz5lev162jyv7,1,38,13.3,2022-10-30T14:00:08.619Z,2022-10-31T07:16:15Z,3883570823,212,20.9,3883570817,56,Back,3883570825,213,2.4,3883570821,141,33.5,3883570819,140,23.0,3885860903,178,,,,,,,,ccu7hw3wrcspl1a18g2ldnsh5,A. Flips,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479456213,6,1,1,0,6,3c3jcs7vc1t6vz5lev162jyv7,1,24.5,34,2022-10-30T14:00:11.028Z,2022-10-31T07:16:14Z,3883570959,140,22.8,3885860967,178,,3883570963,212,22.4,3883570961,141,66.9,3883570965,213,1.7,3883570957,56,Back,,,,,,,9p5jc07qnxrzpcmnh1cp6b3l5,A. Gravillon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479456285,7,1,1,0,9,3c3jcs7vc1t6vz5lev162jyv7,1,22,63.8,2022-10-30T14:00:13.777Z,2022-10-31T07:16:13Z,3885861007,178,,3883571287,56,Back,3883571291,141,94.8,3883571295,213,1.1,3883571293,212,23.1,3883571289,140,31.0,,,,,,,976riwm0dz0e74d4l28y3ttcl,Y. Abdelhamid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479456331,8,1,1,0,14,3c3jcs7vc1t6vz5lev162jyv7,0,31.6,94.7,2022-10-30T14:00:18.610Z,2022-10-31T07:16:12Z,3883571555,141,48.9,3883571549,155,,3883571559,213,5.3,3885861179,178,,3883571551,56,Center,3883571553,140,53.4,3883571557,212,38.7,3883571561,1,,2ds26ub6ho0baamsjcmh7mmfo,B. Locko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
