id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/10/value,qualifier/12/value,qualifier/13/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/16/value,assist
2445305999,1,34,16,0,0,4t4hod56fsj7utpjdor8so5q6,1,0,0,2022-08-13T14:15:15.156Z,2022-08-13T19:14:20Z,3702067527,30,"d3xdl3p9vd1c0m316oq2pblxx, adb8skc3qbvgunhzd9651lij8, 1o7se1aziz6fpes5hey7yijft, 21x9ir9n7i6mt2qfuk4e891pl, 3djmsd2atvq16ysmocq7twsfd, 270djbc9lxhoupmd1djrii191, f5j3vhj805xtkos7l538u0d7t, b0wb7gf04synxlkq7o8gvzkoa, a2s2c6anax9wnlsw1s6vunl5h, dkve6gf309h5tglwawqx8mlzp, 28x7i681wkjueanvkevew3bh1, 2axi9gr1lhuewlt06emrk44q1, 5g5wwp5luxo1rz1kp6chvz0x6, ct32113pfx5q9avf2c0x208ru, 9bqv99e39z86mn7dq3wnyt90p, 28s6z18rcl9v8561yzu7m0voq, csvqjyuk06gzvjm408513nydx, 8xitc97j4scfajm8ucq7e5l91, 2xmc0gsdslrnsu6ua40kbh32t, d3pb7ybk0yv0hrjbr80vyx1xw, 72m5u1rlgh6e229zpfvp7f5jp",3702067551,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3702067533,130,2,3702067541,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3702436393,197,649,3702067529,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3702067531,59,"16, 2, 12, 11, 6, 3, 27, 19, 10, 36, 17, 23, 5, 7, 14, 15, 18, 30, 31, 41, 77",3702067547,194,a2s2c6anax9wnlsw1s6vunl5h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2445311443,1,34,16,0,0,z1wbqtd0fz5t5eezjvrbld3h,1,0,0,2022-08-13T14:17:56.471Z,2022-08-13T15:11:55Z,3702097319,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3702097309,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3702097313,130,4,3702097307,30,"cym4wbw14zw1jh4jsp3sbyk0l, xrh2szvp5808no7zm1et2zf9, 92qqdiryqd8juqdjq8585476y, 9br2z5cf6stmnidehwo5a8afp, otan631zzfnq2sektkl3ywo9, 8qlz4omhgfnzyb2cgeou7xn56, 3hd9nxdb54zn4fhbf7qa7x0q1, crn7i9243dnczl74jti8i5pzp, 7fcq014jmdb0uqldcts6tglat, draibw1vui84ciizu30az81jp, 9b7iei751ersl6ny0o0k8gn3d, dw9fzixumboknmucqgqffurmy, rlgrvvibryod2g92hqc97ii2, 448wxnlqhqqf2hcecwut90n6y, 85gmjxvy1g5aj1lcizegwuaui, 1py4bk2ik16w8lil31bghq99m, 49vfeofafswzu1f6rekqjbjhm, 446lrhzh79xugyt2pgnrwypnu, dzv5f93w5fsnfzohaev6e3rx0, 3o70kdbjt6w1aw7rkq3a4fecq",3702097317,194,xrh2szvp5808no7zm1et2zf9,3702097315,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3702527541,197,16506,3702097311,59,"30, 27, 3, 8, 2, 5, 21, 20, 24, 14, 7, 19, 4, 10, 11, 28, 6, 31, 33, 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2445377121,2,32,1,0,0,z1wbqtd0fz5t5eezjvrbld3h,1,0,0,2022-08-13T15:00:29.257Z,2022-08-13T15:00:29Z,3702442741,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2445377131,2,32,1,0,0,4t4hod56fsj7utpjdor8so5q6,1,0,0,2022-08-13T15:00:29.257Z,2022-08-13T20:31:43Z,3702442759,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2445377173,3,1,1,0,0,z1wbqtd0fz5t5eezjvrbld3h,1,49.9,50.6,2022-08-13T15:00:29.350Z,2022-08-13T20:38:02Z,3702442949,213,3.2,3702442943,140,41.3,3702442947,212,9.0,3702442951,279,S,3702442945,141,50.0,3702442941,56,Back,3704192683,178,,,,,7fcq014jmdb0uqldcts6tglat,G. Laborde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2445377175,4,1,1,0,1,z1wbqtd0fz5t5eezjvrbld3h,1,41.6,49.5,2022-08-13T15:00:30.972Z,2022-08-14T00:15:51Z,3702442963,140,38.2,3702442965,141,34.7,3704193347,178,,3702442971,213,4.4,3702442961,56,Back,3702442967,212,10.7,,,,,,,9br2z5cf6stmnidehwo5a8afp,B. Santamaría,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2445377183,5,1,1,0,3,z1wbqtd0fz5t5eezjvrbld3h,1,40.3,29.6,2022-08-13T15:00:33.209Z,2022-08-14T00:15:50Z,3702443009,141,9.7,3702443013,213,4.3,3702443001,56,Back,3702443011,212,14.6,3704193901,178,,3702443005,140,35.2,,,,,,,3hd9nxdb54zn4fhbf7qa7x0q1,L. Majer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2445377201,6,1,1,0,5,z1wbqtd0fz5t5eezjvrbld3h,1,36,9.2,2022-08-13T15:00:34.709Z,2022-08-14T00:15:50Z,3702443107,213,2.5,3702443095,56,Back,3702443103,141,25.9,3704194207,178,,3702443105,212,18.1,3702443099,140,22.6,,,,,,,xrh2szvp5808no7zm1et2zf9,H. Traoré,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2445377219,7,1,1,0,8,z1wbqtd0fz5t5eezjvrbld3h,1,20.9,26.1,2022-08-13T15:00:37.933Z,2022-08-14T00:15:49Z,3704194523,178,,3702443215,141,68.9,3702443211,56,Back,3702443213,140,15.8,3702443219,213,1.8,3702443217,212,29.6,,,,,,,otan631zzfnq2sektkl3ywo9,J. Rodon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2445377251,8,1,1,0,11,z1wbqtd0fz5t5eezjvrbld3h,1,16.4,64.1,2022-08-13T15:00:40.904Z,2022-08-14T00:15:48Z,3702443373,212,19.4,3704194887,178,,3702443367,56,Back,3702443375,213,4.7,3702443371,141,35.6,3702443369,140,16.0,,,,,,,8qlz4omhgfnzyb2cgeou7xn56,A. Theate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2445377261,9,1,1,0,14,z1wbqtd0fz5t5eezjvrbld3h,1,16.3,30.2,2022-08-13T15:00:43.962Z,2022-08-14T00:15:47Z,3702443417,213,5.0,3704195367,178,,3702443409,56,Back,3702443413,141,0.8,3702443411,140,21.4,3702443415,212,20.7,,,,,,,otan631zzfnq2sektkl3ywo9,J. Rodon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2445377271,10,1,1,0,16,z1wbqtd0fz5t5eezjvrbld3h,1,21.5,2.1,2022-08-13T15:00:46.080Z,2022-08-14T00:15:46Z,3704195689,178,,3702443475,212,16.2,3702443473,141,16.3,3702443471,140,9.1,3702443477,213,2.5,3702443469,56,Back,,,,,,,xrh2szvp5808no7zm1et2zf9,H. Traoré,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2445377303,11,1,1,0,18,z1wbqtd0fz5t5eezjvrbld3h,0,10.2,18,2022-08-13T15:00:47.792Z,2022-08-14T00:15:46Z,3702443635,141,32.9,3702443631,56,Back,3702443633,140,35.2,3704196107,178,,3702443639,213,0.4,3702443637,212,28.1,,,,,,,otan631zzfnq2sektkl3ywo9,J. Rodon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
