id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/10/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/8/value,keyPass,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/11/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/14/value,qualifier/16/value,qualifier/13/value,qualifier/15/value,assist
2494438431,1,34,16,0,0,4t4hod56fsj7utpjdor8so5q6,1,0,0,2023-01-01T13:08:17.874Z,2023-01-01T13:13:22Z,3962446717,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3962446727,197,649,3962446725,194,3djmsd2atvq16ysmocq7twsfd,3962446715,30,"d3xdl3p9vd1c0m316oq2pblxx, adb8skc3qbvgunhzd9651lij8, 1o7se1aziz6fpes5hey7yijft, b0wb7gf04synxlkq7o8gvzkoa, 3djmsd2atvq16ysmocq7twsfd, 270djbc9lxhoupmd1djrii191, f5j3vhj805xtkos7l538u0d7t, 2rio84cmao72sc7lnsodwzzhm, dkve6gf309h5tglwawqx8mlzp, rn17zrbsh1g9r1tj4xyvhgr8, 28x7i681wkjueanvkevew3bh1, f4pqxviuwzd6a803jfx9bh4o9, a2s2c6anax9wnlsw1s6vunl5h, 9bqv99e39z86mn7dq3wnyt90p, 28s6z18rcl9v8561yzu7m0voq, csvqjyuk06gzvjm408513nydx, 2axi9gr1lhuewlt06emrk44q1, 4rlw04tze791jwt623h5ikg5x, 8xitc97j4scfajm8ucq7e5l91, 72m5u1rlgh6e229zpfvp7f5jp",3962446723,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3962446721,130,2,3962446719,59,"16, 2, 12, 19, 6, 3, 27, 4, 36, 44, 17, 9, 10, 14, 15, 18, 23, 26, 30, 77",3962446729,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494438523,1,34,16,0,0,3adj8hkws0z1al232bg2h6tk0,1,0,0,2023-01-01T13:11:28.467Z,2023-01-01T14:03:45Z,3962447231,130,4,3962447233,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3962447225,30,"7h2icfuwy00ilm14dw5xyl5g5, 3r04y1fejoh9e8qbge3exy3u1, 6oaqk4pdojnlefa3zubsysmvp, dl4e5ojyhccj6w0vgksfzvmxh, 7xd54eb65lg7zldvnyd58bq39, 3zyw4328iilwrttjoww1wctlh, 36yupk7p1vks4dbguw53xhucp, 5lfki1zoxd4l96hjbr2rw3d2h, 9jiectkc8rk0ivxn80l87ic45, 32bc16sg6h58ajxigp7nl1ryt, e0hk5aepnpo7cne006zwahfx1, 1ixibe50te4j2gjhbufm72aui, bl4lretp33t0jj3icujkf45p1, 7mn6lue4zatldcxp0gd7kt8mh, dom1dzrvk7y4sd8puf8iztn11, 5yg9ljo5pf1lo2xk74d0k240l, 7z8bpxyfd31hb5ehkaina1ap6, 3imcuejzt9r6zvvv1xbn5jbl6, 3ynh418z6f6bfjz674vs40f6x, 7nlijkywjl13h3ks132026iok",3962447227,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3962457443,197,17125,3962447229,59,"40, 99, 21, 20, 5, 23, 45, 8, 13, 10, 9, 1, 2, 3, 7, 15, 18, 22, 29, 97",3962447237,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3962447235,194,7xd54eb65lg7zldvnyd58bq39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494440487,2,32,1,0,0,3adj8hkws0z1al232bg2h6tk0,1,0,0,2023-01-01T14:00:46.846Z,2023-01-01T14:00:48Z,3962457993,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494440485,2,32,1,0,0,4t4hod56fsj7utpjdor8so5q6,1,0,0,2023-01-01T14:00:46.846Z,2023-01-01T19:15:18Z,3962457991,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494440503,3,1,1,0,0,3adj8hkws0z1al232bg2h6tk0,1,50,50,2023-01-01T14:00:46.863Z,2023-01-01T19:28:04Z,3962980347,178,,3962458067,56,Back,3962458071,141,57.9,3962458073,212,21.0,3962458077,279,S,3962458075,213,2.9,3962458069,140,30.7,,,,36yupk7p1vks4dbguw53xhucp,M. Camara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494440521,4,1,1,0,3,3adj8hkws0z1al232bg2h6tk0,0,31.5,53.9,2023-01-01T14:00:50.119Z,2023-01-02T00:34:52Z,3962458163,56,Left,3962458161,155,,3962980397,178,,3962458169,212,45.4,3962458171,213,0.6,3962458167,141,93.5,3962458165,140,66.3,3962458173,1,,7xd54eb65lg7zldvnyd58bq39,B. Chardonnet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494440527,3,1,1,0,6,4t4hod56fsj7utpjdor8so5q6,0,28.7,9.3,2023-01-01T14:00:53.400Z,2023-01-02T00:34:52Z,3962458199,140,48.2,3962458205,213,6.3,3962458201,141,9.0,3962458195,3,,3962458197,56,Back,3962458203,212,20.5,3962980407,388,,,,,f5j3vhj805xtkos7l538u0d7t,K. Diatta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494440545,5,1,1,0,8,3adj8hkws0z1al232bg2h6tk0,0,61.9,77.9,2023-01-01T14:00:55.103Z,2023-01-02T00:34:51Z,3962458299,141,86.1,3962980417,178,,3962458303,213,2.3,3962458301,212,7.4,3962458297,140,57.2,3962458295,56,Left,,,,,,,dl4e5ojyhccj6w0vgksfzvmxh,P. Lees-Melou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494440549,4,49,1,0,9,4t4hod56fsj7utpjdor8so5q6,1,35.1,8.5,2023-01-01T14:00:56.354Z,2023-01-02T00:34:51Z,,,,,,,,,,,,,,,,,,,,,,,,,f5j3vhj805xtkos7l538u0d7t,K. Diatta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494440569,5,1,1,0,9,4t4hod56fsj7utpjdor8so5q6,0,35.4,9.1,2023-01-01T14:00:56.424Z,2023-01-02T00:34:50Z,3962458399,155,,3962458405,141,24.5,3962458407,212,29.8,3962980505,178,,3962458409,213,0.4,3962458403,140,62.0,3962458401,56,Center,,,,f5j3vhj805xtkos7l538u0d7t,K. Diatta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
