id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/8/value,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,keyPass,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/13/value,qualifier/12/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/15/value,qualifier/16/value,assist,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/17/value
2519251393,1,34,16,0,0,4t4hod56fsj7utpjdor8so5q6,1,0,0,2023-03-12T15:16:14.926Z,2023-03-12T16:58:39Z,4093162139,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4093162145,194,a2s2c6anax9wnlsw1s6vunl5h,4093162127,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4093162135,130,2,4093162149,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4093162123,30,"d3xdl3p9vd1c0m316oq2pblxx, 4rlw04tze791jwt623h5ikg5x, 1o7se1aziz6fpes5hey7yijft, b0wb7gf04synxlkq7o8gvzkoa, 3djmsd2atvq16ysmocq7twsfd, 2axi9gr1lhuewlt06emrk44q1, f5j3vhj805xtkos7l538u0d7t, 28s6z18rcl9v8561yzu7m0voq, a2s2c6anax9wnlsw1s6vunl5h, 8vhjmcgjbzpzd4vv3zb945p1w, 28x7i681wkjueanvkevew3bh1, adb8skc3qbvgunhzd9651lij8, 270djbc9lxhoupmd1djrii191, f4pqxviuwzd6a803jfx9bh4o9, 9bqv99e39z86mn7dq3wnyt90p, csvqjyuk06gzvjm408513nydx, 8xitc97j4scfajm8ucq7e5l91, 3sby91ws28mb3yt82a9al75sk, dkve6gf309h5tglwawqx8mlzp, d3pb7ybk0yv0hrjbr80vyx1xw",4093162131,59,"16, 26, 12, 19, 6, 23, 27, 15, 10, 21, 17, 2, 3, 9, 14, 18, 30, 42, 36, 41",4093445373,197,649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519263543,1,34,16,0,0,3c3jcs7vc1t6vz5lev162jyv7,1,0,0,2023-03-12T15:25:33.872Z,2023-03-12T16:01:17Z,4093227579,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4093227569,30,"89sv092huj2obzdazmft854a1, 3sc349yey596xp2j6xlyt0frp, e1gq9zfwrm446r2tzmeiw6jmx, fvd7y3f6948713acbas7w3u2, 8zo4abj7d3ut3cry9tcsoglw, 976riwm0dz0e74d4l28y3ttcl, cmrdm4nnd62inlvsnc52vkicp, 96wcx761pzv5ub4sfwsynp51x, edti8t30h7ukwi3wqlzaczje1, 8qmm84tue6kuz8e5nhhdhmz8p, ccu7hw3wrcspl1a18g2ldnsh5, 8gkexxgf3pypshhqwg6ibp7o4, afymbx9eo87zau8mo99pakbu, 2lvit204llltk13iglsa2tjah, 5ghvrbmlh0tqos9iohj8f7zzd, agwvouyocx93y39g7tmwaojx1, 7ty1wdxxnusgkl34k5raipbl5, dbfyqig1hbzbbzsdbtzyzg7pw, 6thbb2kineeyc4n6djxywl5as, 4scfsr0qvjnh8jxrdnld9b0lx",4093264651,194,976riwm0dz0e74d4l28y3ttcl,4093227571,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4093227577,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4093227575,130,8,4093447079,197,16322,4093227573,59,"94, 32, 25, 17, 43, 5, 39, 21, 29, 15, 70, 3, 4, 8, 9, 10, 19, 45, 49, 96",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519308251,2,32,1,0,0,4t4hod56fsj7utpjdor8so5q6,1,0,0,2023-03-12T16:05:31.690Z,2023-03-12T21:27:04Z,4093465479,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519308267,2,32,1,0,0,3c3jcs7vc1t6vz5lev162jyv7,1,0,0,2023-03-12T16:05:31.690Z,2023-03-12T16:05:32Z,4093465551,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519308291,3,1,1,0,0,4t4hod56fsj7utpjdor8so5q6,1,50,50,2023-03-12T16:05:31.718Z,2023-03-12T21:44:30Z,4093465643,140,34.7,4093465645,141,61.9,4093465641,56,Back,4093465653,279,S,4093465647,212,18.0,4094826063,178,,4093465649,213,2.7,,,,a2s2c6anax9wnlsw1s6vunl5h,W. Ben Yedder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519308385,4,1,1,0,4,4t4hod56fsj7utpjdor8so5q6,1,37.6,65.6,2023-03-12T16:05:35.991Z,2023-03-13T02:07:02Z,4094826173,178,,4093466169,56,Back,4093466177,213,2.1,4093466173,141,87.1,4093466175,212,16.9,4093466171,140,29.5,,,,,,,8vhjmcgjbzpzd4vv3zb945p1w,M. Akliouche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519308411,5,1,1,0,6,4t4hod56fsj7utpjdor8so5q6,1,32.8,86.5,2023-03-12T16:05:38.172Z,2023-03-13T02:07:01Z,4093466279,141,82.8,4093466277,140,19.6,4094826239,178,,4093466283,213,3.3,4093466275,56,Back,4093466281,212,14.1,,,,,,,1o7se1aziz6fpes5hey7yijft,Caio Henrique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519308461,6,1,1,0,8,4t4hod56fsj7utpjdor8so5q6,1,21.7,82.3,2023-03-12T16:05:40.439Z,2023-03-13T02:07:00Z,4093466569,141,50.5,4093466567,140,7.8,4094826481,178,,4093466565,56,Back,4093466571,212,26.1,4093466573,213,4.1,,,,,,,2axi9gr1lhuewlt06emrk44q1,M. Sarr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519308533,7,1,1,0,12,4t4hod56fsj7utpjdor8so5q6,1,9,47.7,2023-03-12T16:05:43.752Z,2023-03-13T02:06:59Z,4093466979,213,5.7,4093466969,155,,4093466977,212,40.9,4093466981,1,,4093466973,140,41.4,4094826527,178,,4093466975,141,14.4,4093466971,56,Back,d3xdl3p9vd1c0m316oq2pblxx,A. Nübel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519308541,8,1,1,0,14,4t4hod56fsj7utpjdor8so5q6,0,43.6,15.5,2023-03-12T16:05:46.278Z,2023-03-13T02:06:59Z,4093467031,213,4.4,4093467017,56,Back,4093467019,140,42.3,4093467081,233,3,4094826961,178,,4093467023,141,10.2,4094826963,21,,4093467027,212,3.9,f5j3vhj805xtkos7l538u0d7t,K. Diatta,4093467089,286,4093467079,236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
