id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,keyPass,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/9/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/12/value,qualifier/14/value,qualifier/10/value,qualifier/13/value,qualifier/17/value,assist,qualifier/16/value
2458648067,1,34,16,0,0,bx0cdmzr2gwr70ez72dorx82p,1,0,0,2022-09-11T12:25:34.127Z,2022-09-11T13:00:17Z,3773032437,194,azuc3tma44xyrbgf5y279o1xx,3773032427,30,"8govqd0xf8ijst50tgypaep5h, 8f3bhiy6r5eei1n25exhbwr8p, 7sep6mx2s67mh5fr3raxu7aei, 2kgvn1lt5yjsixg13fj0cidt6, 7cp51c8zn7y08iyk0hc9ix5nt, azuc3tma44xyrbgf5y279o1xx, 3n9jnuteyjx6w6dxviuead0b9, 6j0ogojh2b7poyceg7i3k09yi, e3kdoxu1kwn2w3wwi1rqhvr9x, 7fcq014jmdb0uqldcts6tglat, ct32113pfx5q9avf2c0x208ru, a87w6l9zsbahdi4knm1347zs9, dxeju5zcb6j8etdgwq0kweor9, 5ak9fwtqlr2pll0nsv5br7p7u, 5q0q6f1hk7afy5i4hmkf9xj9x, 6zerxodnjkvpko1ogfwd2hgyc, e7e68wlpiqqohpg71oh4vrbl6, 9yjtdz1toq241g6cgdty94lck, 2e0ipswbkv4vf7lav6ee1j3oq, 8pgocmr00qw7b9919c8zh4bmx",3773032435,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3773032429,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3773032439,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3773032433,130,2,3773032431,59,"1, 23, 26, 21, 25, 4, 29, 19, 7, 24, 10, 5, 11, 14, 15, 18, 28, 33, 42, 90",3773146553,197,15914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458648903,1,34,16,0,0,6xjy1q2m55iiwe8g1r1yffbc9,1,0,0,2022-09-11T12:27:02.922Z,2022-09-11T13:17:29Z,3773036603,30,"3xpo0nc3hysdi41gupi7adot1, cujgdqrikyjt36scc23zcbkk5, 1e77it93nx78uu157mmksd71l, d3d1qks236pztzcqp3wdcc0l, 67q7ve9vse4m2nb82j2z1clhx, i0pvdl0hx7idtfi0xymygmp5, 9higgl848a37qflh0sts05tjp, bm1utly0qt2kaexijsu2p2tw5, d040o5igq61iizexn1v2a5t5h, da81277761mvu8idmy1ekqdw5, bi49lcldxz8jubp72kgeke2y2, 2hujd2bwvb0wtxdna6c0xb2z9, 529k1s89fjg133s8ycjwvgg5x, 1lbgavu1rxlrfg14062suwyj9, 2fa3vmp34mwrthdiehnaxnnqh, 1czk5wkuu6ahu3ytu2or8276d, 1xxlgx6g07x3r0zwzywm26sq1, 8wz2w0267i1845k87hxsgandh, 84ikqi9s3lng1mo4lxwq210wl, 3qcyotm0vljybir8poi67stsl",3773036609,130,2,3773036605,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3773036615,194,bm1utly0qt2kaexijsu2p2tw5,3773036607,59,"1, 20, 3, 8, 21, 15, 14, 6, 17, 9, 27, 2, 4, 5, 7, 10, 11, 16, 23, 99",3773036619,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3773148967,197,624,3773036611,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458673525,2,32,1,0,0,bx0cdmzr2gwr70ez72dorx82p,1,0,0,2022-09-11T13:00:15.865Z,2022-09-11T13:00:19Z,3773158931,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458673479,2,32,1,0,0,6xjy1q2m55iiwe8g1r1yffbc9,1,0,0,2022-09-11T13:00:15.865Z,2022-09-11T20:52:23Z,3773158717,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458673537,3,1,1,0,0,6xjy1q2m55iiwe8g1r1yffbc9,1,50.1,50.1,2022-09-11T13:00:15.899Z,2022-09-12T02:12:04Z,3773158997,213,2.8,3773158995,212,12.1,3773158993,141,55.7,3773158999,279,S,3775510275,178,,3773158991,140,39.2,3773158989,56,Back,,,,da81277761mvu8idmy1ekqdw5,Y. Touzghar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458673567,4,1,1,0,2,6xjy1q2m55iiwe8g1r1yffbc9,0,41.5,51.1,2022-09-11T13:00:17.991Z,2022-09-12T06:06:57Z,3773159111,56,Right,3775510301,178,,3773159119,213,5.6,3773159113,140,74.7,3773159115,141,9.1,3773159121,1,,3773159109,155,,3773159117,212,45.1,d3d1qks236pztzcqp3wdcc0l,V. Marchetti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458673627,3,44,1,0,4,bx0cdmzr2gwr70ez72dorx82p,1,26.3,86,2022-09-11T13:00:20.564Z,2022-09-12T06:06:56Z,3773159381,285,,3773161717,233,5,3773159379,56,Back,,,,,,,,,,,,,,,,7sep6mx2s67mh5fr3raxu7aei,M. Bard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458673573,5,44,1,0,4,6xjy1q2m55iiwe8g1r1yffbc9,0,73.7,14,2022-09-11T13:00:20.565Z,2022-09-12T06:06:56Z,3773159143,286,,3773161763,233,3,3773159141,56,Right,,,,,,,,,,,,,,,,9higgl848a37qflh0sts05tjp,C. Bayala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458673633,4,1,1,0,4,bx0cdmzr2gwr70ez72dorx82p,0,26.4,86.9,2022-09-11T13:00:20.653Z,2022-09-12T06:06:55Z,3773172259,140,21.9,3773172263,212,7.0,3773159411,56,Back,3773172265,213,2.3,3773172257,3,,3773172261,141,94.4,3775510389,388,,,,,7sep6mx2s67mh5fr3raxu7aei,M. Bard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458673593,6,61,1,0,7,6xjy1q2m55iiwe8g1r1yffbc9,1,78.2,6.4,2022-09-11T13:00:23.156Z,2022-09-12T06:06:55Z,3773159227,56,Right,3775510563,15,,3775510565,388,,,,,,,,,,,,,,,,,9higgl848a37qflh0sts05tjp,C. Bayala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458673671,5,49,1,0,8,bx0cdmzr2gwr70ez72dorx82p,1,19.2,97,2022-09-11T13:00:24.686Z,2022-09-12T06:06:55Z,,,,,,,,,,,,,,,,,,,,,,,,,6j0ogojh2b7poyceg7i3k09yi,K. Thuram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458673699,6,1,1,0,8,bx0cdmzr2gwr70ez72dorx82p,1,19,97.3,2022-09-11T13:00:24.754Z,2022-09-12T06:06:54Z,3773159677,213,6.2,3773159675,212,7.6,3773159673,141,96.6,3773159669,56,Back,3775510611,178,,3773159671,140,26.2,,,,,,,6j0ogojh2b7poyceg7i3k09yi,K. Thuram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458673707,7,50,1,0,10,bx0cdmzr2gwr70ez72dorx82p,1,26.3,98.2,2022-09-11T13:00:26.823Z,2022-09-12T05:35:22Z,3773159691,56,Back,3773159693,285,,3773159901,233,7,,,,,,,,,,,,,,,,ct32113pfx5q9avf2c0x208ru,S. Diop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458673737,7,7,1,0,11,6xjy1q2m55iiwe8g1r1yffbc9,1,73.7,1.8,2022-09-11T13:00:27.493Z,2022-09-12T05:35:23Z,3773159883,233,7,3775510689,178,,3773159849,286,,3773914181,385,,3773159847,56,Right,,,,,,,,,,cujgdqrikyjt36scc23zcbkk5,M. Youssouf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458673741,8,61,1,0,11,6xjy1q2m55iiwe8g1r1yffbc9,1,75.2,2,2022-09-11T13:00:27.753Z,2022-09-12T06:06:54Z,3775510993,178,,3773159869,56,Right,,,,,,,,,,,,,,,,,,,9higgl848a37qflh0sts05tjp,C. Bayala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458673755,9,1,1,0,12,6xjy1q2m55iiwe8g1r1yffbc9,1,74.4,2,2022-09-11T13:00:28.536Z,2022-09-12T06:06:53Z,3773160163,233,8,3773159941,141,6.1,3773159937,56,Right,3773159939,140,80.3,3773159945,213,0.4,3773159943,212,6.8,3775511063,178,,,,,cujgdqrikyjt36scc23zcbkk5,M. Youssouf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458676245,32,1,1,0,13,6xjy1q2m55iiwe8g1r1yffbc9,1,78.4,9,2022-09-11T13:00:29.187Z,2022-09-12T06:06:53Z,3773172773,213,3.4,3773172765,56,Right,3773172769,141,4.1,3775511175,178,,3773172809,156,,3773172771,212,11.2,3773172767,140,68.2,,,,d040o5igq61iizexn1v2a5t5h,R. Hamouma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458723323,430,49,1,0,13,6xjy1q2m55iiwe8g1r1yffbc9,1,77.1,3.8,2022-09-11T13:00:29.568Z,2022-09-12T06:06:53Z,,,,,,,,,,,,,,,,,,,,,,,,,9higgl848a37qflh0sts05tjp,C. Bayala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458676931,39,1,1,0,13,6xjy1q2m55iiwe8g1r1yffbc9,0,77.3,4.1,2022-09-11T13:00:29.634Z,2022-09-12T06:06:52Z,3773176219,213,3.2,3773176213,140,65.2,3773176215,141,3.2,3773176217,212,12.7,3775511377,178,,3773176211,56,Right,3773176499,233,8,,,,9higgl848a37qflh0sts05tjp,C. Bayala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
