id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,keyPass,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/8/value,qualifier/10/value,qualifier/12/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,assist,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/16/value
2496590061,1,34,16,0,0,70nn27vgkt6l48lvv5e66q7ww,1,0,0,2023-01-11T19:09:32.874Z,2023-01-11T19:59:58Z,3973788843,59,"1, 24, 25, 8, 18, 3, 11, 6, 13, 10, 22, 2, 7, 9, 12, 17, 21, 29, 70, 77",3973788851,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3973883905,197,641,3973788841,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3973788847,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3973788849,194,3hiehiu25aufrc0q9890haqc5,3973788845,130,8,3973788839,30,"6oi4a3g56xe76g0gg38knmzmd, 322sju1vi12p0r9a8048hnmxh, 538zux65h0l9028fpf4v1g0r9, 7cty3nkd7c84e16537v6y1djp, 38cotevgsirv0csora7bar3vu, 996i59930r3kd4xk48x9fsp2h, dg4782hj9xdqg46w225kzph5g, 3hiehiu25aufrc0q9890haqc5, 33jtnv5kyzyw1it7y9czhn4a2, 44o5mjglkzqxctz07ust9bcru, 2tc8y9du64tjno62zll2jhy7e, 31ur1f7xmxndnnabhrxyov6xh, 2abpo4w3jcxp1wzp50yypxsrt, 466ev7tumk8flx0gz9d0h15d6, e32urdrdkp44zmnt6ptg0k12i, d5hzf2vv84jfne8ijsdjqd52h, e83sc1gnj31vgpo9u6fknmfvt, 8n0560evn4ni29dw9xece45ey, 2qkesslfmzmgt7igvgosixg8a, 3cy6mfbd2vlj9fa1xz2ow3949",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2496590699,1,34,16,0,0,4t4hod56fsj7utpjdor8so5q6,1,0,0,2023-01-11T19:10:52.943Z,2023-01-11T20:15:21Z,3973792237,30,"d3xdl3p9vd1c0m316oq2pblxx, adb8skc3qbvgunhzd9651lij8, 1o7se1aziz6fpes5hey7yijft, b0wb7gf04synxlkq7o8gvzkoa, 3djmsd2atvq16ysmocq7twsfd, 270djbc9lxhoupmd1djrii191, f5j3vhj805xtkos7l538u0d7t, 2rio84cmao72sc7lnsodwzzhm, dkve6gf309h5tglwawqx8mlzp, rn17zrbsh1g9r1tj4xyvhgr8, 28x7i681wkjueanvkevew3bh1, f4pqxviuwzd6a803jfx9bh4o9, a2s2c6anax9wnlsw1s6vunl5h, 9bqv99e39z86mn7dq3wnyt90p, 28s6z18rcl9v8561yzu7m0voq, csvqjyuk06gzvjm408513nydx, 8vhjmcgjbzpzd4vv3zb945p1w, 2axi9gr1lhuewlt06emrk44q1, 8xitc97j4scfajm8ucq7e5l91, 72m5u1rlgh6e229zpfvp7f5jp",3973792247,194,3djmsd2atvq16ysmocq7twsfd,3973792245,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3973792249,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3973792239,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3973792243,130,15,3973792241,59,"16, 2, 12, 19, 6, 3, 27, 4, 36, 44, 17, 9, 10, 14, 15, 18, 21, 23, 30, 77",3973881781,197,16430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2496607661,2,32,1,0,0,4t4hod56fsj7utpjdor8so5q6,1,0,0,2023-01-11T20:00:06.651Z,2023-01-11T20:00:06Z,3973886031,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2496607667,2,32,1,0,0,70nn27vgkt6l48lvv5e66q7ww,1,0,0,2023-01-11T20:00:06.651Z,2023-01-14T02:14:26Z,3973886051,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2496607675,3,1,1,0,0,4t4hod56fsj7utpjdor8so5q6,1,49.9,50.2,2023-01-11T20:00:06.690Z,2023-01-12T00:55:08Z,3974201833,178,,3973886113,141,39.8,3973886109,56,Back,3973886111,140,27.2,3973886117,213,3.4,3973886119,279,S,3973886115,212,24.9,,,,rn17zrbsh1g9r1tj4xyvhgr8,E. Ben Seghir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2496607683,4,1,1,0,2,4t4hod56fsj7utpjdor8so5q6,1,32.7,41.2,2023-01-11T20:00:09.135Z,2023-01-12T04:24:12Z,3973886149,56,Back,3973886157,213,4.4,3973886155,212,14.1,3973886153,141,21.5,3974201857,178,,3973886151,140,28.5,,,,,,,3djmsd2atvq16ysmocq7twsfd,A. Disasi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2496607689,5,1,1,0,4,4t4hod56fsj7utpjdor8so5q6,0,35.3,20.3,2023-01-11T20:00:11.446Z,2023-01-12T04:24:11Z,3973886171,212,3.7,3973886169,141,23.5,3973886203,233,3,3973886167,140,32.5,3973886207,286,,3973886163,155,,3973886165,56,Back,3973886173,213,2.5,adb8skc3qbvgunhzd9651lij8,Vanderson,3973886201,236,3974201883,178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2496607693,3,74,1,0,4,70nn27vgkt6l48lvv5e66q7ww,1,63.9,78.7,2023-01-11T20:00:11.494Z,2023-01-12T04:24:11Z,3974201943,178,,3973886197,285,,3973886195,56,Center,3973886209,233,5,,,,,,,,,,,,,44o5mjglkzqxctz07ust9bcru,E. Le Fée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2496607703,4,49,1,0,6,70nn27vgkt6l48lvv5e66q7ww,1,44.3,75.7,2023-01-11T20:00:12.778Z,2023-01-12T04:24:10Z,,,,,,,,,,,,,,,,,,,,,,,,,7cty3nkd7c84e16537v6y1djp,B. Innocent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2496607727,5,1,1,0,7,70nn27vgkt6l48lvv5e66q7ww,1,44.2,77.4,2023-01-11T20:00:13.757Z,2023-01-12T04:24:09Z,3974201977,178,,3973886389,212,14.3,3973886385,140,55.8,3973886387,141,88.4,3973886391,213,0.6,3973886383,56,Left,,,,,,,7cty3nkd7c84e16537v6y1djp,B. Innocent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
