id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/10/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,keyPass,qualifier/13/value,qualifier/15/value,qualifier/9/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/18/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value
2482393873,1,34,16,0,0,750ustvk4jfqmo8q4gnrcxy7z,1,0,0,2022-11-06T13:14:35.131Z,2022-11-06T14:04:33Z,3898951863,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",3898951869,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3898951867,130,7,3898951873,197,8109,3898951865,59,"1, 28, 29, 3, 21, 4, 10, 17, 31, 5, 27, 7, 8, 11, 12, 14, 16, 24",3898951861,30,"f0e5posm9z0oma2t3u9k1qy95, bf2yxiyhdyipaxxxobt9i1gq1, 4a7x84pflda40oka94y36gwk, crjrpkb5p430hludk5acmhjv9, 3g217lvxyrxlzsyp0rmlvglp1, 53yrdwlr1pw23bxyxfg85npat, 9yfnfwqog4y572aoe2iztnbv9, oc04nz0mrmzeqpcbql3rbhlh, d3y4csfpvhzcowlusw9xe32eh, 8zc2u2dfrokzg3domqmt30s0l, 6tedvat245ajkir9c4035i0np, 7k0r5crdh9blj3edt31zwy0dm, cg1j982govx2perwr3rv33t1x, 9dzyrffyz77zqmptudhdrh8lx, a0o34jherpgziz52ri0zxms45, adswn2xpomwsi7zh022787mne, ctygavkrblcxra880nwej0bf9, bxb5trtzllty8eqteifyw4zit",3898951871,194,f0e5posm9z0oma2t3u9k1qy95,3898951875,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482397155,1,34,16,0,0,3c3jcs7vc1t6vz5lev162jyv7,1,0,0,2022-11-06T13:18:11.889Z,2022-11-06T13:18:12Z,3898968513,197,662,3898968505,130,8,3898968501,59,"94, 70, 25, 8, 24, 5, 39, 21, 29, 3, 10, 7, 1, 11, 15, 17, 19, 41, 43, 99",3898968509,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3898968499,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3898968497,30,"89sv092huj2obzdazmft854a1, ccu7hw3wrcspl1a18g2ldnsh5, e1gq9zfwrm446r2tzmeiw6jmx, 2lvit204llltk13iglsa2tjah, 36h87ecgmpjdltk1epsbvmiju, 976riwm0dz0e74d4l28y3ttcl, cmrdm4nnd62inlvsnc52vkicp, 96wcx761pzv5ub4sfwsynp51x, edti8t30h7ukwi3wqlzaczje1, 8gkexxgf3pypshhqwg6ibp7o4, agwvouyocx93y39g7tmwaojx1, bapdoe78rj82j550otb5zemwa, 4ilnnpfgjfz35lni9ppzd93v9, 3jqxaa2l6gqwxl2mr8w0yiiy2, 8qmm84tue6kuz8e5nhhdhmz8p, fvd7y3f6948713acbas7w3u2, 7ty1wdxxnusgkl34k5raipbl5, 41gpjj5od0ww4rnopzgp1oetw, 8zo4abj7d3ut3cry9tcsoglw, 513jimgihzk9w1kuad57jrnxl",3898968515,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3898968511,194,976riwm0dz0e74d4l28y3ttcl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482429849,2,32,1,0,0,750ustvk4jfqmo8q4gnrcxy7z,1,0,0,2022-11-06T14:00:14.736Z,2022-11-06T14:00:14Z,3899133921,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482429865,2,32,1,0,0,3c3jcs7vc1t6vz5lev162jyv7,1,0,0,2022-11-06T14:00:14.736Z,2022-11-06T22:02:41Z,3899133973,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482429927,3,1,1,0,0,750ustvk4jfqmo8q4gnrcxy7z,1,49.9,50.1,2022-11-06T14:00:14.772Z,2022-11-07T02:03:04Z,3899134265,212,19.5,3899134261,140,38.5,3899134263,141,72.7,3899134269,279,S,3899134267,213,2.2,3899134259,56,Back,3901609405,178,,,,,8zc2u2dfrokzg3domqmt30s0l,Pedro Chirivella,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482429941,4,1,1,0,2,750ustvk4jfqmo8q4gnrcxy7z,0,36.7,58.8,2022-11-06T14:00:17.162Z,2022-11-07T05:40:39Z,3899134359,1,,3899134357,213,5.7,3899134353,141,23.4,3899134349,56,Center,3899134347,155,,3899134351,140,71.7,3899134355,212,43.9,3901609477,178,,4a7x84pflda40oka94y36gwk,Q. Merlin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482429991,3,1,1,0,4,3c3jcs7vc1t6vz5lev162jyv7,0,29.4,74.1,2022-11-06T14:00:19.350Z,2022-11-07T05:40:38Z,3899134565,212,17.2,3899134561,140,45.4,3899134559,56,Back,3899134557,3,,3899134563,141,69.0,3899134567,213,6.1,3901609547,388,,,,,976riwm0dz0e74d4l28y3ttcl,Y. Abdelhamid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482430037,5,1,1,0,6,750ustvk4jfqmo8q4gnrcxy7z,1,51.6,25.6,2022-11-06T14:00:21.647Z,2022-11-07T05:40:38Z,3899134801,3,,3899134805,140,60.9,3899134811,213,6.0,3899134803,56,Center,3899134807,141,21.9,3899134809,212,10.1,3901609659,388,,,,,crjrpkb5p430hludk5acmhjv9,Andrei Girotto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482430065,6,1,1,0,10,750ustvk4jfqmo8q4gnrcxy7z,1,58.4,20.8,2022-11-06T14:00:25.325Z,2022-11-07T05:40:37Z,3899134917,213,4.1,3901609703,178,,3899134913,141,8.3,3899134909,56,Right,3899134915,212,10.2,3899134911,140,53.1,,,,,,,oc04nz0mrmzeqpcbql3rbhlh,M. Sissoko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482430093,7,1,1,0,12,750ustvk4jfqmo8q4gnrcxy7z,1,52.9,5.2,2022-11-06T14:00:27.230Z,2022-11-07T05:40:36Z,3901609839,178,,3899135029,56,Right,3899135031,140,69.6,3899135035,212,17.8,3899135033,141,0.4,3899135037,213,6.1,,,,,,,bf2yxiyhdyipaxxxobt9i1gq1,F. Centonze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482430099,8,1,1,0,13,750ustvk4jfqmo8q4gnrcxy7z,0,63.3,1.2,2022-11-06T14:00:27.816Z,2022-11-07T05:40:36Z,3899135061,56,Right,3899135065,141,10.1,3899135067,212,6.1,3899135069,213,1.5,3901609913,178,,3899135063,140,63.8,,,,,,,9yfnfwqog4y572aoe2iztnbv9,L. Blas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482430117,4,8,1,0,14,3c3jcs7vc1t6vz5lev162jyv7,1,40.3,85.6,2022-11-06T14:00:28.834Z,2022-11-07T05:40:36Z,3899135121,56,Back,3901609957,178,,3900623919,383,,,,,,,,,,,,,,,,,8gkexxgf3pypshhqwg6ibp7o4,K. Doumbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482430135,5,49,1,0,14,3c3jcs7vc1t6vz5lev162jyv7,1,39.1,86.7,2022-11-06T14:00:29.127Z,2022-11-07T05:40:35Z,,,,,,,,,,,,,,,,,,,,,,,,,8gkexxgf3pypshhqwg6ibp7o4,K. Doumbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482449721,137,1,1,0,14,3c3jcs7vc1t6vz5lev162jyv7,1,38.3,87.7,2022-11-06T14:00:29.347Z,2022-11-07T05:40:35Z,3899240605,140,42.0,3899240611,213,0.8,3899240603,56,Back,3899240607,141,94.2,3899240609,212,5.9,3901610185,178,,,,,,,,8gkexxgf3pypshhqwg6ibp7o4,K. Doumbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482430147,6,1,1,0,15,3c3jcs7vc1t6vz5lev162jyv7,0,41.2,92.7,2022-11-06T14:00:30.329Z,2022-11-07T05:40:35Z,3899135353,286,,3901610441,178,,3899135271,213,6.2,3899135263,56,Back,3899135265,140,44.1,3899135345,236,,3899135347,233,9,3899135267,141,92.4,agwvouyocx93y39g7tmwaojx1,A. Zeneli,3899135269,212,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482430151,9,74,1,0,15,750ustvk4jfqmo8q4gnrcxy7z,1,55.6,8.5,2022-11-06T14:00:30.526Z,2022-11-07T05:40:34Z,3899135403,233,6,3901610487,178,,3899135317,285,,3899135315,56,Right,,,,,,,,,,,,,crjrpkb5p430hludk5acmhjv9,Andrei Girotto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482430231,7,5,1,0,16,3c3jcs7vc1t6vz5lev162jyv7,1,40.3,101.3,2022-11-06T14:00:31.560Z,2022-11-07T02:04:09Z,3899135707,56,Back,3899135763,233,10,3899135709,347,,,,,,,,,,,,,,,,,2lvit204llltk13iglsa2tjah,J. Cajuste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482430179,10,5,1,0,16,750ustvk4jfqmo8q4gnrcxy7z,0,59.7,-1.3,2022-11-06T14:00:31.560Z,2022-11-07T02:04:09Z,3899135447,56,Right,3899135449,347,,3899135795,233,7,,,,,,,,,,,,,,,,crjrpkb5p430hludk5acmhjv9,Andrei Girotto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482430271,8,1,1,0,22,3c3jcs7vc1t6vz5lev162jyv7,1,39.7,100,2022-11-06T14:00:37.228Z,2022-11-07T05:40:34Z,3899135899,107,,3899135901,56,Back,3899135905,141,92.1,3899135903,140,22.8,3899135907,212,18.8,3899135909,213,3.5,,,,,,,e1gq9zfwrm446r2tzmeiw6jmx,T. De Smet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482430307,9,1,1,0,25,3c3jcs7vc1t6vz5lev162jyv7,1,18.9,93.3,2022-11-06T14:00:40.217Z,2022-11-07T05:40:34Z,3899136083,141,54.5,3899136087,213,4.5,3899136085,212,26.8,3899136081,140,14.4,3901610661,178,,3899136079,56,Back,,,,,,,976riwm0dz0e74d4l28y3ttcl,Y. Abdelhamid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
