id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/14/value,qualifier/9/value,qualifier/12/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/17/value,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId
2502893597,1,34,16,0,0,3xedluek08t2ka7oypwuullcn,1,0,0,2023-02-01T19:09:09.888Z,2023-02-01T20:03:18Z,4006874649,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4006874651,59,"30, 29, 21, 14, 4, 24, 8, 6, 22, 28, 10, 3, 7, 11, 13, 16, 23, 25, 36, 35",4006874663,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4006874655,130,13,4006999273,197,11899,4006874647,30,"25cggz2egeqce47yijxadsslx, bt4yy465bb33u7phdhnlr6pcl, qt2jl9zxkj4lxqzeydbb6hg5, br7zigajqee6fms35zhm1sb8p, 4ezld812zytvbokz97jwycgkp, 4t4u4725escxjm2gwz5e7lpsl, 3h62hv3ksrnl7n7di2b080y51, b4lc7czw7al6g7a7qzcqzya22, 7h28voyog9dhvitn6hj1omhh, c8u45gxriyq1rup5fpr30xrdh, bzmxjsk1tr4p2n7hwakvfomei, 1ad3itgiwcnyw3o9wplhah2hh, 7izciy79i6d6h7usfr8mcmh91, 64ubq0xra74xaunooi8knyajt, d49iskrm33kt3vlxy4q85m0ru, 3ngai7brgwxmnx3c7dmmed5ud, d9pacjyllv546b9qe0arx2nvu, boeam163ur1t3ifq01px99xwp, 4yxo8gwnou3m7jh6ph8lkuw44, cr9oxufgxkw935syyrfb94goa",4006874659,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4006874661,194,3h62hv3ksrnl7n7di2b080y51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502896107,1,34,16,0,0,bx0cdmzr2gwr70ez72dorx82p,1,0,0,2023-02-01T19:15:02.945Z,2023-02-01T20:43:46Z,4007000327,197,15913,4006888463,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4006888475,194,azuc3tma44xyrbgf5y279o1xx,4006888477,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4006888469,130,11,4006888473,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4006888465,59,"1, 33, 23, 4, 25, 55, 16, 28, 24, 10, 19, 8, 11, 14, 15, 21, 26, 35, 42, 77",4006888461,30,"8govqd0xf8ijst50tgypaep5h, 9yjtdz1toq241g6cgdty94lck, 8f3bhiy6r5eei1n25exhbwr8p, azuc3tma44xyrbgf5y279o1xx, 7cp51c8zn7y08iyk0hc9ix5nt, 7c0y2e3949kvohxadzfbmct7t, 5o0h8eeydl8t92qp3ywekqh1x, e7e68wlpiqqohpg71oh4vrbl6, 7fcq014jmdb0uqldcts6tglat, ct32113pfx5q9avf2c0x208ru, 6j0ogojh2b7poyceg7i3k09yi, vja0xo3xiuax8eh0b6q3y09, dxeju5zcb6j8etdgwq0kweor9, 5ak9fwtqlr2pll0nsv5br7p7u, 5q0q6f1hk7afy5i4hmkf9xj9x, 2kgvn1lt5yjsixg13fj0cidt6, 7sep6mx2s67mh5fr3raxu7aei, c0dvcjq2rfqs3jj5g5v2m5zsa, 2e0ipswbkv4vf7lav6ee1j3oq, 9tqbuv5f466mzo4fx4ll0drvu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502916323,2,32,1,0,0,bx0cdmzr2gwr70ez72dorx82p,1,0,0,2023-02-01T20:00:57.056Z,2023-02-01T20:00:57Z,4007005827,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502916337,2,32,1,0,0,3xedluek08t2ka7oypwuullcn,1,0,0,2023-02-01T20:00:57.056Z,2023-02-02T04:03:48Z,4007005889,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502916375,3,1,1,0,0,3xedluek08t2ka7oypwuullcn,1,50.3,50.4,2023-02-01T20:00:57.086Z,2023-02-02T04:26:47Z,4007006121,213,2.6,4007535399,178,,4007006113,56,Back,4007006117,141,66.8,4007006115,140,30.8,4007006123,279,S,4007006119,212,23.3,,,,7h28voyog9dhvitn6hj1omhh,W. Saïd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502916403,4,1,1,0,2,3xedluek08t2ka7oypwuullcn,1,37.3,58.7,2023-02-01T20:00:59.081Z,2023-02-02T08:31:21Z,4007006277,140,35.4,4007006275,56,Back,4007535559,178,,4007006281,212,13.3,4007006279,141,78.0,4007006283,213,1.7,,,,,,,br7zigajqee6fms35zhm1sb8p,F. Medina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502916435,5,1,1,0,4,3xedluek08t2ka7oypwuullcn,1,39.9,75,2023-02-01T20:01:01.109Z,2023-02-02T08:31:20Z,4007006441,213,3.3,4007006433,56,Back,4007535587,178,,4007006439,212,10.3,4007006435,140,30.2,4007006437,141,72.5,,,,,,,3h62hv3ksrnl7n7di2b080y51,S. Fofana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502916497,6,1,1,0,9,3xedluek08t2ka7oypwuullcn,1,39.7,80.7,2023-02-01T20:01:06.202Z,2023-02-02T08:31:17Z,4007006751,212,10.3,4007006749,141,89.9,4007535673,178,,4007006747,140,47.5,4007006753,213,0.7,4007006745,56,Back,,,,,,,br7zigajqee6fms35zhm1sb8p,F. Medina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502916531,7,1,1,0,13,3xedluek08t2ka7oypwuullcn,1,72.6,89.3,2023-02-01T20:01:10.945Z,2023-02-02T08:31:15Z,4007006929,56,Left,4007006933,141,94.4,4007535697,178,,4007006935,212,9.6,4007006937,213,0.4,4007006931,140,81.1,,,,,,,3h62hv3ksrnl7n7di2b080y51,S. Fofana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502916559,8,1,1,0,16,3xedluek08t2ka7oypwuullcn,1,82.5,97.2,2023-02-01T20:01:13.479Z,2023-02-02T08:31:14Z,4007007105,212,14.2,4007007107,213,3.7,4007007101,140,71.3,4007535751,178,,4007007103,141,85.5,4007007099,56,Left,,,,,,,qt2jl9zxkj4lxqzeydbb6hg5,M. Haïdara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
