id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/8/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,keyPass,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/9/value,qualifier/11/value,assist,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/16/value,qualifier/17/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/12/value
2512893121,1,34,16,0,0,4t4hod56fsj7utpjdor8so5q6,1,0,0,2023-02-26T15:33:13.720Z,2023-02-26T16:17:01Z,4059500789,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4059629935,197,649,4059500787,30,"d3xdl3p9vd1c0m316oq2pblxx, f5j3vhj805xtkos7l538u0d7t, 9bqv99e39z86mn7dq3wnyt90p, 3djmsd2atvq16ysmocq7twsfd, cyz9jisw86vjjf85xxgbae0yy, 2axi9gr1lhuewlt06emrk44q1, b0wb7gf04synxlkq7o8gvzkoa, 2rio84cmao72sc7lnsodwzzhm, f4pqxviuwzd6a803jfx9bh4o9, dkve6gf309h5tglwawqx8mlzp, rn17zrbsh1g9r1tj4xyvhgr8, a2s2c6anax9wnlsw1s6vunl5h, 1o7se1aziz6fpes5hey7yijft, 28s6z18rcl9v8561yzu7m0voq, 28x7i681wkjueanvkevew3bh1, csvqjyuk06gzvjm408513nydx, 8xitc97j4scfajm8ucq7e5l91, 3sby91ws28mb3yt82a9al75sk, 72m5u1rlgh6e229zpfvp7f5jp, 8cbqpjojozpalklx15jxjfii2",4059500791,59,"16, 27, 14, 6, 34, 23, 19, 4, 9, 36, 44, 10, 12, 15, 17, 18, 30, 33, 77, 99",4059500795,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4059500801,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4059500797,194,3djmsd2atvq16ysmocq7twsfd,4059500793,130,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512898411,1,34,16,0,0,bx0cdmzr2gwr70ez72dorx82p,1,0,0,2023-02-26T15:38:30.001Z,2023-02-26T16:09:43Z,4059529239,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4059529235,59,"1, 23, 40, 4, 25, 55, 16, 28, 9, 24, 19, 8, 10, 11, 14, 21, 33, 35, 37, 77",4059529237,130,10,4059529233,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4059590489,194,azuc3tma44xyrbgf5y279o1xx,4059626185,197,15914,4059529231,30,"8govqd0xf8ijst50tgypaep5h, 8f3bhiy6r5eei1n25exhbwr8p, boru4r6jmb64ybfjlnbbtwdn8, azuc3tma44xyrbgf5y279o1xx, 7cp51c8zn7y08iyk0hc9ix5nt, 7c0y2e3949kvohxadzfbmct7t, 5o0h8eeydl8t92qp3ywekqh1x, e7e68wlpiqqohpg71oh4vrbl6, 33jtnv5kyzyw1it7y9czhn4a2, 7fcq014jmdb0uqldcts6tglat, 6j0ogojh2b7poyceg7i3k09yi, vja0xo3xiuax8eh0b6q3y09, ct32113pfx5q9avf2c0x208ru, dxeju5zcb6j8etdgwq0kweor9, 5ak9fwtqlr2pll0nsv5br7p7u, 2kgvn1lt5yjsixg13fj0cidt6, 9yjtdz1toq241g6cgdty94lck, c0dvcjq2rfqs3jj5g5v2m5zsa, cjgrtf1xc97ir3b64cnl9ecyc, 9tqbuv5f466mzo4fx4ll0drvu",4059529241,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512919645,2,32,1,0,0,bx0cdmzr2gwr70ez72dorx82p,1,0,0,2023-02-26T16:05:32.410Z,2023-02-26T16:05:35Z,4059643015,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512919639,2,32,1,0,0,4t4hod56fsj7utpjdor8so5q6,1,0,0,2023-02-26T16:05:32.410Z,2023-02-26T21:48:54Z,4059642985,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512919673,3,1,1,0,0,4t4hod56fsj7utpjdor8so5q6,1,49.9,49.9,2023-02-26T16:05:32.412Z,2023-02-26T21:58:35Z,4059643131,56,Back,4059643141,279,S,4059643137,212,19.0,4059643133,140,34.9,4060785501,178,,4059643139,213,2.6,4059643135,141,65.4,,,,rn17zrbsh1g9r1tj4xyvhgr8,E. Ben Seghir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512919701,4,1,1,0,3,4t4hod56fsj7utpjdor8so5q6,0,35.9,62.7,2023-02-26T16:05:36.001Z,2023-02-27T01:23:32Z,4059643293,140,66.2,4059643301,1,,4059643297,212,46.9,4059643295,141,12.1,4059643299,213,5.5,4060785831,178,,4059643291,56,Right,4059643289,155,,2axi9gr1lhuewlt06emrk44q1,M. Sarr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512919741,3,8,1,0,6,bx0cdmzr2gwr70ez72dorx82p,1,32.9,81.1,2023-02-26T16:05:39.022Z,2023-02-27T01:23:32Z,4060355683,385,,4060355501,15,,4060786739,388,,4059643525,56,Back,,,,,,,,,,,,,boru4r6jmb64ybfjlnbbtwdn8,A. Amraoui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512919793,5,1,1,0,12,4t4hod56fsj7utpjdor8so5q6,1,34.4,4.7,2023-02-26T16:05:44.557Z,2023-02-27T01:23:30Z,4059643757,140,26.6,4059643763,213,2.1,4059643755,56,Back,4059643759,141,26.4,4060786911,178,,4059643761,212,16.9,,,,,,,cyz9jisw86vjjf85xxgbae0yy,C. Matsima,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512919827,6,1,1,0,15,4t4hod56fsj7utpjdor8so5q6,1,23.7,35.6,2023-02-26T16:05:47.924Z,2023-02-27T01:23:30Z,4059643941,212,17.8,4060787035,178,,4059643937,140,28.0,4059643943,213,1.3,4059643939,141,60.9,4059643935,56,Back,,,,,,,3djmsd2atvq16ysmocq7twsfd,A. Disasi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512919843,7,1,1,0,18,4t4hod56fsj7utpjdor8so5q6,0,33.1,68.3,2023-02-26T16:05:51.315Z,2023-02-27T01:23:29Z,4059644031,212,15.6,4060787137,178,,4059644033,213,0.0,4059644025,56,Back,4059644029,141,68.8,4059644027,140,48.0,,,,,,,2axi9gr1lhuewlt06emrk44q1,M. Sarr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
