id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,keyPass,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/11/value,qualifier/12/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/17/value
2506967515,1,34,16,0,0,71ajatxnuhc5cnm3xvgdky49w,1,0,0,2023-02-12T13:17:46.975Z,2023-02-12T14:12:31Z,4028222299,194,9ysk6656hj0na1hrizgt83k5x,4028222291,130,17,4028222295,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4028369313,197,8123,4028222283,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4028222287,59,"1, 32, 11, 23, 5, 29, 27, 14, 20, 8, 9, 2, 18, 24, 31, 34, 35, 38, 40, 77",4028222279,30,"2vgr8c97x4b2e51tyvvixusid, 7atxpldexe9adg8ft1wbjndud, 9ysk6656hj0na1hrizgt83k5x, 4jal44qeyp9ur58768qre5uqd, eo47h2ekymiisj3kry3og7tgp, 7bba28af7hqhh7ruo91x2mk9g, cb6w7n7n1eh9huwzyzvgmdxih, 42vsnv2j6emkbynforgon4n2t, bndkgzdolm2c3iteenkv8s3it, d394go61g90f1u6bddu1narit, 950o8rjqvnl5bnidq2dc3fglx, 1y5p476l4ihjndiyvfsmcg82x, 53nd6a4o02ebb0w2s12prijje, d5at3cowukpxiptq5ozcbe6s5, 6myeb7x322kbw504ecbvhu904, 1k1zsipuhr1o3hv17j4uiz5uy, bzyckons6yiek0xm2xtt0bf9w, 8axjyioicdx8i2zkhcb79c9yi, 3zkkrq8sph1lo23bt8d1nz10, 1hlvnmu8we38d44sdexhhxcyd",4028222301,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506968705,1,34,16,0,0,be2k34rut1lz79jxenabttqlc,1,0,0,2023-02-12T13:19:03.423Z,2023-02-12T13:59:58Z,4028227859,130,8,4028227865,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4028227861,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4028227853,59,"30, 18, 22, 21, 6, 3, 23, 20, 9, 10, 7, 4, 5, 8, 16, 25, 26, 27, 28, 35",4028227851,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4028227863,194,e211nih87ou9t8crzjbbzhexh,4028227849,30,"8h5jl1u3p8sr2pwdmyxl14416, 7c0b5fz3m1uw0fwpm051e6rfu, e5xxqwz0sdlwkkmp8bgs1k6w9, 31sljkjull0n7082fed26stzp, e211nih87ou9t8crzjbbzhexh, 8jjep8bx1jpjuf8firxccc549, 4st4hurqbtyzw1tbkzuuk78fe, 7nivkfkngr374fx5totgektm1, b8dd5q3n5irlkcv0ekzqhzc2x, 3pz4ro9b1u6u45gs7d6apmo5x, a35r6fa79ipqqktiff3uhz6j9, avk0vktquq3oum9w6dyodlz6y, fij46jr9fq43444gr1y8tl9l, 17q3e6g2gvlnpwnzf9d6a9eqd, c1fcxha3l058brl1925muv2l1, 2t05pfvho7i9w9w01zcz3gz4l, 1zx0huwj0czivtoq6kvfb5roq, efcz85z2tvggsucnvivkmsxyh, bfdco9clf3dwltaogfhv5v0et, bt40tdni85hiz1gtkw0b6qmfo",4028368893,197,15939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506999361,2,32,1,0,0,be2k34rut1lz79jxenabttqlc,1,0,0,2023-02-12T14:00:05.704Z,2023-02-12T20:59:45Z,4028373267,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506999369,2,32,1,0,0,71ajatxnuhc5cnm3xvgdky49w,1,0,0,2023-02-12T14:00:05.704Z,2023-02-12T14:00:11Z,4028373285,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506999423,3,1,1,0,0,be2k34rut1lz79jxenabttqlc,1,49.9,50,2023-02-12T14:00:05.807Z,2023-02-12T23:59:38Z,4028373509,140,42.5,4028373513,212,11.1,4028373507,56,Back,4030192837,178,,4028373511,141,38.3,4028373515,213,3.9,4028373517,279,S,,,,3pz4ro9b1u6u45gs7d6apmo5x,R. Cabella,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506999447,4,1,1,0,1,be2k34rut1lz79jxenabttqlc,1,41.8,45.2,2023-02-12T14:00:07.454Z,2023-02-13T04:22:16Z,4028373653,141,4.9,4030192943,178,,4028373651,140,46.3,4028373655,212,27.8,4028373657,213,4.9,4028373649,56,Back,,,,,,,31sljkjull0n7082fed26stzp,B. André,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506999473,5,1,1,0,4,be2k34rut1lz79jxenabttqlc,1,46.4,6.6,2023-02-12T14:00:10.077Z,2023-02-13T04:22:15Z,4030193077,178,,4028373755,140,37.6,4028373757,141,19.0,4028373761,213,2.4,4028373753,56,Back,4028373759,212,12.5,,,,,,,4st4hurqbtyzw1tbkzuuk78fe,E. Zhegrova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506999487,6,1,1,0,5,be2k34rut1lz79jxenabttqlc,1,37.2,19.1,2023-02-12T14:00:11.628Z,2023-02-13T04:22:14Z,4030193163,178,,4028373807,140,22.2,4028373805,56,Back,4028373811,212,19.7,4028373809,141,36.4,4028373813,213,2.5,,,,,,,7c0b5fz3m1uw0fwpm051e6rfu,B. Diakité,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506999495,7,1,1,0,8,be2k34rut1lz79jxenabttqlc,1,25.2,41.6,2023-02-12T14:00:14.255Z,2023-02-13T04:22:13Z,4028373827,56,Back,4028373831,141,77.9,4028373835,213,1.8,4028373833,212,25.2,4028373829,140,20.4,4030193271,178,,,,,,,,e211nih87ou9t8crzjbbzhexh,José Fonte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506999511,8,1,1,0,11,be2k34rut1lz79jxenabttqlc,1,20.2,80.5,2023-02-12T14:00:17.296Z,2023-02-13T04:22:12Z,4030193367,178,,4028373889,56,Back,4028373893,141,81.3,4028373897,213,0.0,4028373895,212,11.0,4028373891,140,30.7,,,,,,,8jjep8bx1jpjuf8firxccc549,Tiago Djaló,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
