id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,assist
2453869429,1,34,16,0,0,z1wbqtd0fz5t5eezjvrbld3h,1,0,0,2022-08-31T18:14:28.670Z,2022-08-31T18:57:31Z,3747618749,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3747618755,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3747618757,194,draibw1vui84ciizu30az81jp,3747618747,30,"cym4wbw14zw1jh4jsp3sbyk0l, 6n54br4iwdggqvid7oirzfn8q, 2ubad2kxha6n1c8c8sr2ogmad, 9br2z5cf6stmnidehwo5a8afp, otan631zzfnq2sektkl3ywo9, 8qlz4omhgfnzyb2cgeou7xn56, 3hd9nxdb54zn4fhbf7qa7x0q1, crn7i9243dnczl74jti8i5pzp, 9b7iei751ersl6ny0o0k8gn3d, 448wxnlqhqqf2hcecwut90n6y, draibw1vui84ciizu30az81jp, 3o70kdbjt6w1aw7rkq3a4fecq, 92qqdiryqd8juqdjq8585476y, rlgrvvibryod2g92hqc97ii2, 49vfeofafswzu1f6rekqjbjhm, 47bjfjrtjv3uv5lnguc2ycg0k, xrh2szvp5808no7zm1et2zf9, 1py4bk2ik16w8lil31bghq99m, dzv5f93w5fsnfzohaev6e3rx0, 2phfhh7yi70tuk7vrbflp80oa",3747618759,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3747760989,197,665,3747618753,130,4,3747618751,59,"30, 22, 25, 8, 2, 5, 21, 20, 7, 10, 14, 1, 3, 4, 6, 18, 27, 28, 33, 35",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2453870399,1,34,16,0,0,3adj8hkws0z1al232bg2h6tk0,1,0,0,2022-08-31T18:16:49.895Z,2022-08-31T19:01:50Z,3747624687,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",3747624697,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3747624685,30,"7h2icfuwy00ilm14dw5xyl5g5, bl4lretp33t0jj3icujkf45p1, 7mn6lue4zatldcxp0gd7kt8mh, 5lfki1zoxd4l96hjbr2rw3d2h, 7xd54eb65lg7zldvnyd58bq39, c4yip4bf8il4gnxnhcb381b3e, e0hk5aepnpo7cne006zwahfx1, dom1dzrvk7y4sd8puf8iztn11, 9jiectkc8rk0ivxn80l87ic45, 3ynh418z6f6bfjz674vs40f6x, dfdq5f5mrzq9zaj1mrfhk5905, 36yupk7p1vks4dbguw53xhucp, 1ixibe50te4j2gjhbufm72aui, 8b40ap862z6ynvmgah0vjces5, 7z8bpxyfd31hb5ehkaina1ap6, 6oaqk4pdojnlefa3zubsysmvp, 3zyw4328iilwrttjoww1wctlh, e6se9kft2lf9hs92rof2pnn6c",3747624695,194,7xd54eb65lg7zldvnyd58bq39,3747766787,197,16252,3747624691,130,8,3747624693,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3747624689,59,"40, 2, 3, 8, 5, 4, 9, 7, 13, 29, 31, 45, 1, 14, 18, 21, 23, 33",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2453896519,2,32,1,0,0,3adj8hkws0z1al232bg2h6tk0,1,0,0,2022-08-31T19:00:10.369Z,2022-08-31T19:00:12Z,3747770487,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2453896505,2,32,1,0,0,z1wbqtd0fz5t5eezjvrbld3h,1,0,0,2022-08-31T19:00:10.369Z,2022-09-01T01:05:37Z,3747770417,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2453896541,3,1,1,0,0,z1wbqtd0fz5t5eezjvrbld3h,1,49.8,50,2022-08-31T19:00:10.379Z,2022-09-01T02:00:42Z,3748750273,178,,3747770597,212,12.8,3747770595,141,40.0,3747770599,213,3.7,3747770601,279,S,3747770591,56,Back,3747770593,140,39.5,,,,9b7iei751ersl6ny0o0k8gn3d,M. Terrier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2453896567,4,1,1,0,2,z1wbqtd0fz5t5eezjvrbld3h,0,40.1,47.8,2022-08-31T19:00:12.502Z,2022-09-01T04:37:07Z,3747770699,141,86.3,3747770703,213,0.6,3748750505,178,,3747770701,212,48.7,3747770693,155,,3747770697,140,79.2,3747770695,56,Left,3747770705,1,,9br2z5cf6stmnidehwo5a8afp,B. Santamaría,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2453896603,3,12,1,0,4,3adj8hkws0z1al232bg2h6tk0,1,21.1,10.7,2022-08-31T19:00:15.240Z,2022-09-01T04:37:07Z,3747770875,56,Back,3747770877,140,28.8,3748750657,388,,3747770881,212,11.7,3747771173,167,,3747770883,213,5.5,3747770879,141,0.0,3747771169,15,,bl4lretp33t0jj3icujkf45p1,J. Duverne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2453896607,4,5,1,0,7,3adj8hkws0z1al232bg2h6tk0,0,29.2,-1,2022-08-31T19:00:17.585Z,2022-09-01T02:00:59Z,3747770899,56,Back,3747770901,347,,3747771525,233,5,,,,,,,,,,,,,,,,bl4lretp33t0jj3icujkf45p1,J. Duverne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2453896699,5,5,1,0,7,z1wbqtd0fz5t5eezjvrbld3h,1,70.8,101,2022-08-31T19:00:17.585Z,2022-09-01T02:00:59Z,3747771405,347,,3747771427,233,4,3747771403,56,Left,,,,,,,,,,,,,,,,9br2z5cf6stmnidehwo5a8afp,B. Santamaría,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2453896727,6,1,1,0,14,z1wbqtd0fz5t5eezjvrbld3h,1,80.9,100,2022-08-31T19:00:24.597Z,2022-09-01T04:37:07Z,3747771595,140,84.4,3747771607,213,5.0,3747771603,212,11.4,3747771599,141,86.2,3747771593,56,Left,3747771591,107,,,,,,,,2ubad2kxha6n1c8c8sr2ogmad,B. Meling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
