id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,keyPass,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/12/value,qualifier/13/value,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/16/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,assist
2501974903,1,34,16,0,0,71ajatxnuhc5cnm3xvgdky49w,1,0,0,2023-01-29T13:15:03.483Z,2023-01-29T14:12:28Z,4002040269,130,12,4002040263,30,"2vgr8c97x4b2e51tyvvixusid, 7atxpldexe9adg8ft1wbjndud, 1hlvnmu8we38d44sdexhhxcyd, 4jal44qeyp9ur58768qre5uqd, d5at3cowukpxiptq5ozcbe6s5, 7bba28af7hqhh7ruo91x2mk9g, 88nw24pkg2ikj9c91tccvqol, d394go61g90f1u6bddu1narit, 950o8rjqvnl5bnidq2dc3fglx, bndkgzdolm2c3iteenkv8s3it, 42vsnv2j6emkbynforgon4n2t, 1y5p476l4ihjndiyvfsmcg82x, eo47h2ekymiisj3kry3og7tgp, 9ysk6656hj0na1hrizgt83k5x, f0busiccqoe2jg69st02ngfe1, egtyl4noukbjkm1va1i11e87o, cb6w7n7n1eh9huwzyzvgmdxih, 3zkkrq8sph1lo23bt8d1nz10",4002040273,194,d5at3cowukpxiptq5ozcbe6s5,4002040265,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",4002040271,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4002040275,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4002207137,197,8123,4002040267,59,"1, 32, 77, 23, 24, 29, 6, 8, 9, 20, 14, 2, 5, 11, 12, 19, 27, 40",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501974953,1,34,16,0,0,4aghw9tyi8ba3ju1ne83gmf9w,1,0,0,2023-01-29T13:15:06.428Z,2023-01-29T14:00:41Z,4002040499,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4002040505,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4002040497,30,"3yk6n0wr6nc0dlm51gwvwi4t1, e9g52c7vl608rt5wuf9o46l79, c44zop1hvob3cmgu2grj8m0yy, aa0888u38mjc1euhofseazb2t, 4c4ghf9zlkof83n5mnmva61d6, 2o5wwfsh5xhyatdfelh9dzqax, 684cguhktvth28ql6qgvvmcyc, 2rsqkarlkh6z8vrb0clfbz6xh, 1lnktjxx0mux4beo28cl54j1m, anr9qh585ctgk2d17zperhgix, cphxr8p8dhc1qeqfgdt7is4ph, ierx7puzqykloqwz9c5gsovd, ulqazti394q5bbzc4pblidat, 59knsm910b1ruk024rkksla3u, 8yak0o9o7z5j5ribga3ui2cb9, 3je152n5s5fjtbrxs9v8dn1lh, b3xdln1shzyzwkhzdmbb2fqax, 3b2w1t6fsuazgtp4trwfyt9be, 98gymyp93rh6s57b50xq6fqax, 187ytd6guq9q9ruo3thez7ey2",4002040509,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4002040503,130,4,4002040501,59,"30, 3, 23, 17, 4, 2, 28, 8, 27, 6, 21, 13, 7, 14, 15, 16, 19, 22, 24, 26",4002212175,197,15757,4002040507,194,2rsqkarlkh6z8vrb0clfbz6xh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502012755,2,32,1,0,0,4aghw9tyi8ba3ju1ne83gmf9w,1,0,0,2023-01-29T14:01:24.730Z,2023-01-29T14:01:27Z,4002222617,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502012749,2,32,1,0,0,71ajatxnuhc5cnm3xvgdky49w,1,0,0,2023-01-29T14:01:24.730Z,2023-01-29T23:17:42Z,4002222609,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502012799,3,1,1,0,0,71ajatxnuhc5cnm3xvgdky49w,0,50.6,49.9,2023-01-29T14:01:24.891Z,2023-01-30T03:51:19Z,4004004633,178,,4002488429,155,,4002488729,1,,4002222797,212,42.4,4002222791,140,73.6,4002222793,141,0.0,4002222789,56,Right,4002222799,213,5.3,d394go61g90f1u6bddu1narit,M. Sanson,4002222801,279,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502012809,4,43,1,0,2,71ajatxnuhc5cnm3xvgdky49w,1,0,0,2023-01-29T14:01:27.159Z,2023-01-29T14:49:09Z,4002222845,141,0.0,4002222855,1,0,4002222839,155,0,4002222841,56,Right,4002222853,213,5.5,4002488347,144,1,4002222849,212,43.1,4002222843,140,78.1,bndkgzdolm2c3iteenkv8s3it,H. Diallo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502012831,3,5,1,0,2,4aghw9tyi8ba3ju1ne83gmf9w,1,23.1,101.6,2023-01-29T14:01:27.370Z,2023-01-30T03:51:23Z,4002222943,233,5,4002222927,56,Back,4002222929,347,,,,,,,,,,,,,,,,,cphxr8p8dhc1qeqfgdt7is4ph,Rafael Ratão,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502012817,5,5,1,0,2,71ajatxnuhc5cnm3xvgdky49w,0,76.9,-1.6,2023-01-29T14:01:27.370Z,2023-01-30T03:51:23Z,4002222963,233,3,4002222875,56,Right,4002222877,347,,,,,,,,,,,,,,,,,bndkgzdolm2c3iteenkv8s3it,H. Diallo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502012871,4,1,1,0,5,4aghw9tyi8ba3ju1ne83gmf9w,1,23.2,100,2023-01-29T14:01:29.970Z,2023-01-30T08:39:02Z,4002223127,107,,4002223131,140,12.8,4002223135,212,15.6,4002223137,213,3.9,4002223133,141,84.9,4002223129,56,Back,,,,,,,c44zop1hvob3cmgu2grj8m0yy,M. Diarra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502012893,5,1,1,0,7,4aghw9tyi8ba3ju1ne83gmf9w,0,14.8,90.3,2023-01-29T14:01:32.243Z,2023-01-30T08:39:01Z,4002223261,212,45.8,4002223255,56,Center,4002223263,213,5.8,4004004673,178,,4002223257,140,53.3,4002223265,1,,4002223253,157,,4002223259,141,58.5,2o5wwfsh5xhyatdfelh9dzqax,R. Nicolaisen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
