id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/8/value,qualifier/9/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/12/value,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,assist,qualifier/15/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/11/value,qualifier/17/value,qualifier/16/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId
2509445065,1,34,16,0,0,75qj99fhg5c0ztj2tva5u4uii,1,0,0,2023-02-18T19:03:43.745Z,2023-02-18T20:01:27Z,4041331029,130,2,4041331031,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4041585025,197,15936,4041331035,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4041331025,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4041331023,30,"cgqunmh8aw465fna15rdve8d1, 9tdb905kq5becch102boicdex, 8j04w1662nucmmi276lrokmvp, dvtd4xsoihe7srn69irnng5w5, 8927ird9ax5sj69nadeqaktlh, cnei0h8qtnmr9n9ojtm029uj9, 310zaj8t3k4c8aj54ml0n0kx5, 6ynchgp6o4tajwvnfdnoo11at, 8kcm8g1fpcqqslzmut1fdhotl, 36ylt0kjn7t0vajmelu4mbazu, dlzepva4fgihzwx4vfzagiy1h, 4gsebdl04os3v9mjhhkamnn1m, 2bfbi3t4aufb47wwt56ilzoyc, akczqgcekziai0uuirql1enrp, bqq4tqw6tp68c1fya04onf6c5, 4lg41m643jf18dgax298bufpw, 7rvgrqf0ktsepvwpj0osy5pzp, 99yx7t2j59cyia4bkpi59q1as, 2gkxanzyj7yoadakl2j6tfggk, 9vwdme2e657vrezfixnimrv85",4041331033,194,dvtd4xsoihe7srn69irnng5w5,4041331027,59,"1, 94, 8, 15, 22, 5, 10, 6, 7, 19, 3, 4, 11, 17, 23, 24, 25, 29, 40, 92",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509452711,1,34,16,0,0,71ajatxnuhc5cnm3xvgdky49w,1,0,0,2023-02-18T19:10:30.009Z,2023-02-18T21:06:31Z,4041369641,130,12,4041584911,197,8123,4041369645,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4041369649,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4041369635,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4041369633,30,"2vgr8c97x4b2e51tyvvixusid, 7atxpldexe9adg8ft1wbjndud, 1hlvnmu8we38d44sdexhhxcyd, 4jal44qeyp9ur58768qre5uqd, d5at3cowukpxiptq5ozcbe6s5, 7bba28af7hqhh7ruo91x2mk9g, d394go61g90f1u6bddu1narit, 9ysk6656hj0na1hrizgt83k5x, 950o8rjqvnl5bnidq2dc3fglx, bndkgzdolm2c3iteenkv8s3it, cb6w7n7n1eh9huwzyzvgmdxih, 1y5p476l4ihjndiyvfsmcg82x, eo47h2ekymiisj3kry3og7tgp, f0busiccqoe2jg69st02ngfe1, 42vsnv2j6emkbynforgon4n2t, 53nd6a4o02ebb0w2s12prijje, 1k1zsipuhr1o3hv17j4uiz5uy, bzyckons6yiek0xm2xtt0bf9w, 8axjyioicdx8i2zkhcb79c9yi, 3zkkrq8sph1lo23bt8d1nz10",4041369647,194,9ysk6656hj0na1hrizgt83k5x,4041369637,59,"1, 32, 77, 23, 24, 29, 8, 11, 9, 20, 27, 2, 5, 12, 14, 18, 34, 35, 38, 40",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509493321,2,32,1,0,0,75qj99fhg5c0ztj2tva5u4uii,1,0,0,2023-02-18T20:00:08.183Z,2023-02-18T20:00:08Z,4041592315,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509493333,2,32,1,0,0,71ajatxnuhc5cnm3xvgdky49w,1,0,0,2023-02-18T20:00:08.183Z,2023-02-19T00:04:47Z,4041592351,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509493345,3,1,1,0,0,75qj99fhg5c0ztj2tva5u4uii,1,50,50,2023-02-18T20:00:08.340Z,2023-02-19T01:00:24Z,4041592407,279,S,4041592399,140,43.4,4041592403,212,6.9,4041592401,141,50.3,4041592405,213,3.1,4041592397,56,Back,4042307541,178,,,,,8kcm8g1fpcqqslzmut1fdhotl,I. Niane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509493367,4,1,1,0,1,75qj99fhg5c0ztj2tva5u4uii,1,44.6,49.7,2023-02-18T20:00:09.733Z,2023-02-19T05:30:45Z,4041592509,213,4.7,4041592503,140,44.1,4041592501,56,Back,4041592505,141,8.0,4041592507,212,28.4,4042307645,178,,,,,,,,6ynchgp6o4tajwvnfdnoo11at,N. Bentaleb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509493405,5,1,1,0,5,75qj99fhg5c0ztj2tva5u4uii,0,46,8.9,2023-02-18T20:00:13.773Z,2023-02-19T05:30:44Z,4041592787,1,,4041592777,56,Right,4041592785,213,0.1,4041592775,155,,4041592781,141,17.3,4042307709,178,,4041592783,212,58.6,4041592779,140,100.0,9tdb905kq5becch102boicdex,Y. Valery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509493413,3,5,1,0,10,71ajatxnuhc5cnm3xvgdky49w,1,-1.4,81.8,2023-02-18T20:00:18.432Z,2023-02-19T01:00:35Z,4041592867,233,6,4041592821,56,Back,4041592825,346,,,,,,,,,,,,,,,,,bndkgzdolm2c3iteenkv8s3it,H. Diallo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509493407,6,5,1,0,10,75qj99fhg5c0ztj2tva5u4uii,0,101.4,18.2,2023-02-18T20:00:18.432Z,2023-02-19T01:00:35Z,4041592791,346,,4041592789,56,Right,4041592875,233,3,,,,,,,,,,,,,,,,9tdb905kq5becch102boicdex,Y. Valery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509493505,4,1,1,0,20,71ajatxnuhc5cnm3xvgdky49w,1,4.3,51.6,2023-02-18T20:00:28.672Z,2023-02-19T05:30:43Z,4041593349,212,13.7,4041593343,56,Back,4041593345,140,9.3,4041593341,124,,4041593347,141,70.2,4041593355,237,,4041593351,213,1.2,,,,2vgr8c97x4b2e51tyvvixusid,M. Sels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509493515,5,1,1,0,23,71ajatxnuhc5cnm3xvgdky49w,0,5.8,71.7,2023-02-18T20:00:31.445Z,2023-02-19T05:30:43Z,4042307941,178,,4041593417,141,62.3,4041593421,213,6.1,4042675779,1,,4041593415,140,39.5,4041593411,155,,4041593413,56,Back,4041593419,212,36.0,4jal44qeyp9ur58768qre5uqd,M. Le Marchand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509493531,7,8,1,0,25,75qj99fhg5c0ztj2tva5u4uii,1,59.1,37.6,2023-02-18T20:00:33.444Z,2023-02-19T05:30:42Z,4041593519,56,Center,4042308161,388,,4042081391,385,,4042081231,15,,,,,,,,,,,,,,6ynchgp6o4tajwvnfdnoo11at,N. Bentaleb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509493563,6,5,1,0,27,71ajatxnuhc5cnm3xvgdky49w,1,35.5,101.6,2023-02-18T20:00:36.004Z,2023-02-19T01:00:51Z,4041593681,347,,4041593679,56,Back,4041593699,233,8,,,,,,,,,,,,,,,,4jal44qeyp9ur58768qre5uqd,M. Le Marchand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509493533,8,5,1,0,27,75qj99fhg5c0ztj2tva5u4uii,0,64.5,-1.6,2023-02-18T20:00:36.004Z,2023-02-19T01:00:52Z,4041593535,347,,4041593533,56,Right,4041593707,233,6,,,,,,,,,,,,,,,,6ynchgp6o4tajwvnfdnoo11at,N. Bentaleb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
