id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/10/value,assist,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/13/value,qualifier/16/value,qualifier/17/value,keyPass,qualifier/12/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value
2458643539,1,34,16,0,0,2cjpmotqo8phcqfpgo9xf4gel,1,0,0,2022-09-11T12:18:28.180Z,2022-09-11T12:59:45Z,3773007779,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3773007771,59,"90, 77, 31, 13, 6, 75, 7, 12, 21, 11, 27, 2, 14, 18, 19, 22, 28, 29, 30, 99",3773149179,197,16245,3773007777,194,8yirlj1hpoqnuczpywgzlblxx,3773007773,130,8,3773007775,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3773007769,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3773007767,30,"a065rtv2lfh0rso33dfuah4ut, 859tcp8023r5cki7uju30l9t5, azcv772qzdbz1exafx3od6lt5, 7za8h1pgec0y2s1ihmkkfvpm2, 2snhhbt5230mm0rxigcqitqdx, f2wjw84p0ztxt636u2ibnoxxx, 6ir1z8c3o7t4kqx04kw24i415, 7teasnynvwarky180hl6zvkk5, 16idj1wxzcbvuaov5duvpqhyi, 8yirlj1hpoqnuczpywgzlblxx, 5w9g9gfeucuccwxd09o62f84p, 8cawa8470beg2ce0as7hv5psl, 3izhfm7i4afomephw07mp4nsa, 230qvyk9dg4plwzobjj6thmqy, 8ikvcyvko9qou241buomqqv6y, cr1n1i96xlepbvk90nl87o4yc, yeqnier6uxsc3hcegcuethxw, 1k6t5y26ufw2e6gh33tni45ey, 6ds6v3u0jyno9kzjkve3dp8mh, d8m8y59eum57eu7kiat38rkk5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458643569,1,34,16,0,0,75qj99fhg5c0ztj2tva5u4uii,1,0,0,2022-09-11T12:18:31.791Z,2022-09-11T12:57:05Z,3773007921,130,8,3773149383,197,15935,3773007915,30,"821ma6ofy7t9wtdvu1w6uni09, 9tdb905kq5becch102boicdex, dlzepva4fgihzwx4vfzagiy1h, 6ynchgp6o4tajwvnfdnoo11at, 8927ird9ax5sj69nadeqaktlh, cnei0h8qtnmr9n9ojtm029uj9, 41jb0ts5688xz8ell62rybm22, boa0e436nc3u53cumlao9ulex, 36ylt0kjn7t0vajmelu4mbazu, bqq4tqw6tp68c1fya04onf6c5, 9fcg5wz6no3f9mn7ch45g06hh, cgqunmh8aw465fna15rdve8d1, 1j7c295dtb7s5z14diov3xx3p, 310zaj8t3k4c8aj54ml0n0kx5, 2bfbi3t4aufb47wwt56ilzoyc, dvtd4xsoihe7srn69irnng5w5, 7rvgrqf0ktsepvwpj0osy5pzp, 99yx7t2j59cyia4bkpi59q1as, cwtefikj4d22g8dr4c200pwtm, 9vwdme2e657vrezfixnimrv85",3773007927,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3773007923,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3773007925,194,6ynchgp6o4tajwvnfdnoo11at,3773007917,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3773007919,59,"30, 94, 3, 6, 22, 5, 8, 2, 19, 23, 7, 1, 9, 10, 11, 15, 25, 29, 31, 92",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458673307,2,32,1,0,0,2cjpmotqo8phcqfpgo9xf4gel,1,0,0,2022-09-11T13:00:05.146Z,2022-09-11T13:00:05Z,3773157987,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458673323,2,32,1,0,0,75qj99fhg5c0ztj2tva5u4uii,1,0,0,2022-09-11T13:00:05.146Z,2022-09-11T19:20:40Z,3773158061,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458673363,3,1,1,0,0,2cjpmotqo8phcqfpgo9xf4gel,1,49.9,49.9,2022-09-11T13:00:05.258Z,2022-09-12T01:01:44Z,3773158187,213,3.4,3773158179,56,Back,3773158181,140,48.9,3773158189,279,S,3773961241,278,,3775428675,178,,3773158185,212,1.1,3773158183,141,49.5,16idj1wxzcbvuaov5duvpqhyi,E. Wahi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458673387,4,1,1,0,1,2cjpmotqo8phcqfpgo9xf4gel,0,51.6,45.4,2022-09-11T13:00:06.802Z,2022-09-12T05:00:44Z,3773158295,141,0.0,3773158293,140,83.9,3773158297,212,46.6,3773158301,1,,3773158291,56,Right,3775429117,178,,3773158299,213,5.5,3773158289,155,,8yirlj1hpoqnuczpywgzlblxx,T. Savanier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458673569,3,5,1,0,5,75qj99fhg5c0ztj2tva5u4uii,1,17.1,101.8,2022-09-11T13:00:10.888Z,2022-09-12T01:02:00Z,3773159127,347,,3773159145,233,5,3773159125,56,Back,,,,,,,,,,,,,,,,boa0e436nc3u53cumlao9ulex,B. Mendy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458673395,5,5,1,0,5,2cjpmotqo8phcqfpgo9xf4gel,0,82.9,-1.8,2022-09-11T13:00:10.888Z,2022-09-12T01:02:01Z,3773158343,56,Right,3773158345,347,,3773159193,233,3,,,,,,,,,,,,,,,,8yirlj1hpoqnuczpywgzlblxx,T. Savanier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458673599,4,1,1,0,16,75qj99fhg5c0ztj2tva5u4uii,1,17.4,100,2022-09-11T13:00:21.503Z,2022-09-12T05:00:44Z,3773159265,212,11.7,3773159255,140,16.6,3773159249,56,Back,3773159269,213,4.6,3773159259,141,84.8,3773159245,107,,,,,,,,dlzepva4fgihzwx4vfzagiy1h,S. Doumbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458673681,5,1,1,0,17,75qj99fhg5c0ztj2tva5u4uii,1,17.6,88.4,2022-09-11T13:00:22.321Z,2022-09-12T05:00:44Z,3773159623,1,,3775429377,178,,3773159617,141,82.8,3773159611,157,,3773159619,212,37.8,3773159621,213,6.2,3773159613,56,Left,3773159615,140,53.4,6ynchgp6o4tajwvnfdnoo11at,N. Bentaleb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
