id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/9/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,keyPass,qualifier/13/value,qualifier/10/value,qualifier/14/value,assist,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/15/value,qualifier/16/value,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/17/value,qualifier/20/value
2443272389,1,34,16,0,0,2cjpmotqo8phcqfpgo9xf4gel,1,0,0,2022-08-07T12:20:17.277Z,2022-08-07T13:11:13Z,3691212571,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3691212573,59,"1, 29, 17, 11, 77, 75, 27, 13, 21, 99, 10, 2, 5, 9, 14, 16, 18, 22, 28, 31",3691212577,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3691212581,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3691340623,197,651,3691212569,30,"3z6ekzop4y7cjuatzz9ua74k5, as2iznyhn5bzw3rofcz0dg104, b92hwrzx6l5wdf3z9g7dxo4bt, 8yirlj1hpoqnuczpywgzlblxx, 859tcp8023r5cki7uju30l9t5, f2wjw84p0ztxt636u2ibnoxxx, 5w9g9gfeucuccwxd09o62f84p, 7za8h1pgec0y2s1ihmkkfvpm2, 16idj1wxzcbvuaov5duvpqhyi, d8m8y59eum57eu7kiat38rkk5, 71bl8lyjtmzn8ebwulcjnmu39, 8cawa8470beg2ce0as7hv5psl, 6l1peb3xqu90lwythl9sti4lx, 1yj1kt2cx24nn4zt5h1ma1olx, 3izhfm7i4afomephw07mp4nsa, 7t9ixlae5t9v8moc6brwcec4p, 230qvyk9dg4plwzobjj6thmqy, cr1n1i96xlepbvk90nl87o4yc, yeqnier6uxsc3hcegcuethxw, azcv772qzdbz1exafx3od6lt5",3691212575,130,8,3691212579,194,8yirlj1hpoqnuczpywgzlblxx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443272425,1,34,16,0,0,3unkqo2g6ag99gd5ynz1j7vse,1,0,0,2022-08-07T12:20:22.328Z,2022-08-07T12:58:21Z,3691212795,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3691212789,130,11,3691212785,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",3691344763,197,15911,3691212783,30,"8xdrtww8r5jbxuxtall0wh591, dj2f6zk2cd8u9lt6odoei9cdl, 577j49ffrxuurraco9chy388a, eznhm6o1jymvzaucjlngbaad, 7etm5qf3sonimtxllrw5xwkid, 87gvtfqgn555sywr78abximsp, a7rdypucykxo0a9xmcuqzabpx, 3h3g7sne1jjevj0mwyliehm95, bj37ny1s1gbbe4wrgyz1wag9h, 5x4cp16m9z8vzgq1kkjvm71ed, 9nhlgi0k783bq8a2704bu6n6d, da81277761mvu8idmy1ekqdw5, cxnoyn9ycsf4jonc14clk47bo, a6pjrmdp1y0gazp1wfsof3gno, 9bkzl4dx3mci3w86rjpfkwowk, 1iawtsm8hqaczx4awpv9byz9w, 2yluqqe96lje74ikdwnoi7x90, bab51bcstsqnh8vscezs28fyt",3691212787,59,"30, 19, 39, 17, 4, 2, 20, 6, 25, 10, 24, 7, 22, 27, 29, 31, 37, 40",3691212791,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3691212793,194,5x4cp16m9z8vzgq1kkjvm71ed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443299823,2,32,1,0,0,2cjpmotqo8phcqfpgo9xf4gel,1,0,0,2022-08-07T13:00:07.263Z,2022-08-07T18:59:18Z,3691350149,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443299869,2,32,1,0,0,3unkqo2g6ag99gd5ynz1j7vse,1,0,0,2022-08-07T13:00:07.263Z,2022-08-07T13:00:10Z,3691350379,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443299911,3,1,1,0,0,2cjpmotqo8phcqfpgo9xf4gel,1,50,50,2022-08-07T13:00:07.315Z,2022-08-07T19:25:50Z,3691350559,141,60.2,3691350555,56,Back,3691350565,279,S,3692771633,178,,3691350557,140,30.5,3691350563,213,2.8,3691350561,212,21.6,,,,16idj1wxzcbvuaov5duvpqhyi,E. Wahi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443299923,4,1,1,0,4,2cjpmotqo8phcqfpgo9xf4gel,0,40,56,2022-08-07T13:00:11.778Z,2022-08-08T00:18:42Z,3691350645,213,5.9,3691350637,56,Center,3692772405,178,,3691350647,1,,3691350639,140,77.7,3691350773,155,,3691350641,141,33.0,3691350643,212,42.6,f2wjw84p0ztxt636u2ibnoxxx,M. Sakho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443299957,3,1,1,0,6,3unkqo2g6ag99gd5ynz1j7vse,0,24.5,65.7,2022-08-07T13:00:14.053Z,2022-08-08T00:18:42Z,3691350801,3,,3692772953,178,,3691350803,56,Back,3691350807,141,58.5,3691350811,213,6.0,3691350809,212,15.9,3691350805,140,38.9,,,,eznhm6o1jymvzaucjlngbaad,Y. Salmier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443300077,5,1,1,0,9,2cjpmotqo8phcqfpgo9xf4gel,1,59.8,28.4,2022-08-07T13:00:16.762Z,2022-08-08T00:18:41Z,3691351421,140,73.1,3691351423,141,5.0,3692773631,178,,3691351427,213,5.4,3691351419,56,Right,3691351425,212,21.2,,,,,,,8yirlj1hpoqnuczpywgzlblxx,T. Savanier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443300099,6,1,1,0,12,2cjpmotqo8phcqfpgo9xf4gel,1,70.8,4.5,2022-08-07T13:00:20.136Z,2022-08-08T00:18:40Z,3691351565,212,10.7,3692774187,178,,3691351559,56,Right,3691351567,213,2.4,3691351561,140,63.6,3691351563,141,15.6,,,,,,,as2iznyhn5bzw3rofcz0dg104,E. Tchato,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443300175,7,1,1,0,13,2cjpmotqo8phcqfpgo9xf4gel,1,66.4,11,2022-08-07T13:00:20.863Z,2022-08-08T00:18:39Z,3691351989,155,,3691351999,213,0.2,3691351995,141,22.4,3691351991,56,Center,3691351993,140,97.5,3691352001,1,,3691351997,212,33.6,3692774657,178,,8yirlj1hpoqnuczpywgzlblxx,T. Savanier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443583507,842,43,1,0,17,2cjpmotqo8phcqfpgo9xf4gel,1,0,0,2022-08-07T13:00:24.490Z,2022-08-07T19:58:46Z,3692890697,21,0,3692890695,178,0,3692891365,144,82,,,,,,,,,,,,,,,,d8m8y59eum57eu7kiat38rkk5,W. Khazri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
