id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,keyPass,qualifier/11/value,qualifier/13/value,assist,qualifier/12/value,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/16/value,qualifier/19/id,qualifier/19/qualifierId
2458639505,1,34,16,0,0,4aghw9tyi8ba3ju1ne83gmf9w,1,0,0,2022-09-11T12:13:28.216Z,2022-09-11T13:15:42Z,3772988725,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3772988723,30,"3yk6n0wr6nc0dlm51gwvwi4t1, e9g52c7vl608rt5wuf9o46l79, ccc0ytvrgtomxfunopwy2kij9, c44zop1hvob3cmgu2grj8m0yy, 2o5wwfsh5xhyatdfelh9dzqax, 4c4ghf9zlkof83n5mnmva61d6, anr9qh585ctgk2d17zperhgix, aa0888u38mjc1euhofseazb2t, 1lnktjxx0mux4beo28cl54j1m, 2rsqkarlkh6z8vrb0clfbz6xh, 684cguhktvth28ql6qgvvmcyc, 24n3hqbko2cyoxk4q84rzqvhl, ulqazti394q5bbzc4pblidat, eswivc2a0iwwdly6ft8eh0ogl, en42iersp8me42z7r4lzhwiga, 59knsm910b1ruk024rkksla3u, 3je152n5s5fjtbrxs9v8dn1lh, 2lyhi7j3id7emsh54ehdva3ca, b3xdln1shzyzwkhzdmbb2fqax, eu71261se8nv26xcd39nrdous",3772988729,130,11,3773157287,197,15757,3772988735,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3772988733,194,2rsqkarlkh6z8vrb0clfbz6xh,3772988727,59,"30, 3, 12, 23, 2, 4, 6, 17, 27, 8, 28, 5, 7, 10, 11, 14, 16, 18, 19, 31",3772988731,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458642325,1,34,16,0,0,3c3jcs7vc1t6vz5lev162jyv7,1,0,0,2022-09-11T12:17:01.289Z,2022-09-11T12:56:31Z,3773148015,197,16322,3773002177,59,"1, 70, 28, 5, 24, 6, 15, 8, 3, 39, 29, 4, 10, 11, 18, 19, 17, 30, 41, 94",3773002171,30,"4ilnnpfgjfz35lni9ppzd93v9, ccu7hw3wrcspl1a18g2ldnsh5, 2ds26ub6ho0baamsjcmh7mmfo, 976riwm0dz0e74d4l28y3ttcl, 36h87ecgmpjdltk1epsbvmiju, 9p5jc07qnxrzpcmnh1cp6b3l5, 8qmm84tue6kuz8e5nhhdhmz8p, 2lvit204llltk13iglsa2tjah, 8gkexxgf3pypshhqwg6ibp7o4, cmrdm4nnd62inlvsnc52vkicp, edti8t30h7ukwi3wqlzaczje1, afymbx9eo87zau8mo99pakbu, agwvouyocx93y39g7tmwaojx1, 3jqxaa2l6gqwxl2mr8w0yiiy2, dlybxu0l5r7yi8i11myd7ldgq, 7ty1wdxxnusgkl34k5raipbl5, fvd7y3f6948713acbas7w3u2, 1ccqekgbdyx9g90vaodi7qw9h, 41gpjj5od0ww4rnopzgp1oetw, 89sv092huj2obzdazmft854a1",3773002179,130,18,3773002181,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3773002185,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3773002175,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3773002183,194,976riwm0dz0e74d4l28y3ttcl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458673383,2,32,1,0,0,3c3jcs7vc1t6vz5lev162jyv7,1,0,0,2022-09-11T13:00:06.890Z,2022-09-11T13:00:10Z,3773158285,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458673401,2,32,1,0,0,4aghw9tyi8ba3ju1ne83gmf9w,1,0,0,2022-09-11T13:00:06.890Z,2022-09-11T18:19:15Z,3773158357,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458673439,3,1,1,0,0,3c3jcs7vc1t6vz5lev162jyv7,1,50.1,49.8,2022-09-11T13:00:06.907Z,2022-09-12T01:22:40Z,3773158517,279,S,3773158509,140,29.9,3773158511,141,27.3,3773158513,212,26.2,3773158515,213,3.8,3773158507,56,Back,3775456153,178,,,,,cmrdm4nnd62inlvsnc52vkicp,J. Ito,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458673461,4,1,1,0,3,3c3jcs7vc1t6vz5lev162jyv7,1,29.7,35.9,2022-09-11T13:00:10.121Z,2022-09-12T05:59:18Z,3773158629,56,Back,3773158637,213,2.7,3773158631,140,8.8,3773158633,141,49.6,3775456309,178,,3773158635,212,23.8,,,,,,,36h87ecgmpjdltk1epsbvmiju,E. Agbadou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458673491,5,1,1,0,6,3c3jcs7vc1t6vz5lev162jyv7,1,12.7,56.6,2022-09-11T13:00:13.799Z,2022-09-12T05:59:17Z,3773158765,212,20.6,3773158763,141,46.0,3773158761,140,31.1,3773158759,56,Back,3773158767,213,5.9,3775456425,178,,,,,,,,4ilnnpfgjfz35lni9ppzd93v9,P. Pentz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458673529,6,1,1,0,8,3c3jcs7vc1t6vz5lev162jyv7,1,24.4,49.8,2022-09-11T13:00:14.952Z,2022-09-12T05:59:16Z,3773158949,212,15.9,3773158945,140,16.4,3773158943,56,Back,3773158951,213,4.2,3773158947,141,29.9,3775456555,178,,,,,,,,8qmm84tue6kuz8e5nhhdhmz8p,M. Munetsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2459097067,999,67,1,0,9,3c3jcs7vc1t6vz5lev162jyv7,1,18.7,33.3,2022-09-11T13:00:16.137Z,2022-09-12T05:59:16Z,3775488087,233,924,,,,,,,,,,,,,,,,,,,,,,36h87ecgmpjdltk1epsbvmiju,E. Agbadou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2459097063,924,67,1,0,9,4aghw9tyi8ba3ju1ne83gmf9w,0,81.3,66.7,2022-09-11T13:00:16.138Z,2022-09-12T05:59:15Z,3775488091,233,999,,,,,,,,,,,,,,,,,,,,,,684cguhktvth28ql6qgvvmcyc,F. Chaïbi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
